Date,Open,High,Low,Close,Volume
1998-06-01,0.2366,0.2467,0.2288,0.2344,0
1998-06-02,0.2360,0.2439,0.2321,0.2400,0
1998-06-03,0.2422,0.2433,0.2338,0.2349,0
1998-06-04,0.2377,0.2400,0.2305,0.2394,0
1998-06-05,0.2400,0.2433,0.2355,0.2400,0
1998-06-08,0.2411,0.2472,0.2394,0.2433,0
1998-06-09,0.2444,0.2545,0.2444,0.2522,0
1998-06-10,0.2500,0.2589,0.2467,0.2506,0
1998-06-11,0.2517,0.2556,0.2483,0.2483,0
1998-06-12,0.2467,0.2522,0.2444,0.2511,0
1998-06-15,0.2433,0.2522,0.2433,0.2455,0
1998-06-16,0.2472,0.2511,0.2439,0.2500,0
1998-06-17,0.2500,0.2550,0.2494,0.2511,0
1998-06-18,0.2478,0.2506,0.2427,0.2439,0
1998-06-19,0.2444,0.2450,0.2388,0.2416,0
1998-06-22,0.2411,0.2461,0.2388,0.2444,0
1998-06-23,0.2450,0.2511,0.2433,0.2483,0
1998-06-24,0.2478,0.2556,0.2439,0.2522,0
1998-06-25,0.2550,0.2573,0.2528,0.2550,0
1998-06-26,0.2545,0.2556,0.2478,0.2517,0
1998-06-29,0.2522,0.2573,0.2506,0.2561,0
1998-06-30,0.2556,0.2573,0.2511,0.2561,0
1998-07-01,0.2578,0.2679,0.2545,0.2673,0
1998-07-02,0.2651,0.2684,0.2589,0.2589,0
1998-07-06,0.2634,0.2712,0.2600,0.2712,0
1998-07-07,0.2712,0.2757,0.2679,0.2723,0
1998-07-08,0.2746,0.2941,0.2740,0.2907,0
1998-07-09,0.2941,0.3002,0.2807,0.2829,0
1998-07-10,0.2874,0.2913,0.2835,0.2863,0
1998-07-13,0.2852,0.3047,0.2846,0.3030,0
1998-07-14,0.3030,0.3036,0.2958,0.2985,0
1998-07-15,0.3008,0.3097,0.2991,0.3075,0
1998-07-16,0.3382,0.3404,0.3192,0.3348,0
1998-07-17,0.3326,0.3326,0.3231,0.3292,0
1998-07-20,0.3265,0.3270,0.3170,0.3237,0
1998-07-21,0.3225,0.3304,0.3175,0.3181,0
1998-07-22,0.3119,0.3181,0.3058,0.3125,0
1998-07-23,0.3108,0.3181,0.3103,0.3119,0
1998-07-24,0.3158,0.3170,0.3019,0.3097,0
1998-07-27,0.3058,0.3114,0.2969,0.3075,0
1998-07-28,0.3041,0.3092,0.2946,0.3002,0
1998-07-29,0.3013,0.3203,0.3008,0.3136,0
1998-07-30,0.3198,0.3281,0.3170,0.3259,0
1998-07-31,0.3270,0.3281,0.3080,0.3092,0
1998-08-03,0.3058,0.3175,0.2969,0.3136,0
1998-08-04,0.3170,0.3214,0.3036,0.3052,0
1998-08-05,0.3013,0.3214,0.2991,0.3214,0
1998-08-06,0.3131,0.3292,0.3114,0.3292,0
1998-08-07,0.3320,0.3337,0.3214,0.3259,0
1998-08-10,0.3242,0.3398,0.3237,0.3387,0
1998-08-11,0.3371,0.3661,0.3337,0.3482,0
1998-08-12,0.3549,0.3655,0.3525,0.3577,0
1998-08-13,0.3566,0.3638,0.3516,0.3521,0
1998-08-14,0.3633,0.3638,0.3527,0.3616,0
1998-08-17,0.3661,0.3823,0.3560,0.3744,0
1998-08-18,0.3789,0.3873,0.3772,0.3800,0
1998-08-19,0.3884,0.3906,0.3661,0.3661,0
1998-08-20,0.3661,0.3672,0.3594,0.3627,0
1998-08-21,0.3571,0.3890,0.3482,0.3839,0
1998-08-24,0.3878,0.3884,0.3583,0.3677,0
1998-08-25,0.3783,0.3783,0.3599,0.3644,0
1998-08-26,0.3560,0.3672,0.3527,0.3605,0
1998-08-27,0.3504,0.3504,0.3181,0.3348,0
1998-08-28,0.3315,0.3438,0.3047,0.3052,0
1998-08-31,0.3103,0.3114,0.2768,0.2785,0
1998-09-01,0.2801,0.3158,0.2734,0.3047,0
1998-09-02,0.3170,0.3337,0.3147,0.3175,0
1998-09-03,0.3125,0.3136,0.3036,0.3092,0
1998-09-04,0.3170,0.3253,0.3013,0.3136,0
1998-09-08,0.3393,0.3415,0.3281,0.3415,0
1998-09-09,0.3398,0.3404,0.3304,0.3337,0
1998-09-10,0.3237,0.3415,0.3192,0.3404,0
1998-09-11,0.3438,0.3538,0.3292,0.3359,0
1998-09-14,0.3415,0.3465,0.3315,0.3320,0
1998-09-15,0.3281,0.3443,0.3259,0.3410,0
1998-09-16,0.3449,0.3460,0.3304,0.3331,0
1998-09-17,0.3220,0.3315,0.3203,0.3214,0
1998-09-18,0.3220,0.3281,0.3175,0.3281,0
1998-09-21,0.3186,0.3298,0.3153,0.3298,0
1998-09-22,0.3315,0.3359,0.3248,0.3304,0
1998-09-23,0.3326,0.3426,0.3265,0.3421,0
1998-09-24,0.3382,0.3532,0.3371,0.3438,0
1998-09-25,0.3410,0.3499,0.3359,0.3460,0
1998-09-28,0.3549,0.3588,0.3393,0.3488,0
1998-09-29,0.3488,0.3571,0.3404,0.3527,0
1998-09-30,0.3460,0.3504,0.3393,0.3404,0
1998-10-01,0.3281,0.3393,0.3158,0.3186,0
1998-10-02,0.3170,0.3237,0.3047,0.3131,0
1998-10-05,0.3036,0.3086,0.2812,0.2874,0
1998-10-06,0.3008,0.3064,0.2902,0.2907,0
1998-10-07,0.2891,0.2974,0.2846,0.2852,0
1998-10-08,0.2768,0.2785,0.2545,0.2751,0
1998-10-09,0.2835,0.3147,0.2746,0.3136,0
1998-10-12,0.3348,0.3432,0.3265,0.3343,0
1998-10-13,0.3398,0.3499,0.3214,0.3460,0
1998-10-14,0.3549,0.3689,0.3287,0.3337,0
1998-10-15,0.3237,0.3326,0.3170,0.3270,0
