Date,Open,High,Low,Close,Volume
1998-06-01,4.9922,5.0781,4.8594,4.9141,0
1998-06-02,4.9688,5.1250,4.9375,5.1250,0
1998-06-03,5.1094,5.1406,4.9609,5.0000,0
1998-06-04,5.0312,5.0938,4.9766,5.0859,0
1998-06-05,5.0703,5.1250,5.0000,5.1094,0
1998-06-08,5.1250,5.1719,5.0469,5.0625,0
1998-06-09,5.0781,5.4844,5.0625,5.4375,0
1998-06-10,5.3750,5.5000,5.2500,5.2500,0
1998-06-11,5.2656,5.2969,5.0469,5.1016,0
1998-06-12,5.1094,5.1406,4.9688,5.0000,0
1998-06-15,5.0000,5.1250,4.9531,4.9531,0
1998-06-16,5.0391,5.2188,5.0000,5.2188,0
1998-06-17,5.2422,5.3125,5.1562,5.1875,0
1998-06-18,5.1562,5.1875,5.0156,5.1172,0
1998-06-19,5.1172,5.1250,4.7969,4.9297,0
1998-06-22,4.9844,5.0781,4.9375,5.0156,0
1998-06-23,5.0625,5.2188,5.0156,5.0625,0
1998-06-24,5.0781,5.2812,5.0000,5.2578,0
1998-06-25,5.3281,5.5938,5.2969,5.5469,0
1998-06-26,5.5000,5.6406,5.2266,5.3047,0
1998-06-29,5.3906,5.4375,5.2656,5.3438,0
1998-06-30,5.3281,5.3281,5.2344,5.3047,0
1998-07-01,5.3125,5.3594,5.1016,5.1953,0
1998-07-02,5.1641,5.2031,5.0781,5.1719,0
1998-07-06,5.1719,5.2578,5.0625,5.1328,0
1998-07-07,5.1250,5.1562,5.0000,5.0938,0
1998-07-08,5.0781,5.2500,5.0625,5.2031,0
1998-07-09,5.1719,5.2031,5.0703,5.1016,0
1998-07-10,5.0781,5.1328,5.0000,5.0234,0
1998-07-13,5.0156,5.0469,4.9219,4.9844,0
1998-07-14,4.9844,4.9844,4.8438,4.8750,0
1998-07-15,4.8516,4.9688,4.8516,4.9141,0
1998-07-16,5.0156,5.0859,4.9531,4.9766,0
1998-07-17,4.9766,5.0000,4.9141,4.9922,0
1998-07-20,4.9922,5.0703,4.9688,5.0625,0
1998-07-21,5.0469,5.1016,4.9375,4.9531,0
1998-07-22,4.9375,4.9922,4.7969,4.9375,0
1998-07-23,4.9141,4.9531,4.8281,4.8594,0
1998-07-24,4.8984,4.8984,4.6719,4.7344,0
1998-07-27,4.7188,4.7656,4.6250,4.7344,0
1998-07-28,4.6875,4.7227,4.6250,4.7188,0
1998-07-29,4.6719,4.6875,4.5000,4.5078,0
1998-07-30,4.4062,4.4531,4.2578,4.2812,0
1998-07-31,4.3281,4.3281,4.0312,4.0391,0
1998-08-03,4.1172,4.1562,3.8672,3.8750,0
1998-08-04,3.9844,4.0156,3.7188,3.7812,0
1998-08-05,3.7969,3.8594,3.7422,3.8203,0
1998-08-06,3.8125,3.9531,3.7969,3.8125,0
1998-08-07,3.8594,3.8594,3.7656,3.7812,0
1998-08-10,3.8125,4.0312,3.7969,4.0234,0
1998-08-11,3.7812,3.9531,3.7656,3.8516,0
1998-08-12,3.2500,3.4531,3.0703,3.4219,0
1998-08-13,3.4062,3.4609,3.2656,3.4531,0
1998-08-14,3.5000,3.5000,3.3516,3.3672,0
1998-08-17,3.3750,3.4375,3.2500,3.3906,0
1998-08-18,3.4062,3.4062,3.3594,3.3750,0
1998-08-19,3.3906,3.4062,3.1875,3.2266,0
1998-08-20,3.2031,3.2500,3.1094,3.1406,0
1998-08-21,3.1406,3.1562,3.0938,3.1172,0
1998-08-24,3.1328,3.1562,3.0078,3.0547,0
1998-08-25,3.0859,3.0938,3.0469,3.0703,0
1998-08-26,3.2031,3.5703,3.1719,3.4531,0
1998-08-27,3.3281,3.4219,3.2812,3.3594,0
1998-08-28,3.3750,3.4062,3.2969,3.3984,0
1998-08-31,3.4375,3.4375,3.2344,3.2812,0
1998-09-01,3.2188,3.4531,3.2031,3.4531,0
1998-09-02,3.4062,3.4375,3.1250,3.1250,0
1998-09-03,3.0625,3.1562,2.9688,3.1016,0
1998-09-04,3.1172,3.2188,2.9531,3.0547,0
1998-09-08,3.1562,3.2500,3.0703,3.2109,0
1998-09-09,3.2266,3.5781,3.2031,3.5000,0
1998-09-10,3.3672,3.6250,3.3438,3.3516,0
1998-09-11,3.5938,3.6250,3.4062,3.5000,0
1998-09-14,3.5469,3.6094,3.5000,3.5625,0
1998-09-15,3.5703,3.9219,3.5469,3.8203,0
1998-09-16,3.8594,4.0312,3.8516,3.9609,0
1998-09-17,3.8438,3.9766,3.8281,3.8438,0
1998-09-18,3.9219,3.9844,3.8828,3.9844,0
1998-09-21,3.8750,4.0312,3.8594,4.0000,0
1998-09-22,4.0234,4.0469,4.0000,4.0234,0
1998-09-23,4.0312,4.2266,4.0312,4.2266,0
1998-09-24,4.1875,4.3203,4.1562,4.1953,0
1998-09-25,4.1094,4.2578,4.0938,4.1797,0
1998-09-28,4.2500,4.4609,4.2422,4.3594,0
1998-09-29,4.3750,4.4062,4.3125,4.3750,0
1998-09-30,4.3125,4.3672,4.2812,4.3359,0
1998-10-01,4.2500,4.3125,4.1094,4.1094,0
1998-10-02,4.1250,4.2969,4.0469,4.2500,0
1998-10-05,4.1875,4.2500,3.9688,4.0625,0
1998-10-06,4.1250,4.1250,3.8750,4.0000,0
1998-10-07,3.9688,4.0234,3.7656,3.8672,0
1998-10-08,3.7500,3.9531,3.7500,3.9531,0
1998-10-09,4.0000,4.2539,3.9844,4.1875,0
1998-10-12,4.3125,4.4922,4.2812,4.3125,0
1998-10-13,4.2188,4.3438,4.1094,4.2031,0
1998-10-14,4.1719,4.3125,3.9844,4.0469,0
1998-10-15,4.0312,4.5156,4.0000,4.4453,0
1998-10-16,4.6016,4.7656,4.4375,4.5156,0
1998-10-19,4.5312,4.8750,4.4531,4.7656,0
1998-10-20,4.7344,4.7500,4.2500,4.3828,0
1998-10-21,4.3750,4.6953,4.2344,4.6797,0
1998-10-22,4.6562,4.8281,4.5156,4.5312,0
1998-10-23,4.5312,4.5938,4.4375,4.4531,0
1998-10-26,4.5000,4.7031,4.4688,4.6094,0
1998-10-27,4.6406,4.6719,4.4844,4.5469,0
1998-10-28,4.5156,4.6562,4.5078,4.5742,0
1998-10-29,4.6094,4.9062,4.5078,4.8906,0
1998-10-30,4.9375,4.9609,4.6328,4.6406,0
1998-11-02,4.7188,4.9297,4.7031,4.8281,0
1998-11-03,4.8125,4.9844,4.8125,4.8828,0
1998-11-04,4.9375,5.0703,4.8906,5.0469,0
1998-11-05,4.9688,5.2656,4.9688,5.1406,0
1998-11-06,5.0938,5.5156,5.0781,5.4375,0
1998-11-09,5.4062,5.5625,5.2812,5.4062,0
1998-11-10,5.3125,5.4688,5.2812,5.3516,0
1998-11-11,5.3984,5.5625,5.3984,5.5156,0
1998-11-12,5.5469,5.7422,5.5312,5.5625,0
1998-11-13,5.5781,5.6406,5.5000,5.5938,0
1998-11-16,5.6250,5.6719,5.5547,5.6719,0
1998-11-17,5.6562,5.7188,5.4688,5.6406,0
1998-11-18,5.6328,5.7422,5.5469,5.6094,0
1998-11-19,5.6250,5.6406,5.5156,5.5781,0
1998-11-20,5.6016,5.6719,5.5625,5.6562,0
1998-11-23,5.6406,6.0000,5.6250,6.0000,0
1998-11-24,5.9219,5.9844,5.7500,5.7812,0
