Date,Open,High,Low,Close,Volume
2006-04-03,1328.0000,1328.0000,1312.0000,1313.4000,0
2006-04-04,1313.4000,1323.6000,1308.0000,1321.4000,0
2006-04-05,1321.4000,1330.2000,1314.4000,1319.0000,0
2006-04-06,1314.0000,1319.0000,1307.0000,1308.8000,0
2006-04-07,1307.0000,1307.2000,1283.0000,1287.6000,0
2006-04-10,1292.4000,1294.0000,1276.0000,1283.8000,0
2006-04-11,1267.8000,1290.0000,1261.0000,1267.8000,0
2006-04-12,1270.0000,1276.4000,1261.0000,1267.8000,0
2006-04-13,1267.8000,1272.0000,1258.4000,1268.0000,0
2006-04-17,1264.0000,1270.2000,1255.0000,1258.4000,0
2006-04-18,1260.4000,1270.8000,1237.8000,1269.6000,0
2006-04-19,1270.0000,1282.4000,1269.4000,1273.2000,0
2006-04-20,1267.0000,1277.0000,1260.6000,1274.0000,0
2006-04-21,1283.0000,1284.6000,1270.4000,1276.2000,0
2006-04-24,1276.8000,1288.6000,1270.8000,1285.6000,0
2006-04-25,1285.8000,1292.8000,1264.2000,1272.8000,0
2006-04-26,1277.4000,1281.2000,1265.4000,1280.8000,0
2006-04-27,1280.8000,1309.2000,1274.0000,1298.8000,0
2006-04-28,1300.0000,1314.0000,1292.6000,1305.0000,0
2006-05-01,1315.0000,1316.0000,1292.0000,1293.8000,0
2006-05-02,1298.0000,1311.6000,1292.0000,1306.4000,0
2006-05-03,1302.0000,1308.0000,1295.8000,1300.2000,0
2006-05-04,1300.2000,1313.0000,1299.0000,1299.6000,0
2006-05-05,1307.4000,1307.4000,1300.2000,1302.8000,0
2006-05-08,1306.0000,1312.0000,1303.0000,1306.8000,0
2006-05-09,1311.0000,1327.0000,1307.0000,1324.2000,0
2006-05-10,1324.2000,1334.2000,1318.2000,1330.8000,0
2006-05-11,1298.0000,1303.8000,1257.0000,1263.0000,0
2006-05-12,1256.0000,1273.0000,1246.6000,1263.6000,0
2006-05-15,1266.0000,1280.6000,1265.0000,1277.6000,0
2006-05-16,1280.0000,1291.0000,1276.0000,1281.0000,0
2006-05-17,1278.0000,1280.0000,1242.2000,1250.0000,0
2006-05-18,1244.2000,1252.2000,1228.4000,1231.0000,0
2006-05-19,1232.4000,1234.2000,1217.2000,1223.2000,0
2006-05-22,1215.0000,1232.8000,1212.8000,1225.0000,0
2006-05-23,1224.0000,1234.0000,1214.8000,1219.6000,0
2006-05-24,1221.0000,1227.6000,1200.6000,1208.0000,0
2006-05-25,1220.0000,1222.0000,1209.6000,1218.2000,0
2006-05-26,1224.0000,1231.4000,1210.6000,1229.4000,0
2006-05-30,1232.4000,1236.0000,1209.0000,1212.0000,0
2006-05-31,1216.0000,1219.8000,1205.2000,1216.0000,0
2006-06-01,1216.0000,1224.8000,1209.8000,1223.4000,0
2006-06-02,1230.0000,1233.0000,1214.4000,1222.2000,0
2006-06-05,1216.0000,1222.2000,1206.6000,1207.8000,0
2006-06-06,1212.8000,1215.8000,1193.6000,1205.8000,0
2006-06-07,1211.0000,1223.0000,1204.6000,1204.6000,0
2006-06-08,1206.0000,1220.2000,1201.8000,1209.4000,0
2006-06-09,1209.0000,1214.0000,1198.0000,1204.2000,0
2006-06-12,1207.2000,1209.4000,1188.8000,1190.0000,0
2006-06-13,1191.4000,1200.0000,1181.8000,1182.8000,0
2006-06-14,1182.8000,1191.0000,1171.2000,1185.4000,0
2006-06-15,1195.0000,1201.6000,1178.0000,1200.6000,0
2006-06-16,1195.2000,1200.4000,1189.0000,1197.4000,0
2006-06-19,1197.4000,1203.0000,1184.0000,1189.4000,0
2006-06-20,1194.0000,1202.2000,1190.4000,1197.0000,0
2006-06-21,1202.6000,1206.8000,1195.2000,1196.4000,0
2006-06-22,1194.4000,1199.0000,1183.6000,1187.4000,0
2006-06-23,1183.4000,1195.8000,1183.0000,1185.2000,0
2006-06-26,1182.6000,1188.0000,1181.2000,1184.0000,0
2006-06-27,1186.0000,1188.8000,1172.4000,1174.6000,0
2006-06-28,1177.2000,1187.0000,1170.8000,1173.4000,0
2006-06-29,1180.0000,1188.0000,1171.6000,1185.4000,0
2006-06-30,1185.4000,1190.8000,1177.2000,1181.0000,0
2006-07-03,1181.2000,1194.0000,1181.2000,1191.4000,0
2006-07-05,1191.6000,1195.0000,1182.0000,1186.8000,0
2006-07-06,1186.8000,1195.8000,1181.0000,1189.2000,0
2006-07-07,1188.0000,1189.6000,1174.8000,1179.4000,0
2006-07-10,1184.0000,1196.4000,1182.8000,1194.0000,0
2006-07-11,1192.0000,1196.0000,1181.2000,1189.2000,0
2006-07-12,1192.8000,1193.0000,1174.2000,1179.2000,0
2006-07-13,1180.0000,1182.8000,1165.4000,1167.2000,0
