Date,Open,High,Low,Close,Volume
1998-06-01,9.9062,10.1250,9.5312,9.6250,0
1998-06-02,9.7500,9.8750,9.1562,9.3750,0
1998-06-03,9.5000,9.6250,8.9375,9.0000,0
1998-06-04,9.1250,9.2188,8.9688,9.1875,0
1998-06-05,9.1562,9.4688,9.0625,9.1562,0
1998-06-08,9.1562,9.2500,8.9688,9.0625,0
1998-06-09,9.0938,9.3750,8.8125,9.3125,0
1998-06-10,9.1250,9.1250,8.7500,8.8125,0
1998-06-11,8.9062,8.9062,8.6250,8.8125,0
1998-06-12,8.8125,8.8438,8.1875,8.4375,0
1998-06-15,8.5000,8.8125,8.4375,8.5000,0
1998-06-16,8.6250,8.9375,8.5312,8.9062,0
1998-06-17,9.0625,9.3125,8.7812,8.8125,0
1998-06-18,8.8438,9.0625,8.6562,9.0000,0
1998-06-19,9.1250,9.1562,8.6875,8.7500,0
1998-06-22,8.7500,9.1875,8.5312,9.1250,0
1998-06-23,9.1250,9.2812,8.8750,8.9375,0
1998-06-24,9.0000,9.3125,8.7500,9.1250,0
1998-06-25,9.1875,9.3750,8.9062,9.0000,0
1998-06-26,8.9688,9.0625,8.7500,8.8750,0
1998-06-29,8.8750,8.9688,8.6562,8.6875,0
1998-06-30,8.6562,8.8438,8.4688,8.5312,0
1998-07-01,8.6562,8.6875,8.1875,8.3750,0
1998-07-02,8.3750,8.4688,8.0938,8.3750,0
1998-07-06,8.3750,8.3750,8.1875,8.2500,0
1998-07-07,8.1875,9.0312,8.0938,9.0000,0
1998-07-08,9.1250,9.5000,8.9375,9.0625,0
1998-07-09,8.0625,8.2500,7.6562,7.9375,0
1998-07-10,7.9062,7.9688,7.6875,7.8438,0
1998-07-13,7.8438,7.8750,7.5938,7.7188,0
1998-07-14,7.7812,8.1875,7.7812,8.1875,0
1998-07-15,8.2188,8.7500,8.1250,8.6875,0
1998-07-16,8.7812,8.8438,8.3438,8.3750,0
1998-07-17,8.3750,8.5000,8.1250,8.2812,0
1998-07-20,8.8125,8.8125,8.4375,8.6875,0
1998-07-21,8.8750,9.0938,8.8125,8.8438,0
1998-07-22,8.7500,8.7500,8.1875,8.2812,0
1998-07-23,8.4062,8.4375,8.1250,8.1875,0
1998-07-24,8.1875,8.3438,8.0312,8.1250,0
1998-07-27,8.0938,8.1562,7.9062,8.1562,0
1998-07-28,8.1250,8.3750,8.0312,8.2500,0
1998-07-29,8.2188,8.2500,7.8125,7.8438,0
1998-07-30,8.4375,8.6562,8.2500,8.5625,0
1998-07-31,8.7500,9.0625,8.5938,8.6250,0
1998-08-03,8.5625,8.5938,8.2812,8.4375,0
1998-08-04,8.5000,8.5938,7.9688,8.0000,0
1998-08-05,8.0625,8.2500,7.7812,7.9375,0
1998-08-06,7.9062,8.6250,7.8750,8.3750,0
1998-08-07,8.8438,9.4062,8.8125,9.0000,0
1998-08-10,9.0938,9.3750,8.9688,9.0000,0
1998-08-11,8.5312,9.2188,8.5312,8.9375,0
1998-08-12,9.3125,9.5312,9.2188,9.3125,0
1998-08-13,9.3125,9.4375,8.8438,9.0000,0
1998-08-14,9.3125,9.3750,9.0000,9.0000,0
1998-08-17,9.1250,9.4375,9.0938,9.4375,0
1998-08-18,9.5000,10.0625,9.4375,10.0312,0
1998-08-19,9.9688,9.9688,9.1250,9.4062,0
1998-08-20,9.0000,9.1562,8.7812,8.9062,0
1998-08-21,8.6250,8.8125,8.3750,8.8125,0
1998-08-24,8.8750,9.1250,8.5625,8.6562,0
1998-08-25,8.8438,9.0312,8.7500,8.7812,0
1998-08-26,8.5938,8.6875,8.4375,8.5000,0
1998-08-27,8.1250,8.2188,7.5312,7.6875,0
1998-08-28,7.8125,8.0938,7.3750,7.5938,0
1998-08-31,7.5938,7.6875,6.3750,6.5000,0
1998-09-01,6.6562,7.2500,6.3750,7.1875,0
1998-09-02,7.4062,7.6875,7.0625,7.3438,0
1998-09-03,7.1562,7.5625,6.9375,7.0000,0
1998-09-04,7.1562,7.2188,6.7500,7.1250,0
1998-09-08,7.5625,7.7188,7.2812,7.5625,0
1998-09-09,7.9062,8.3125,7.8438,8.1250,0
1998-09-10,7.7812,8.1562,7.5625,8.0938,0
1998-09-11,8.4688,8.6875,8.3750,8.6250,0
1998-09-14,8.7500,8.8438,8.3750,8.4062,0
1998-09-15,8.3438,8.5312,8.0938,8.4688,0
1998-09-16,8.5000,8.6562,8.3125,8.3750,0
1998-09-17,8.2500,9.1875,8.2500,8.8750,0
1998-09-18,8.9375,9.0938,8.7812,8.9688,0
1998-09-21,8.7500,9.0625,8.5625,9.0000,0
1998-09-22,9.4375,9.5938,9.3125,9.3750,0
1998-09-23,9.7500,10.4688,9.4375,10.4688,0
1998-09-24,10.0938,10.5000,9.7500,9.9688,0
1998-09-25,9.7500,10.2812,9.7500,10.2188,0
1998-09-28,10.1875,10.2188,9.7188,9.7812,0
1998-09-29,9.8750,9.9688,9.2188,9.4062,0
1998-09-30,9.3438,9.3438,8.9375,9.2812,0
1998-10-01,9.1562,9.6250,8.7500,8.8125,0
1998-10-02,9.0938,9.4062,8.9062,9.3750,0
1998-10-05,9.3750,9.6562,8.7812,9.1875,0
1998-10-06,9.7188,9.9375,9.1250,9.9375,0
1998-10-07,9.3125,9.6250,7.7500,7.8750,0
1998-10-08,7.5000,7.5625,6.8125,7.0000,0
1998-10-09,7.2812,8.0000,7.0312,7.5938,0
1998-10-12,8.0000,8.3438,7.9062,8.0000,0
1998-10-13,8.1250,8.2812,7.6250,7.8438,0
1998-10-14,7.7500,8.3125,7.6562,8.0312,0
1998-10-15,8.0312,8.5625,8.0312,8.4688,0
1998-10-16,8.7500,8.7500,8.2500,8.5938,0
1998-10-19,8.6562,8.6562,8.2812,8.4688,0
1998-10-20,8.6250,9.1250,8.5000,8.5625,0
1998-10-21,8.7812,8.8125,8.3750,8.5938,0
1998-10-22,8.5938,8.5938,8.3438,8.5000,0
1998-10-23,8.5625,8.9062,8.5625,8.7188,0
1998-10-26,8.9375,9.0000,8.6562,8.7188,0
1998-10-27,8.8750,8.9688,8.4375,8.7188,0
1998-10-28,8.7188,9.5625,8.5312,9.4062,0
1998-10-29,9.4062,10.0000,9.2500,9.9375,0
1998-10-30,10.5000,11.4062,10.2812,11.2812,0
1998-11-02,11.4375,11.6875,11.0312,11.5625,0
1998-11-03,11.5625,11.8750,11.2812,11.7188,0
1998-11-04,12.0000,12.5625,11.9688,12.5625,0
1998-11-05,12.3125,12.5938,12.1875,12.3125,0
1998-11-06,12.1875,12.4688,11.9062,12.2188,0
1998-11-09,12.2500,12.5000,12.0312,12.5000,0
1998-11-10,12.2812,13.3750,12.2500,13.2500,0
1998-11-11,13.3438,13.8438,13.2500,13.5000,0
1998-11-12,13.3750,14.0312,12.8125,13.7500,0
1998-11-13,13.7500,13.8750,13.2500,13.3750,0
1998-11-16,13.7812,13.8750,13.5625,13.8438,0
1998-11-17,13.7188,13.8750,13.3125,13.5312,0
1998-11-18,13.7188,13.9688,13.6562,13.8438,0
1998-11-19,13.8750,14.4375,13.8750,14.3125,0
1998-11-20,14.4688,14.5000,13.3750,13.7188,0
1998-11-23,13.7500,13.8125,13.2188,13.2500,0
1998-11-24,13.2500,13.6250,12.7500,12.8125,0
1998-11-25,13.8750,14.6875,13.8750,14.5625,0
1998-11-27,14.6250,14.6875,14.5000,14.5938,0
1998-11-30,14.3750,14.4375,13.8125,13.8438,0
1998-12-01,13.3125,14.5938,13.3125,14.5938,0
1998-12-02,14.4688,14.6562,14.0938,14.3125,0
1998-12-03,14.5625,15.6875,14.4375,14.7500,0
1998-12-04,15.3750,15.9688,15.1562,15.6875,0
1998-12-07,15.6875,16.0000,15.4688,15.7500,0
1998-12-08,15.8125,16.3750,15.6562,16.0000,0
1998-12-09,15.9375,16.0000,15.3750,15.4688,0
1998-12-10,15.4062,15.5938,14.3750,14.8750,0
1998-12-11,14.4688,15.4375,14.4688,15.0938,0
1998-12-14,14.7812,14.9062,14.1875,14.2812,0
1998-12-15,14.4375,14.8750,14.1250,14.3750,0
1998-12-16,14.4375,14.4688,13.4062,13.7188,0
1998-12-17,13.8125,14.2500,13.2500,14.0000,0
1998-12-18,14.2500,14.5000,13.8438,14.0312,0
1998-12-21,14.2500,14.6875,14.2500,14.4375,0
1998-12-22,14.5000,14.5938,13.9375,14.3750,0
1998-12-23,14.3438,14.4375,13.6250,13.8438,0
1998-12-24,13.9688,14.1250,13.7812,14.0000,0
1998-12-28,14.0000,14.0938,13.6250,13.6562,0
1998-12-29,13.5000,13.7500,13.3125,13.7500,0
1998-12-30,14.2500,14.9062,13.8125,14.5625,0
1998-12-31,14.6250,14.9375,14.0000,14.5000,0
1999-01-04,14.5000,14.7500,13.8125,14.0000,0
1999-01-05,13.9688,14.2812,13.5000,13.8438,0
1999-01-06,14.0625,14.1875,13.5625,13.6250,0
1999-01-07,13.5000,14.1562,13.4375,13.7188,0
1999-01-08,14.2500,14.3125,13.8438,14.0000,0
1999-01-11,14.2500,15.9688,14.2500,15.9375,0
1999-01-12,16.1250,16.5000,15.3750,15.7500,0
1999-01-13,14.7500,16.4062,13.8750,13.8750,0
1999-01-14,12.6250,12.6250,11.0000,11.2500,0
1999-01-15,11.5000,11.5000,10.5000,11.1875,0
1999-01-19,11.6875,12.0000,10.8438,11.0625,0
1999-01-20,11.0625,11.2188,10.3750,11.0000,0
1999-01-21,10.4375,10.6250,9.8750,10.5000,0
1999-01-22,10.3750,11.0312,10.3125,10.7812,0
1999-01-25,11.0625,11.2500,10.6875,10.7188,0
1999-01-26,10.8750,11.2500,10.6875,11.0000,0
1999-01-27,11.0625,11.1250,10.5938,10.6250,0
1999-01-28,11.0000,11.5000,10.9062,11.4375,0
1999-01-29,11.5625,11.7500,11.2500,11.4688,0
