Date,Open,High,Low,Close,Volume
1985-06-03,6.0187,6.0348,5.9704,5.9865,0
1985-06-04,6.0026,6.0509,5.9704,6.0187,0
1985-06-05,6.0831,6.1152,6.0670,6.0992,0
1985-06-06,6.0509,6.0992,6.0026,6.0992,0
1985-06-07,6.0992,6.1152,5.9865,6.0026,0
1985-06-10,5.9865,6.0670,5.9704,6.0670,0
1985-06-11,6.0670,6.0831,6.0026,6.0187,0
1985-06-12,6.0187,6.0509,5.9704,6.0187,0
1985-06-13,6.0026,6.0348,5.8578,5.8739,0
1985-06-14,5.9543,6.1313,5.9060,6.0831,0
1985-06-17,6.0187,6.0348,5.9704,6.0026,0
1985-06-18,5.9704,6.0992,5.9704,6.0831,0
1985-06-19,6.0831,6.0831,5.9865,5.9865,0
1985-06-20,6.0026,6.0348,5.9221,5.9865,0
1985-06-21,6.0026,6.1313,5.9704,6.1313,0
1985-06-24,6.0670,6.2923,6.0348,6.2118,0
1985-06-25,6.2279,6.3566,6.1957,6.2279,0
1985-06-26,6.1957,6.2118,6.1313,6.1635,0
1985-06-27,6.1796,6.2440,6.1313,6.2118,0
1985-06-28,6.1152,6.1957,6.0992,6.1152,0
1985-07-01,6.1474,6.1474,6.0509,6.1313,0
1985-07-02,6.0992,6.1635,6.0348,6.0831,0
1985-07-03,6.0670,6.0831,6.0187,6.0509,0
1985-07-05,6.0831,6.1313,6.0509,6.1313,0
1985-07-08,6.1313,6.1474,6.0992,6.0992,0
1985-07-09,6.0831,6.1152,6.0026,6.0026,0
1985-07-10,6.0348,6.0992,6.0187,6.0831,0
1985-07-11,6.1152,6.1796,6.0992,6.1474,0
1985-07-12,6.1313,6.1635,6.0509,6.0831,0
1985-07-15,6.0187,6.0992,5.9382,5.9543,0
1985-07-16,5.9543,6.1313,5.9543,6.1152,0
1985-07-17,6.1635,6.2279,6.1474,6.2118,0
1985-07-18,6.1957,6.1957,6.0187,6.0348,0
1985-07-19,6.0348,6.0670,6.0026,6.0187,0
1985-07-22,6.0026,6.0026,5.9221,5.9704,0
1985-07-23,5.9221,6.0026,5.8739,5.9382,0
1985-07-24,5.8899,5.9060,5.6968,5.7451,0
1985-07-25,5.7612,5.7934,5.6646,5.6968,0
1985-07-26,5.7129,5.7612,5.6164,5.6164,0
1985-07-29,5.6486,5.6646,5.6003,5.6325,0
1985-07-30,5.6003,5.6164,5.4233,5.5037,0
1985-07-31,5.5520,5.7129,5.5520,5.6968,0
1985-08-01,5.7612,5.8256,5.7451,5.7934,0
1985-08-02,5.7773,5.7773,5.7129,5.7129,0
1985-08-05,5.7129,5.7290,5.6325,5.7290,0
1985-08-06,5.7290,5.7290,5.5681,5.6003,0
1985-08-07,5.5359,5.6003,5.5198,5.5198,0
1985-08-08,5.5681,5.6486,5.5520,5.6486,0
1985-08-09,5.6486,5.6486,5.5681,5.5842,0
1985-08-12,5.6003,5.6325,5.5359,5.6164,0
1985-08-13,5.6003,5.6646,5.5359,5.6003,0
1985-08-14,5.6003,5.6325,5.5681,5.5681,0
1985-08-15,5.5842,5.6003,5.5037,5.5198,0
1985-08-16,5.4715,5.5198,5.4233,5.4394,0
1985-08-19,5.4554,5.4876,5.3911,5.4072,0
1985-08-20,5.3750,5.4394,5.3428,5.4394,0
1985-08-21,5.4715,5.5198,5.4233,5.5037,0
1985-08-22,5.6325,5.6486,5.3911,5.4072,0
1985-08-23,5.3750,5.4233,5.3106,5.3589,0
1985-08-26,5.3750,5.4233,5.3106,5.3911,0
1985-08-27,5.4233,5.4554,5.3750,5.4394,0
1985-08-28,5.4394,5.4394,5.3267,5.4394,0
1985-08-29,5.4233,5.4394,5.3428,5.3750,0
1985-08-30,5.3428,5.3589,5.3106,5.3106,0
1985-09-03,5.3267,5.3750,5.2623,5.2784,0
1985-09-04,5.2784,5.3106,5.1980,5.2945,0
1985-09-05,5.3267,5.3750,5.2784,5.2784,0
1985-09-06,5.2945,5.4554,5.2784,5.4554,0
1985-09-09,5.4554,5.4715,5.3911,5.4233,0
1985-09-10,5.4394,5.5198,5.4072,5.4394,0
1985-09-11,5.4072,5.4233,5.2945,5.3106,0
1985-09-12,5.3106,5.4233,5.2945,5.4072,0
1985-09-13,5.4394,5.4876,5.2784,5.4072,0
1985-09-16,5.4394,5.5359,5.3911,5.5037,0
1985-09-17,5.5198,5.5520,5.2945,5.3106,0
1985-09-18,5.2945,5.3106,5.1658,5.2301,0
1985-09-19,5.2462,5.4072,5.2462,5.3750,0
1985-09-20,5.4554,5.4554,5.3911,5.3911,0
1985-09-23,5.5037,5.5359,5.4394,5.4876,0
1985-09-24,5.4876,5.5198,5.4715,5.4715,0
1985-09-25,5.4394,5.4394,5.3106,5.3267,0
1985-09-26,5.3106,5.3750,5.2462,5.3750,0
1985-09-30,5.3428,5.3911,5.2945,5.3428,0
1985-10-01,5.3267,5.4876,5.3106,5.4715,0
1985-10-02,5.4715,5.4876,5.3267,5.3428,0
1985-10-03,5.3267,5.4394,5.3106,5.3911,0
1985-10-04,5.3750,5.3911,5.3106,5.3428,0
1985-10-07,5.3428,5.3750,5.3106,5.3267,0
1985-10-08,5.3428,5.3589,5.2945,5.3106,0
1985-10-09,5.3106,5.3428,5.2301,5.2301,0
1985-10-10,5.2462,5.3106,5.2301,5.2623,0
1985-10-11,5.2945,5.3911,5.2462,5.3589,0
1985-10-14,5.3428,5.4876,5.3267,5.4876,0
1985-10-15,5.4876,5.5198,5.4554,5.4554,0
1985-10-16,5.4554,5.4715,5.3911,5.4394,0
1985-10-17,5.4233,5.5842,5.4233,5.5681,0
1985-10-18,5.5842,5.7290,5.5681,5.6646,0
1985-10-21,5.6646,5.6646,5.6164,5.6325,0
1985-10-22,5.6646,5.7451,5.6486,5.6968,0
1985-10-23,5.7129,5.7451,5.6807,5.7290,0
1985-10-24,5.7129,5.7290,5.6003,5.6164,0
1985-10-25,5.6003,5.6003,5.5359,5.5520,0
1985-10-28,5.5520,5.5842,5.5198,5.5520,0
1985-10-29,5.6325,5.7773,5.6164,5.7612,0
1985-10-30,5.7934,5.9221,5.7773,5.9060,0
1985-10-31,5.9221,5.9221,5.7934,5.8578,0
1985-11-01,5.8256,5.8739,5.7934,5.8578,0
1985-11-04,5.8578,5.8899,5.7773,5.8256,0
1985-11-05,5.8256,5.9060,5.4715,5.9060,0
1985-11-06,6.0509,6.0831,5.9865,6.0831,0
1985-11-07,6.0831,6.0992,6.0187,6.0348,0
1985-11-08,6.0348,6.1635,6.0187,6.1313,0
1985-11-11,6.1635,6.2923,6.0992,6.2923,0
1985-11-12,6.2923,6.2923,6.2279,6.2923,0
1985-11-13,6.2601,6.2601,6.1474,6.1635,0
1985-11-14,6.1152,6.2279,6.1152,6.1796,0
1985-11-15,6.1796,6.2279,6.1313,6.1635,0
1985-11-18,6.1635,6.1957,6.1474,6.1957,0
1985-11-19,6.2279,6.2923,6.1957,6.2279,0
1985-11-20,6.1957,6.2279,6.1313,6.1796,0
1985-11-21,6.1957,6.2762,6.1635,6.2601,0
1985-11-22,6.2279,6.3566,6.2118,6.3405,0
1985-11-25,6.3245,6.3405,6.1957,6.2118,0
1985-11-26,6.2118,6.2601,6.1635,6.2440,0
1985-11-27,6.2440,6.3245,6.2279,6.3084,0
1985-11-29,6.3566,6.3727,6.2762,6.2923,0
1985-12-02,6.2762,6.2923,6.2118,6.2440,0
1985-12-03,6.2118,6.2440,6.1957,6.2440,0
1985-12-04,6.2440,6.4371,6.2440,6.4371,0
1985-12-05,6.4693,6.6302,6.4532,6.4693,0
1985-12-06,6.4371,6.4371,6.3405,6.4049,0
1985-12-09,6.4693,6.5980,6.4371,6.5819,0
1985-12-10,6.5658,6.6302,6.5337,6.5819,0
1985-12-11,6.5980,6.7751,6.5980,6.7590,0
1985-12-12,6.7911,6.8716,6.7429,6.7751,0
1985-12-13,6.8072,7.0486,6.8072,6.9843,0
1985-12-16,6.9521,7.0486,6.9199,6.9682,0
1985-12-17,7.0003,7.0808,6.9360,6.9521,0
1985-12-18,6.8877,6.9682,6.8072,6.8716,0
1985-12-19,6.8072,6.8394,6.7429,6.7751,0
1985-12-20,6.8072,6.9038,6.7911,6.7911,0
1985-12-23,6.7911,6.8233,6.6785,6.7268,0
1985-12-24,6.6785,6.7107,6.5980,6.6463,0
1985-12-26,6.6463,6.6946,6.6141,6.6785,0
1985-12-27,6.8555,6.8555,6.6463,6.8555,0
1985-12-30,6.8716,6.9360,6.8394,6.9038,0
1985-12-31,6.9199,6.9199,6.7911,6.8233,0
1986-01-02,6.7911,6.8877,6.7107,6.8072,0
1986-01-03,6.8233,6.8877,6.7911,6.8233,0
1986-01-06,6.8233,6.8394,6.6946,6.8072,0
1986-01-07,6.8394,6.8877,6.8233,6.8394,0
1986-01-08,6.9199,7.0486,6.6624,6.7268,0
1986-01-09,6.6624,6.7268,6.5176,6.7107,0
1986-01-10,6.7107,6.7751,6.5337,6.5980,0
1986-01-13,6.5980,6.5980,6.5015,6.5498,0
1986-01-14,6.5980,6.6141,6.5337,6.5980,0
1986-01-15,6.6141,6.6946,6.5980,6.6785,0
1986-01-16,6.7107,6.7911,6.6302,6.7911,0
1986-01-17,6.8233,6.8394,6.6946,6.7751,0
1986-01-20,6.6946,6.6946,6.6302,6.6785,0
1986-01-21,6.6785,6.7268,6.5980,6.5980,0
1986-01-22,6.5980,6.6463,6.5337,6.5658,0
1986-01-23,6.5658,6.8233,6.5498,6.7911,0
1986-01-24,6.8394,7.0003,6.8394,6.9682,0
1986-01-27,7.0647,7.1774,6.7751,7.1452,0
1986-01-28,7.1613,7.2900,7.1130,7.2900,0
1986-01-29,7.3383,7.4670,7.2900,7.4670,0
1986-01-30,7.4188,7.5797,7.3222,7.3866,0
1986-01-31,7.2578,7.4349,7.2417,7.2417,0
1986-02-03,7.2417,7.4670,6.8555,7.4670,0
1986-02-04,7.4349,7.5314,7.3222,7.4188,0
1986-02-05,7.4188,7.7245,7.4027,7.7245,0
1986-02-06,7.6280,7.7728,7.5636,7.6119,0
1986-02-07,7.5314,7.7084,7.3866,7.6280,0
1986-02-10,7.5636,7.7084,7.5475,7.6762,0
1986-02-11,7.6923,7.7567,7.5797,7.5797,0
1986-02-12,7.6119,7.7084,7.5314,7.5958,0
1986-02-13,7.6280,7.6602,7.5314,7.6602,0
1986-02-14,7.7084,8.0142,7.6602,8.0142,0
1986-02-18,7.9820,8.1107,7.9337,8.0142,0
1986-02-19,7.9981,8.1268,7.8694,7.9015,0
1986-02-20,7.7889,8.1429,7.7728,8.1268,0
1986-02-21,8.1590,8.3360,8.1268,8.3039,0
1986-02-24,8.2878,8.5292,8.1590,8.3843,0
1986-02-25,8.4326,8.4326,8.2234,8.3200,0
1986-02-26,8.2878,8.4809,8.2234,8.3682,0
1986-02-27,8.4165,8.5453,8.3521,8.5292,0
1986-02-28,8.5935,8.6096,8.4165,8.4648,0
1986-03-03,8.5935,8.7706,8.4326,8.5131,0
1986-03-04,8.4970,8.7384,8.4648,8.5613,0
1986-03-05,8.4648,8.5935,8.4004,8.5453,0
1986-03-06,8.6257,8.7706,8.6096,8.6418,0
1986-03-07,8.6096,8.7384,8.5774,8.7384,0
1986-03-10,8.6740,8.6740,8.5292,8.5613,0
1986-03-11,8.5613,8.7545,8.4326,8.7545,0
1986-03-12,8.7545,8.8510,8.6579,8.6740,0
1986-03-13,8.6257,8.7384,8.5774,8.7062,0
1986-03-14,8.7706,9.0280,8.7545,9.0119,0
1986-03-17,8.8832,9.0119,8.7384,8.7866,0
1986-03-18,8.7545,8.9154,8.7384,8.8188,0
1986-03-19,8.8349,8.8671,8.7384,8.8027,0
1986-03-20,8.8349,8.8832,8.7223,8.7866,0
1986-03-21,8.7545,8.7866,8.4487,8.4487,0
1986-03-24,8.4970,8.6257,8.4487,8.4970,0
1986-03-25,8.4809,8.5131,8.4004,8.4326,0
1986-03-26,8.4970,8.8349,8.4487,8.7545,0
1986-03-27,8.7866,9.0119,8.7866,8.8510,0
1986-03-31,8.8510,8.9958,8.7706,8.8510,0
1986-04-01,8.8188,8.8510,8.5774,8.6096,0
1986-04-02,8.6901,8.7223,8.5935,8.7223,0
1986-04-03,8.7223,8.8027,8.5292,8.6096,0
1986-04-04,8.5292,8.6096,8.2717,8.3039,0
