Date,Open,High,Low,Close,Volume
1985-06-03,9.8519,10.0000,9.8148,9.8333,0
1985-06-04,9.8333,9.8519,9.6296,9.6296,0
1985-06-05,9.8333,9.9259,9.8333,9.9259,0
1985-06-06,9.9259,10.3704,9.8519,10.3704,0
1985-06-07,10.3333,10.3333,10.1296,10.1852,0
1985-06-10,10.1389,10.1389,9.8611,10.0278,0
1985-06-11,10.0278,10.0278,9.8889,10.0000,0
1985-06-12,10.0000,10.1111,9.8611,9.9722,0
1985-06-13,9.8889,9.8889,9.6667,9.6944,0
1985-06-14,9.7222,9.8333,9.7222,9.7778,0
1985-06-17,9.7778,9.9444,9.7500,9.8611,0
1985-06-18,9.8611,9.8889,9.7500,9.8889,0
1985-06-19,9.8889,9.8889,9.8056,9.8056,0
1985-06-20,9.8056,9.8056,9.6667,9.7778,0
1985-06-21,9.7778,9.8056,9.6111,9.6667,0
1985-06-24,9.6667,9.6667,9.5833,9.6667,0
1985-06-25,9.6667,9.9167,9.6667,9.8056,0
1985-06-26,9.8056,9.8333,9.7222,9.8333,0
1985-06-27,9.8333,9.8889,9.7778,9.8611,0
1985-06-28,9.8889,9.9722,9.8889,9.9444,0
1985-07-01,9.9444,10.1111,9.9167,10.0833,0
1985-07-02,10.0833,10.3056,10.0833,10.3056,0
1985-07-03,10.3056,10.4167,10.2222,10.2778,0
1985-07-05,10.2778,10.3889,10.2778,10.3889,0
1985-07-08,10.3889,10.4722,10.2778,10.4167,0
1985-07-09,10.4167,10.4167,10.2778,10.3333,0
1985-07-10,10.3333,10.3889,10.2222,10.3889,0
1985-07-11,10.3889,10.4167,10.2222,10.2778,0
1985-07-12,10.2778,10.5556,10.2778,10.5000,0
1985-07-15,10.5000,10.7778,10.5000,10.5833,0
1985-07-16,10.5833,11.0000,10.5833,10.9444,0
1985-07-17,11.0278,11.2222,11.0278,11.0833,0
1985-07-18,11.0833,11.0833,10.8889,10.9444,0
1985-07-19,10.9444,11.0278,10.7778,10.8056,0
1985-07-22,10.8056,10.8056,10.5556,10.6111,0
1985-07-23,10.6111,10.9444,10.5000,10.8333,0
1985-07-24,10.8056,10.8056,10.5000,10.5833,0
1985-07-25,10.5278,10.5278,10.3889,10.4444,0
1985-07-26,10.4444,10.4722,10.3333,10.4722,0
1985-07-29,10.4722,10.4722,10.1944,10.2500,0
1985-07-30,10.2500,10.3611,10.1944,10.2222,0
1985-07-31,10.3611,10.7222,10.3611,10.7222,0
1985-08-01,10.8333,11.2222,10.8333,11.0833,0
1985-08-02,11.0833,11.1667,10.9722,11.0556,0
1985-08-05,11.0556,11.0556,10.8889,10.9722,0
1985-08-06,10.9722,11.0278,10.6667,10.7222,0
1985-08-07,10.7222,10.9444,10.7222,10.9167,0
1985-08-08,10.9444,11.1111,10.9444,11.0833,0
1985-08-09,11.0833,11.0833,11.0000,11.0833,0
1985-08-12,10.9722,10.9722,10.8333,10.8611,0
1985-08-13,10.8611,11.0000,10.7778,10.9167,0
1985-08-14,10.9167,10.9167,10.8056,10.8056,0
1985-08-15,10.7778,10.7778,10.4722,10.7222,0
1985-08-16,10.7222,10.7222,10.3333,10.4444,0
1985-08-19,10.4444,10.4722,10.3333,10.3889,0
1985-08-20,10.3889,10.6111,10.3611,10.5556,0
1985-08-21,10.5556,10.7778,10.5000,10.7778,0
1985-08-22,10.6667,10.6667,10.4444,10.5833,0
1985-08-23,10.5278,10.5278,10.3056,10.3333,0
1985-08-26,10.3333,10.4444,10.1667,10.4444,0
1985-08-27,10.5278,10.6667,10.5278,10.6389,0
1985-08-28,10.6389,10.8889,10.6111,10.8333,0
1985-08-29,10.8333,10.8889,10.7500,10.8889,0
1985-08-30,10.8889,10.8889,10.6944,10.6944,0
1985-09-03,10.6944,10.7222,10.5000,10.5556,0
1985-09-04,10.5278,10.5278,10.2778,10.3333,0
1985-09-05,10.5556,10.8611,10.5556,10.6944,0
1985-09-06,10.6944,10.8333,10.6944,10.8333,0
1985-09-09,10.8333,10.8333,10.5556,10.7500,0
1985-09-10,10.7500,10.7778,10.6111,10.6667,0
1985-09-11,10.6667,10.6944,10.5833,10.5833,0
1985-09-12,10.5833,10.6389,10.5000,10.5000,0
1985-09-13,10.5000,10.5000,10.1944,10.3611,0
1985-09-16,10.3056,10.3056,10.1667,10.2500,0
1985-09-17,10.2222,10.2222,10.0000,10.0556,0
1985-09-18,10.0556,10.2778,10.0556,10.2500,0
1985-09-19,10.2500,10.4167,10.2222,10.3611,0
1985-09-20,10.4167,10.6111,10.4167,10.4167,0
1985-09-23,10.4167,10.6389,10.4167,10.4167,0
1985-09-24,10.4167,10.5556,10.1667,10.2222,0
1985-09-25,10.2222,10.2500,9.9444,10.0000,0
1985-09-26,10.0000,10.1111,9.8889,10.0833,0
1985-09-30,10.0833,10.1389,9.9722,10.0833,0
1985-10-01,10.0833,10.3889,10.0278,10.3611,0
1985-10-02,10.3611,10.5000,10.3333,10.3889,0
1985-10-03,10.3889,10.5278,10.3333,10.3333,0
1985-10-04,10.3333,10.3611,10.0278,10.0278,0
1985-10-07,10.0000,10.0000,9.8056,9.8889,0
1985-10-08,9.8333,9.8333,9.2222,9.7778,0
1985-10-09,9.7778,9.8056,9.6667,9.6667,0
1985-10-10,9.6667,9.6944,9.5556,9.5556,0
1985-10-11,9.5833,9.7500,9.5833,9.6944,0
1985-10-14,9.6944,9.8889,9.6667,9.8611,0
1985-10-15,9.8611,10.1944,9.8611,9.9722,0
1985-10-16,9.9722,10.0833,9.8056,10.0278,0
1985-10-17,10.0833,10.2222,10.0833,10.1667,0
1985-10-18,10.1667,10.2500,10.0278,10.0833,0
1985-10-21,10.0833,10.1667,9.7778,9.7778,0
1985-10-22,9.8889,10.1944,9.8889,10.0833,0
1985-10-23,10.1389,10.5278,10.1389,10.4444,0
1985-10-24,10.4444,10.5833,10.3056,10.3333,0
1985-10-25,10.3333,10.3889,10.0556,10.1389,0
1985-10-28,10.1111,10.1111,9.8889,10.0000,0
1985-10-29,10.0278,10.1667,10.0278,10.0833,0
1985-10-30,10.1944,10.3611,10.1944,10.3056,0
1985-10-31,10.3056,10.3611,10.1389,10.1944,0
1985-11-01,10.1944,10.1944,10.0556,10.1667,0
1985-11-04,10.1667,10.2500,10.0278,10.1667,0
1985-11-05,10.1667,10.3889,10.1667,10.3889,0
1985-11-06,10.3889,10.4444,10.1111,10.3333,0
1985-11-07,10.3333,10.5833,10.3056,10.5000,0
1985-11-08,10.5000,10.6111,10.4167,10.4444,0
1985-11-11,10.4444,10.5278,10.4167,10.5000,0
1985-11-12,10.5278,10.7500,10.5278,10.6389,0
1985-11-13,10.6389,10.7222,10.6111,10.6667,0
1985-11-14,10.6667,10.7500,10.6111,10.6944,0
1985-11-15,10.6944,10.7500,10.5278,10.5556,0
1985-11-18,10.5556,10.6389,10.4444,10.4722,0
1985-11-19,10.4722,10.6111,10.3333,10.4444,0
1985-11-20,10.4444,10.5556,10.4167,10.5000,0
1985-11-21,10.5000,10.8611,10.5000,10.6667,0
1985-11-22,10.6667,10.7778,10.6111,10.6944,0
1985-11-25,10.6944,10.7222,10.1944,10.5833,0
1985-11-26,10.5833,10.6667,10.5000,10.5556,0
1985-11-27,10.5556,10.8611,10.5556,10.7778,0
1985-11-29,10.8333,11.1111,10.8333,10.9167,0
1985-12-02,10.9167,10.9167,10.8333,10.8889,0
1985-12-03,10.8889,11.0278,10.8611,11.0278,0
1985-12-04,11.0278,11.1944,11.0278,11.1389,0
1985-12-05,11.1667,11.5278,11.1667,11.2778,0
1985-12-06,11.2778,11.2778,11.0556,11.2778,0
1985-12-09,11.3056,11.4722,11.3056,11.4167,0
1985-12-10,11.4167,11.5000,11.3333,11.3889,0
1985-12-11,11.4167,11.6667,11.4167,11.5556,0
1985-12-12,11.5556,11.6111,11.1389,11.2500,0
1985-12-13,11.3056,11.6389,11.3056,11.5278,0
1985-12-16,11.5556,11.6667,11.5556,11.6111,0
1985-12-17,11.6111,11.6389,11.5000,11.5556,0
1985-12-18,11.5278,11.5278,11.2778,11.3333,0
1985-12-19,11.3333,11.3333,11.1667,11.2778,0
1985-12-20,11.2778,11.3889,11.1944,11.2778,0
1985-12-23,11.2778,11.3333,10.8333,10.8889,0
1985-12-24,10.8611,10.8611,10.5833,10.7778,0
1985-12-26,10.8333,10.9444,10.8333,10.8889,0
1985-12-27,10.9722,11.2222,10.9722,11.1389,0
1985-12-30,11.1944,11.5833,11.1944,11.5000,0
1985-12-31,11.5556,11.7222,11.5556,11.6111,0
1986-01-02,11.6111,11.7500,11.5000,11.6667,0
1986-01-03,11.7500,11.8889,11.7500,11.8333,0
1986-01-06,11.8333,11.8889,11.7778,11.8333,0
1986-01-07,11.8333,11.8611,11.7500,11.8056,0
1986-01-08,11.8056,11.8056,11.1667,11.1667,0
1986-01-09,11.1667,11.2500,10.9722,11.2500,0
1986-01-10,11.2500,11.4444,10.6111,10.6667,0
1986-01-13,10.6667,10.8889,10.6111,10.7778,0
1986-01-14,10.7778,10.8056,10.3333,10.4444,0
1986-01-15,10.4722,10.8333,10.4722,10.8333,0
1986-01-16,10.8333,10.9722,10.6667,10.6667,0
1986-01-17,10.6667,10.7500,10.4444,10.5278,0
1986-01-20,10.5278,10.7500,10.4167,10.7500,0
1986-01-21,10.7500,10.8889,10.6944,10.8611,0
1986-01-22,10.8333,10.8333,10.4722,10.5556,0
1986-01-23,10.5556,10.7500,10.3889,10.4167,0
1986-01-24,10.4167,10.6111,10.3889,10.5833,0
1986-01-27,10.5833,10.6389,10.2222,10.3889,0
1986-01-28,10.3889,10.5833,10.2778,10.5833,0
1986-01-29,10.5833,10.6944,10.4722,10.6111,0
1986-01-30,10.6111,10.7778,10.5556,10.6111,0
1986-01-31,10.6111,10.8611,10.5556,10.7222,0
1986-02-03,10.7222,10.8056,10.5556,10.6944,0
1986-02-04,10.6944,10.6944,10.1667,10.4167,0
1986-02-05,10.4167,10.4444,10.1944,10.2778,0
1986-02-06,10.3333,10.5278,10.3333,10.3611,0
1986-02-07,10.3611,10.6667,10.2500,10.6667,0
1986-02-10,10.6944,11.0000,10.6944,11.0000,0
1986-02-11,11.0000,11.0000,10.8056,10.8889,0
1986-02-12,10.9167,11.1111,10.9167,11.1111,0
1986-02-13,11.1111,11.1111,10.9167,11.0833,0
1986-02-14,11.0833,11.1111,11.0278,11.1111,0
1986-02-18,11.1111,11.1944,10.8889,10.9722,0
1986-02-19,10.9722,11.0000,10.6389,10.8333,0
1986-02-20,10.8333,11.0000,10.6944,11.0000,0
1986-02-21,11.0278,11.2500,11.0278,11.1111,0
