Date,Open,High,Low,Close,Volume
2006-04-03,474.1000,478.6000,473.0000,474.1000,0
2006-04-04,474.3000,483.8000,474.1000,482.1000,0
2006-04-05,483.0000,484.7000,481.3000,482.6000,0
2006-04-06,480.6000,481.7000,476.6000,478.5000,0
2006-04-07,480.4000,483.4000,474.6000,476.6000,0
2006-04-10,479.0000,482.5000,477.0000,479.3000,0
2006-04-11,477.0000,480.9000,473.7000,474.7000,0
2006-04-12,475.0000,478.3000,474.8000,476.0000,0
2006-04-13,474.1000,481.8000,474.1000,480.5000,0
2006-04-17,484.1000,485.6000,482.0000,483.5000,0
2006-04-18,484.4000,486.0000,479.0000,484.8000,0
2006-04-19,484.8000,487.1000,480.5000,482.3000,0
2006-04-20,483.0000,487.2000,482.6000,483.0000,0
2006-04-21,484.9000,484.9000,477.9000,480.1000,0
2006-04-24,479.8000,481.1000,478.0000,480.0000,0
2006-04-25,480.0000,480.2000,474.2000,474.6000,0
2006-04-26,474.6000,478.3000,474.6000,477.5000,0
2006-04-27,472.0000,484.4000,471.5000,481.5000,0
2006-04-28,484.0000,499.5000,484.0000,499.5000,0
2006-05-01,500.0000,500.6000,492.5000,494.6000,0
2006-05-02,496.5000,498.7000,492.6000,496.0000,0
2006-05-03,497.8000,499.4000,494.2000,498.5000,0
2006-05-04,498.5000,498.8000,492.6000,493.8000,0
2006-05-05,497.8000,503.7000,496.9000,503.7000,0
2006-05-08,504.1000,507.2000,500.6000,501.6000,0
2006-05-09,502.5000,505.6000,500.0000,503.5000,0
2006-05-10,501.0000,505.7000,500.0000,503.0000,0
2006-05-11,505.3000,505.3000,491.9000,494.8000,0
2006-05-12,494.5000,498.0000,489.5000,489.9000,0
2006-05-15,489.8000,497.2000,489.5000,495.1000,0
2006-05-16,496.4000,497.0000,490.6000,495.4000,0
2006-05-17,492.1000,492.5000,485.2000,488.3000,0
2006-05-18,488.2000,492.4000,487.0000,487.3000,0
2006-05-19,489.4000,490.8000,486.9000,488.0000,0
2006-05-22,485.5000,491.4000,485.2000,488.4000,0
2006-05-23,489.8000,492.3000,485.2000,485.3000,0
2006-05-24,485.3000,488.8000,484.3000,486.6000,0
2006-05-25,489.6000,491.2000,487.5000,490.7000,0
2006-05-26,492.9000,497.7000,491.7000,495.7000,0
2006-05-30,496.0000,496.0000,489.0000,490.2000,0
2006-05-31,492.5000,495.4000,487.7000,493.0000,0
2006-06-01,493.8000,499.3000,492.7000,498.3000,0
2006-06-02,500.3000,502.3000,496.7000,501.4000,0
2006-06-05,500.1000,504.1000,495.5000,496.2000,0
2006-06-06,496.7000,499.0000,491.9000,497.6000,0
2006-06-07,498.0000,504.1000,497.1000,499.5000,0
2006-06-08,499.0000,502.0000,491.7000,499.5000,0
2006-06-09,499.5000,501.0000,497.0000,497.7000,0
2006-06-12,499.0000,499.5000,493.2000,493.3000,0
2006-06-13,492.5000,493.9000,480.8000,482.1000,0
2006-06-14,482.6000,486.0000,474.7000,478.0000,0
2006-06-15,480.0000,489.4000,479.6000,486.8000,0
2006-06-16,487.0000,488.5000,481.7000,483.6000,0
2006-06-19,484.5000,487.7000,476.7000,478.2000,0
2006-06-20,478.2000,485.1000,477.5000,480.1000,0
2006-06-21,481.0000,487.5000,480.5000,483.7000,0
2006-06-22,490.0000,490.0000,480.5000,481.7000,0
2006-06-23,479.0000,481.8000,476.5000,477.4000,0
2006-06-26,477.4000,483.8000,476.0000,483.0000,0
2006-06-27,483.0000,485.6000,477.6000,477.6000,0
2006-06-28,478.1000,480.2000,475.3000,478.5000,0
2006-06-29,481.5000,492.9000,479.0000,488.6000,0
2006-06-30,489.5000,489.5000,482.4000,482.5000,0
2006-07-03,486.0000,490.5000,485.0000,489.7000,0
2006-07-05,489.5000,492.5000,486.7000,490.1000,0
2006-07-06,490.7000,495.4000,490.7000,492.7000,0
2006-07-07,492.7000,495.9000,490.1000,490.8000,0
2006-07-10,493.3000,496.4000,491.0000,493.4000,0
2006-07-11,493.4000,496.8000,488.6000,496.0000,0
2006-07-12,495.2000,497.3000,487.1000,488.3000,0
2006-07-13,488.0000,488.0000,478.3000,478.7000,0
2006-07-14,478.5000,480.1000,474.1000,475.8000,0
2006-07-17,469.1000,469.5000,463.3000,464.0000,0
2006-07-18,464.2000,469.0000,462.2000,465.5000,0
2006-07-19,468.5000,475.1000,468.3000,472.5000,0
2006-07-20,472.5000,474.5000,470.5000,471.1000,0
2006-07-21,473.8000,474.6000,466.4000,469.3000,0
2006-07-24,471.0000,476.3000,470.0000,474.6000,0
2006-07-25,477.0000,479.0000,472.2000,474.5000,0
2006-07-26,474.5000,478.9000,471.4000,475.3000,0
2006-07-27,479.3000,479.3000,472.8000,473.1000,0
2006-07-28,476.0000,488.3000,476.0000,483.3000,0
2006-07-31,483.3000,485.5000,481.8000,483.1000,0
2006-08-01,483.1000,485.7000,481.1000,485.1000,0
2006-08-02,487.0000,488.3000,482.8000,487.2000,0
2006-08-03,482.4000,486.0000,482.0000,484.7000,0
2006-08-04,488.4000,490.3000,480.7000,485.0000,0
2006-08-07,483.4000,485.6000,481.1000,482.3000,0
2006-08-08,484.8000,487.0000,481.6000,483.1000,0
2006-08-09,486.9000,488.7000,476.9000,478.3000,0
2006-08-10,478.3000,480.5000,473.5000,479.7000,0
2006-08-11,479.2000,479.2000,472.2000,476.4000,0
2006-08-14,479.5000,482.4000,474.7000,477.2000,0
2006-08-15,482.1000,486.7000,482.0000,484.1000,0
2006-08-16,485.9000,487.1000,484.3000,485.3000,0
2006-08-17,485.0000,485.9000,483.8000,485.7000,0
2006-08-18,486.2000,486.3000,484.2000,486.0000,0
2006-08-21,485.5000,486.3000,483.8000,484.9000,0
2006-08-22,486.6000,487.2000,484.1000,484.2000,0
2006-08-23,484.9000,486.0000,482.3000,485.8000,0
2006-08-24,486.8000,487.7000,485.0000,487.2000,0
