Date,Open,High,Low,Close,Volume
1970-06-01,2.9167,3.0833,2.8958,3.0833,0
1970-06-02,3.0833,3.1042,3.0312,3.1042,0
1970-06-03,3.1042,3.1146,3.0312,3.0833,0
1970-06-04,3.0833,3.1250,2.9688,3.0938,0
1970-06-05,3.0833,3.0833,3.0208,3.0625,0
1970-06-08,3.0417,3.0417,2.9792,3.0104,0
1970-06-09,3.0104,3.0208,2.9583,2.9688,0
1970-06-10,2.9688,3.0208,2.9583,2.9688,0
1970-06-11,2.9479,2.9479,2.8958,2.9167,0
1970-06-12,2.9167,2.9271,2.8438,2.8750,0
1970-06-15,2.8750,2.9167,2.8646,2.8958,0
1970-06-16,2.8958,3.0417,2.8854,2.9792,0
1970-06-17,2.9896,3.0938,2.9896,2.9896,0
1970-06-18,2.9896,3.0625,2.9688,3.0000,0
1970-06-19,3.0000,3.0833,2.9583,3.0000,0
1970-06-22,3.0000,3.0417,2.9792,3.0208,0
1970-06-23,3.0208,3.0417,2.9792,3.0000,0
1970-06-24,3.0000,3.0625,2.9479,3.0000,0
1970-06-25,3.0000,3.0521,2.9688,2.9688,0
1970-06-26,2.9688,3.0000,2.9479,2.9479,0
1970-06-29,2.9479,2.9688,2.8854,2.8854,0
1970-06-30,2.8854,2.9271,2.8750,2.8854,0
1970-07-01,2.8750,2.8750,2.7812,2.8021,0
1970-07-02,2.8021,2.8229,2.7500,2.7708,0
1970-07-06,2.7083,2.7083,2.6250,2.6458,0
1970-07-07,2.6458,2.7708,2.5938,2.5938,0
1970-07-08,2.5938,2.6458,2.5625,2.6354,0
1970-07-09,2.6458,2.6979,2.6458,2.6562,0
1970-07-10,2.6562,2.6562,2.6458,2.6458,0
1970-07-13,2.6458,2.6562,2.5938,2.5938,0
1970-07-14,2.5938,2.6250,2.5104,2.5208,0
1970-07-15,2.5208,2.6042,2.5000,2.5833,0
1970-07-16,2.6042,2.7812,2.6042,2.7292,0
1970-07-17,2.7708,2.9167,2.7708,2.8229,0
1970-07-20,2.8229,2.8333,2.7917,2.8021,0
1970-07-21,2.8021,2.8229,2.7083,2.8229,0
1970-07-22,2.8229,2.8333,2.7604,2.7604,0
1970-07-23,2.7604,2.8333,2.7188,2.8333,0
1970-07-24,2.8021,2.8021,2.7292,2.7604,0
1970-07-27,2.7500,2.7500,2.6667,2.7083,0
1970-07-28,2.7083,2.7396,2.6875,2.6979,0
1970-07-29,2.7083,2.7708,2.7083,2.7083,0
1970-07-30,2.7083,2.7083,2.6771,2.6979,0
1970-07-31,2.6979,2.7292,2.6771,2.7292,0
1970-08-03,2.7292,2.7500,2.7188,2.7396,0
1970-08-04,2.7292,2.7292,2.6562,2.7292,0
1970-08-05,2.7292,2.7500,2.6667,2.7292,0
1970-08-06,2.7292,2.7708,2.7083,2.7292,0
1970-08-07,2.7292,2.7812,2.7292,2.7812,0
1970-08-10,2.7812,2.8021,2.7396,2.7812,0
1970-08-11,2.7500,2.7500,2.6979,2.7083,0
1970-08-12,2.7083,2.7188,2.6771,2.7083,0
1970-08-13,2.7083,2.7083,2.6667,2.6667,0
