Date,Open,High,Low,Close,Volume
1998-06-01,12.6250,12.7812,12.1562,12.2604,0
1998-06-02,12.5417,12.8125,12.3750,12.7396,0
1998-06-03,12.8958,12.9688,12.3750,12.4375,0
1998-06-04,12.5417,12.8229,12.4062,12.8125,0
1998-06-05,12.8021,12.9688,12.5833,12.9062,0
1998-06-08,12.9375,13.0833,12.7083,12.9167,0
1998-06-09,12.9167,13.2917,12.8125,13.2500,0
1998-06-10,13.1250,13.4688,13.0000,13.1875,0
1998-06-11,13.2292,13.3750,13.1250,13.1771,0
1998-06-12,13.1146,13.2292,12.9062,13.1875,0
1998-06-15,13.0208,13.3438,13.0000,13.0417,0
1998-06-16,13.1354,13.3438,13.0208,13.3229,0
1998-06-17,13.4167,13.6250,13.3750,13.4479,0
1998-06-18,13.4792,13.7474,13.3750,13.6875,0
1998-06-19,13.7708,13.8568,13.6042,13.8542,0
1998-06-22,13.8333,14.1458,13.7188,14.1042,0
1998-06-23,14.2292,14.5000,14.1667,14.4792,0
1998-06-24,14.6771,14.9062,14.4479,14.6354,0
1998-06-25,14.7500,14.9167,14.4271,14.5104,0
1998-06-26,14.7500,15.0000,14.6667,14.9792,0
1998-06-29,15.1458,15.3333,15.0000,15.3021,0
1998-06-30,15.2292,15.7083,15.0625,15.3438,0
1998-07-01,15.5729,15.8125,15.4583,15.7604,0
1998-07-02,15.7812,15.8229,15.2604,15.4375,0
1998-07-06,15.5208,15.6042,15.3229,15.5000,0
1998-07-07,15.5625,15.5625,15.0833,15.4583,0
1998-07-08,15.4062,15.7083,15.3125,15.7083,0
1998-07-09,15.6875,15.8542,15.4792,15.4896,0
1998-07-10,15.5000,15.6250,15.2500,15.4896,0
1998-07-13,15.5729,15.7812,15.3958,15.7083,0
1998-07-14,15.8125,16.0208,15.6771,15.8125,0
1998-07-15,15.9167,16.0104,15.6875,15.9271,0
1998-07-16,15.9792,16.0938,15.8125,15.9583,0
1998-07-17,16.0625,16.6458,15.9583,16.6250,0
1998-07-20,16.7812,17.3750,16.6354,17.1979,0
1998-07-21,17.3854,17.4167,16.4375,16.4896,0
1998-07-22,16.4167,16.9167,16.1042,16.4167,0
1998-07-23,16.4271,16.7292,16.2500,16.5208,0
1998-07-24,16.6458,16.6771,15.7708,16.2917,0
1998-07-27,16.0833,16.3229,15.8750,16.2500,0
1998-07-28,16.2292,16.5625,15.9583,16.0000,0
1998-07-29,16.1250,16.2604,15.6562,15.6667,0
1998-07-30,15.8542,16.4375,15.7604,16.4167,0
1998-07-31,16.4896,16.6667,15.8750,15.9583,0
1998-08-03,16.0208,16.5000,15.9583,16.0833,0
1998-08-04,16.3958,16.4896,15.4167,15.5208,0
1998-08-05,15.8125,16.2500,15.4688,16.1250,0
1998-08-06,16.0312,16.5729,15.9583,16.5625,0
1998-08-07,16.6458,16.6927,16.0938,16.1458,0
1998-08-10,16.2500,16.5938,16.0625,16.5312,0
1998-08-11,16.1667,16.5000,16.1250,16.3333,0
1998-08-12,16.5000,16.6042,16.2292,16.4271,0
1998-08-13,16.3750,16.5000,16.0833,16.1146,0
