Date,Open,High,Low,Close,Volume
1970-06-01,0.5960,0.6256,0.5870,0.6217,0
1970-06-02,0.6217,0.6256,0.5992,0.6185,0
1970-06-03,0.6185,0.6320,0.6063,0.6256,0
1970-06-04,0.6211,0.6211,0.5934,0.5967,0
1970-06-05,0.5967,0.6089,0.5825,0.6076,0
1970-06-08,0.6076,0.6108,0.5909,0.5979,0
1970-06-09,0.5979,0.6204,0.5922,0.6108,0
1970-06-10,0.6108,0.6204,0.6063,0.6166,0
1970-06-11,0.6140,0.6140,0.5922,0.6018,0
1970-06-12,0.6018,0.6044,0.5870,0.6005,0
1970-06-15,0.6005,0.6301,0.5960,0.6268,0
1970-06-16,0.6320,0.6551,0.6320,0.6532,0
1970-06-17,0.6532,0.6615,0.6333,0.6397,0
1970-06-18,0.6397,0.6641,0.6294,0.6622,0
1970-06-19,0.6622,0.6673,0.6500,0.6519,0
1970-06-22,0.6519,0.6602,0.6435,0.6525,0
1970-06-23,0.6525,0.6570,0.6301,0.6320,0
1970-06-24,0.6320,0.6474,0.6217,0.6249,0
1970-06-25,0.6281,0.6442,0.6281,0.6397,0
1970-06-26,0.6371,0.6371,0.6127,0.6191,0
1970-06-29,0.6191,0.6243,0.5967,0.6101,0
1970-06-30,0.6101,0.6288,0.6031,0.6031,0
1970-07-01,0.6031,0.6159,0.5960,0.6146,0
1970-07-02,0.6146,0.6159,0.5934,0.5934,0
1970-07-06,0.5915,0.5915,0.5511,0.5517,0
1970-07-07,0.5517,0.5729,0.5504,0.5620,0
1970-07-08,0.5703,0.6268,0.5703,0.6268,0
1970-07-09,0.6268,0.6294,0.5986,0.6063,0
1970-07-10,0.6063,0.6127,0.6011,0.6024,0
1970-07-13,0.6024,0.6114,0.5986,0.6011,0
1970-07-14,0.6011,0.6127,0.5986,0.6082,0
1970-07-15,0.6204,0.6345,0.6204,0.6307,0
1970-07-16,0.6307,0.6435,0.6211,0.6236,0
1970-07-17,0.6268,0.6345,0.6268,0.6313,0
1970-07-20,0.6313,0.6326,0.6063,0.6063,0
1970-07-21,0.6063,0.6101,0.5992,0.6031,0
1970-07-22,0.6031,0.6243,0.5986,0.5992,0
1970-07-23,0.5992,0.6243,0.5986,0.6153,0
1970-07-24,0.6101,0.6101,0.5870,0.5870,0
1970-07-27,0.5870,0.5870,0.5600,0.5626,0
1970-07-28,0.5626,0.5755,0.5607,0.5722,0
1970-07-29,0.5722,0.5767,0.5620,0.5626,0
1970-07-30,0.5626,0.5626,0.5395,0.5498,0
1970-07-31,0.5498,0.5517,0.5273,0.5279,0
1970-08-03,0.5279,0.5331,0.5228,0.5266,0
1970-08-04,0.5266,0.5395,0.5189,0.5389,0
1970-08-05,0.5382,0.5382,0.5273,0.5273,0
1970-08-06,0.5241,0.5241,0.5138,0.5183,0
1970-08-07,0.5183,0.5395,0.5042,0.5157,0
1970-08-10,0.5112,0.5112,0.5035,0.5061,0
1970-08-11,0.5061,0.5151,0.5048,0.5112,0
1970-08-12,0.5112,0.5151,0.4810,0.4817,0
1970-08-13,0.4810,0.4810,0.4618,0.4753,0
1970-08-14,0.4753,0.4817,0.4708,0.4740,0
1970-08-17,0.4740,0.4888,0.4714,0.4881,0
1970-08-18,0.4881,0.5010,0.4881,0.4977,0
1970-08-19,0.4971,0.4971,0.4708,0.4753,0
1970-08-20,0.4753,0.4804,0.4637,0.4753,0
1970-08-21,0.4766,0.5074,0.4766,0.5074,0
1970-08-24,0.5074,0.5164,0.4907,0.5003,0
1970-08-25,0.5003,0.5382,0.4933,0.5273,0
1970-08-26,0.5273,0.5344,0.5061,0.5087,0
1970-08-27,0.5087,0.5311,0.5048,0.5273,0
1970-08-28,0.5318,0.5498,0.5318,0.5446,0
1970-08-31,0.5446,0.5446,0.5356,0.5369,0
1970-09-01,0.5369,0.5511,0.5331,0.5421,0
1970-09-02,0.5421,0.5472,0.5369,0.5440,0
1970-09-03,0.5440,0.5588,0.5421,0.5433,0
1970-09-04,0.5395,0.5395,0.5305,0.5395,0
1970-09-08,0.5395,0.5421,0.5189,0.5305,0
1970-09-09,0.5305,0.5389,0.5189,0.5266,0
1970-09-10,0.5234,0.5234,0.5164,0.5177,0
1970-09-11,0.5177,0.5337,0.5170,0.5311,0
1970-09-14,0.5311,0.5408,0.5228,0.5228,0
1970-09-15,0.5228,0.5318,0.5177,0.5279,0
1970-09-16,0.5318,0.5575,0.5318,0.5575,0
1970-09-17,0.5703,0.5883,0.5703,0.5735,0
1970-09-18,0.5735,0.5825,0.5716,0.5761,0
1970-09-21,0.5761,0.5793,0.5600,0.5716,0
1970-09-22,0.5716,0.5735,0.5626,0.5658,0
1970-09-23,0.5678,0.5902,0.5678,0.5896,0
1970-09-24,0.6050,0.6313,0.6050,0.6301,0
1970-09-25,0.6301,0.6320,0.6204,0.6262,0
1970-09-28,0.6256,0.6256,0.6063,0.6172,0
1970-09-29,0.6172,0.6397,0.6076,0.6268,0
1970-09-30,0.6256,0.6256,0.6050,0.6056,0
1970-10-01,0.6050,0.6050,0.5896,0.6018,0
1970-10-02,0.6024,0.6185,0.6024,0.6076,0
1970-10-05,0.6089,0.6185,0.6089,0.6159,0
1970-10-06,0.6146,0.6146,0.6018,0.6037,0
1970-10-07,0.6037,0.6101,0.6005,0.6101,0
1970-10-08,0.6050,0.6050,0.5941,0.5947,0
1970-10-09,0.5947,0.6037,0.5909,0.5915,0
1970-10-12,0.5915,0.5922,0.5857,0.5922,0
1970-10-13,0.5922,0.5934,0.5857,0.5934,0
1970-10-14,0.5934,0.5986,0.5922,0.5941,0
1970-10-15,0.5960,0.6037,0.5960,0.5960,0
1970-10-16,0.5973,0.6050,0.5973,0.5986,0
1970-10-19,0.5986,0.6011,0.5941,0.5973,0
1970-10-20,0.5973,0.6076,0.5947,0.6076,0
1970-10-21,0.6076,0.6114,0.5934,0.5934,0
1970-10-22,0.5934,0.5973,0.5909,0.5967,0
1970-10-23,0.6050,0.6114,0.6050,0.6063,0
1970-10-26,0.6063,0.6063,0.6024,0.6024,0
1970-10-27,0.6024,0.6108,0.6018,0.6063,0
1970-10-28,0.6069,0.6294,0.6069,0.6294,0
1970-10-29,0.6288,0.6288,0.6166,0.6166,0
1970-10-30,0.6166,0.6191,0.6063,0.6191,0
1970-11-02,0.6191,0.6416,0.6114,0.6416,0
1970-11-03,0.6416,0.6512,0.6390,0.6480,0
1970-11-04,0.6480,0.6564,0.6384,0.6403,0
1970-11-05,0.6403,0.6525,0.6390,0.6474,0
1970-11-06,0.6512,0.6564,0.6512,0.6557,0
1970-11-09,0.6577,0.6930,0.6577,0.6859,0
1970-11-10,0.6859,0.6936,0.6834,0.6846,0
1970-11-11,0.6846,0.7013,0.6846,0.6885,0
1970-11-12,0.6885,0.6891,0.6519,0.6525,0
1970-11-13,0.6525,0.6609,0.6500,0.6583,0
1970-11-16,0.6583,0.6795,0.6557,0.6795,0
1970-11-17,0.6795,0.6821,0.6705,0.6731,0
1970-11-18,0.6712,0.6712,0.6628,0.6705,0
1970-11-19,0.6724,0.6840,0.6724,0.6808,0
1970-11-20,0.6814,0.7193,0.6814,0.7148,0
1970-11-23,0.7148,0.7296,0.7129,0.7187,0
1970-11-24,0.7187,0.7206,0.7020,0.7200,0
1970-11-25,0.7206,0.7341,0.7206,0.7309,0
1970-11-27,0.7309,0.7546,0.7296,0.7540,0
1970-11-30,0.7630,0.7810,0.7630,0.7707,0
1970-12-01,0.7707,0.7758,0.7553,0.7579,0
1970-12-02,0.7579,0.7707,0.7399,0.7707,0
1970-12-03,0.7707,0.7707,0.7566,0.7643,0
1970-12-04,0.7656,0.7829,0.7656,0.7707,0
1970-12-07,0.7707,0.7758,0.7643,0.7701,0
1970-12-08,0.7688,0.7688,0.7502,0.7553,0
1970-12-09,0.7540,0.7540,0.7437,0.7502,0
1970-12-10,0.7502,0.7514,0.7450,0.7457,0
1970-12-11,0.7482,0.7630,0.7482,0.7572,0
1970-12-14,0.7546,0.7546,0.7322,0.7373,0
1970-12-15,0.7373,0.7373,0.7174,0.7219,0
1970-12-16,0.7219,0.7296,0.7187,0.7245,0
1970-12-17,0.7257,0.7296,0.7257,0.7270,0
1970-12-18,0.7219,0.7219,0.7110,0.7135,0
1970-12-21,0.7135,0.7148,0.7090,0.7142,0
1970-12-22,0.7142,0.7148,0.7097,0.7129,0
1970-12-23,0.7129,0.7142,0.6936,0.7090,0
1970-12-24,0.7090,0.7116,0.7013,0.7078,0
1970-12-28,0.7090,0.7232,0.7090,0.7193,0
1970-12-29,0.7193,0.7489,0.7193,0.7450,0
1970-12-30,0.7450,0.7463,0.7309,0.7360,0
1970-12-31,0.7322,0.7322,0.7219,0.7264,0
1971-01-04,0.7264,0.7270,0.7103,0.7103,0
1971-01-05,0.7103,0.7270,0.7103,0.7251,0
1971-01-06,0.7399,0.7707,0.7399,0.7604,0
1971-01-07,0.7636,0.7861,0.7636,0.7771,0
1971-01-08,0.7720,0.7720,0.7617,0.7649,0
1971-01-11,0.7649,0.7810,0.7604,0.7810,0
1971-01-12,0.7810,0.8002,0.7746,0.7964,0
1971-01-13,0.7970,0.8137,0.7970,0.7990,0
1971-01-14,0.7990,0.8105,0.7945,0.8086,0
1971-01-15,0.8105,0.8298,0.8105,0.8157,0
1971-01-18,0.8157,0.8221,0.8041,0.8041,0
1971-01-19,0.8041,0.8060,0.7887,0.7913,0
1971-01-20,0.7913,0.7970,0.7784,0.7784,0
1971-01-21,0.7791,0.7990,0.7791,0.7938,0
1971-01-22,0.7938,0.7951,0.7791,0.7861,0
1971-01-25,0.7861,0.8169,0.7855,0.8169,0
1971-01-26,0.8169,0.8169,0.8041,0.8131,0
1971-01-27,0.8112,0.8112,0.7887,0.8073,0
1971-01-28,0.8073,0.8099,0.8067,0.8099,0
1971-01-29,0.8099,0.8163,0.8092,0.8163,0
1971-02-01,0.8163,0.8259,0.8163,0.8234,0
1971-02-02,0.8259,0.8426,0.8259,0.8401,0
1971-02-03,0.8401,0.8548,0.8285,0.8529,0
1971-02-04,0.8529,0.8825,0.8523,0.8786,0
1971-02-05,0.8786,0.8992,0.8786,0.8940,0
1971-02-08,0.8940,0.8966,0.8837,0.8889,0
1971-02-09,0.8876,0.8876,0.8606,0.8632,0
1971-02-10,0.8632,0.8658,0.8452,0.8478,0
1971-02-11,0.8510,0.8580,0.8510,0.8542,0
1971-02-12,0.8555,0.8882,0.8555,0.8882,0
1971-02-16,0.8882,0.8882,0.8780,0.8857,0
1971-02-17,0.8857,0.8908,0.8805,0.8882,0
1971-02-18,0.8882,0.8902,0.8850,0.8902,0
1971-02-19,0.8902,0.8927,0.8837,0.8914,0
1971-02-22,0.8908,0.8908,0.8850,0.8857,0
1971-02-23,0.8857,0.8876,0.8632,0.8728,0
1971-02-24,0.8747,0.9043,0.8747,0.9043,0
1971-02-25,0.9075,0.9216,0.9075,0.9126,0
1971-02-26,0.9126,0.9171,0.9094,0.9133,0
1971-03-01,0.9634,0.9634,0.9159,0.9570,0
1971-03-02,0.9647,1.0083,0.9647,1.0019,0
1971-03-03,0.9968,0.9968,0.9711,0.9724,0
1971-03-04,0.9737,1.0019,0.9737,1.0019,0
1971-03-05,1.0019,1.0430,0.9929,1.0135,0
1971-03-08,1.0186,1.0520,1.0186,1.0404,0
1971-03-09,1.0404,1.0957,1.0289,1.0841,0
1971-03-10,1.0841,1.1265,1.0841,1.1111,0
1971-03-11,1.0983,1.0983,1.0507,1.0546,0
1971-03-12,1.0546,1.0610,1.0212,1.0379,0
1971-03-15,1.0379,1.0610,1.0225,1.0443,0
1971-03-16,1.0443,1.0687,1.0353,1.0404,0
1971-03-17,1.0404,1.0507,1.0263,1.0276,0
1971-03-18,1.0302,1.0482,1.0302,1.0392,0
1971-03-19,1.0392,1.0443,1.0327,1.0327,0
1971-03-22,1.0327,1.0404,0.9916,1.0019,0
1971-03-23,1.0019,1.0225,0.9968,1.0199,0
1971-03-24,1.0225,1.0482,1.0225,1.0276,0
1971-03-25,1.0276,1.0404,1.0199,1.0353,0
1971-03-26,1.0482,1.0649,1.0482,1.0610,0
1971-03-29,1.0687,1.0790,1.0687,1.0790,0
1971-03-30,1.0790,1.0931,1.0700,1.0751,0
1971-03-31,1.0751,1.0777,1.0379,1.0379,0
1971-04-01,1.0456,1.0559,1.0456,1.0507,0
1971-04-02,1.0507,1.0597,1.0276,1.0353,0
1971-04-05,1.0392,1.0584,1.0392,1.0507,0
1971-04-06,1.0507,1.0597,1.0392,1.0392,0
1971-04-07,1.0404,1.0571,1.0404,1.0533,0
1971-04-08,1.0533,1.0571,1.0392,1.0404,0
1971-04-12,1.0533,1.0764,1.0533,1.0687,0
1971-04-13,1.0687,1.0880,1.0559,1.0559,0
1971-04-14,1.0559,1.0700,1.0392,1.0456,0
1971-04-15,1.0482,1.0687,1.0482,1.0584,0
1971-04-16,1.0584,1.0790,1.0584,1.0790,0
1971-04-19,1.0828,1.1278,1.0828,1.1150,0
1971-04-20,1.1150,1.1381,1.0957,1.1085,0
1971-04-21,1.1085,1.1291,1.0893,1.1278,0
1971-04-22,1.1278,1.1573,1.1239,1.1471,0
1971-04-23,1.1471,1.1573,1.1368,1.1573,0
1971-04-26,1.1728,1.2267,1.1728,1.2267,0
1971-04-27,1.2267,1.2524,1.0995,1.0995,0
1971-04-28,1.1817,1.2190,1.1817,1.1817,0
1971-04-29,1.1817,1.1907,1.1406,1.1612,0
1971-04-30,1.1612,1.1715,1.1522,1.1612,0
1971-05-03,1.1612,1.1817,1.1432,1.1817,0
1971-05-04,1.1869,1.2087,1.1869,1.1984,0
1971-05-05,1.1984,1.2434,1.1972,1.2395,0
1971-05-06,1.2395,1.2524,1.2036,1.2036,0
1971-05-07,1.2036,1.2241,1.1843,1.2087,0
1971-05-10,1.2087,1.2370,1.2036,1.2344,0
1971-05-11,1.2344,1.2819,1.2344,1.2704,0
1971-05-12,1.2781,1.3012,1.2781,1.2999,0
1971-05-13,1.2999,1.3243,1.2974,1.3115,0
1971-05-14,1.3115,1.3230,1.2460,1.2794,0
1971-05-17,1.2755,1.2755,1.2447,1.2447,0
1971-05-18,1.2537,1.2781,1.2537,1.2640,0
1971-05-19,1.2640,1.2794,1.2537,1.2665,0
1971-05-20,1.2665,1.2948,1.2652,1.2794,0
1971-05-21,1.2819,1.2974,1.2819,1.2819,0
1971-05-24,1.2819,1.2832,1.2511,1.2524,0
1971-05-25,1.2524,1.2537,1.2177,1.2254,0
1971-05-26,1.2254,1.2588,1.2164,1.2228,0
1971-05-27,1.2228,1.2280,1.2164,1.2203,0
1971-05-28,1.2203,1.2473,1.2164,1.2473,0
1971-06-01,1.2537,1.2742,1.2537,1.2742,0
1971-06-02,1.2742,1.2961,1.2665,1.2665,0
1971-06-03,1.2652,1.2652,1.2434,1.2447,0
1971-06-04,1.2151,1.2151,1.1920,1.2023,0
1971-06-07,1.1907,1.1907,1.1715,1.1753,0
1971-06-08,1.1766,1.1959,1.1766,1.1766,0
1971-06-09,1.1766,1.1869,1.1715,1.1766,0
1971-06-10,1.1766,1.1779,1.1625,1.1650,0
1971-06-11,1.1650,1.1663,1.1586,1.1663,0
1971-06-14,1.1663,1.1702,1.1548,1.1638,0
1971-06-15,1.1612,1.1612,1.1368,1.1458,0
1971-06-16,1.1458,1.1766,1.1368,1.1638,0
1971-06-17,1.1638,1.1728,1.1483,1.1702,0
1971-06-18,1.1689,1.1689,1.1329,1.1458,0
1971-06-21,1.1458,1.1561,1.1304,1.1316,0
1971-06-22,1.1316,1.1638,1.1316,1.1355,0
1971-06-23,1.1394,1.1548,1.1394,1.1522,0
1971-06-24,1.1548,1.1715,1.1548,1.1612,0
1971-06-25,1.1612,1.1638,1.1406,1.1406,0
1971-06-28,1.1406,1.1458,1.1316,1.1406,0
1971-06-29,1.1406,1.1650,1.1406,1.1612,0
1971-06-30,1.1625,1.1766,1.1625,1.1715,0
1971-07-01,1.1715,1.1792,1.1509,1.1535,0
1971-07-02,1.1535,1.1663,1.1509,1.1599,0
1971-07-06,1.1599,1.1702,1.1509,1.1689,0
1971-07-07,1.1715,1.1920,1.1715,1.1920,0
1971-07-08,1.1920,1.2177,1.1920,1.1920,0
1971-07-09,1.1882,1.1882,1.1740,1.1843,0
1971-07-12,1.1843,1.1907,1.1779,1.1792,0
1971-07-13,1.1561,1.1561,1.1034,1.1047,0
1971-07-14,1.1047,1.1535,1.0957,1.1535,0
1971-07-15,1.1535,1.1650,1.1291,1.1304,0
1971-07-16,1.1304,1.1496,1.1201,1.1239,0
1971-07-19,1.1239,1.1252,1.0995,1.1252,0
1971-07-20,1.1316,1.1535,1.1316,1.1329,0
1971-07-21,1.1304,1.1304,1.0918,1.0918,0
1971-07-22,1.0918,1.1085,1.0674,1.0995,0
1971-07-23,1.0995,1.1111,1.0944,1.1072,0
1971-07-26,1.1072,1.1098,1.0918,1.0995,0
1971-07-27,1.0995,1.0995,1.0661,1.0674,0
1971-07-28,1.0674,1.0738,1.0494,1.0610,0
1971-07-29,1.0559,1.0559,1.0199,1.0392,0
1971-07-30,1.0392,1.0687,1.0340,1.0469,0
1971-08-02,1.0469,1.0738,1.0404,1.0443,0
1971-08-03,1.0443,1.0443,1.0122,1.0173,0
1971-08-04,1.0173,1.0417,1.0135,1.0263,0
1971-08-05,1.0276,1.0546,1.0276,1.0482,0
1971-08-06,1.0482,1.0636,1.0482,1.0559,0
1971-08-09,1.0559,1.0584,1.0392,1.0520,0
1971-08-10,1.0520,1.0559,1.0327,1.0379,0
1971-08-11,1.0417,1.0661,1.0417,1.0661,0
1971-08-12,1.0661,1.0970,1.0661,1.0790,0
1971-08-13,1.0790,1.0790,1.0482,1.0546,0
1971-08-16,1.1098,1.1535,1.1098,1.1137,0
1971-08-17,1.1137,1.1291,1.1021,1.1098,0
1971-08-18,1.1098,1.1201,1.0944,1.0983,0
1971-08-19,1.0983,1.0983,1.0841,1.0931,0
1971-08-20,1.0931,1.1047,1.0893,1.1047,0
1971-08-23,1.1085,1.1406,1.1085,1.1355,0
1971-08-24,1.1381,1.1792,1.1381,1.1740,0
1971-08-25,1.1766,1.2177,1.1766,1.2087,0
1971-08-26,1.2087,1.2087,1.1766,1.1920,0
1971-08-27,1.1920,1.2100,1.1792,1.2100,0
1971-08-30,1.2100,1.2177,1.1805,1.1805,0
1971-08-31,1.1766,1.1766,1.1638,1.1766,0
1971-09-01,1.1766,1.1895,1.1715,1.1715,0
1971-09-02,1.1715,1.1843,1.1676,1.1843,0
1971-09-03,1.1907,1.2049,1.1907,1.1972,0
1971-09-07,1.1972,1.1997,1.1715,1.1728,0
1971-09-08,1.1728,1.1869,1.1689,1.1792,0
1971-09-09,1.1792,1.1856,1.1625,1.1663,0
1971-09-10,1.1663,1.1663,1.1561,1.1586,0
1971-09-13,1.1586,1.1702,1.1535,1.1650,0
1971-09-14,1.1650,1.1715,1.1509,1.1522,0
1971-09-15,1.1522,1.1599,1.1406,1.1586,0
1971-09-16,1.1638,1.1753,1.1638,1.1689,0
1971-09-17,1.1689,1.1792,1.1663,1.1792,0
1971-09-20,1.1792,1.1856,1.1766,1.1766,0
1971-09-21,1.1766,1.1766,1.1638,1.1638,0
1971-09-22,1.1586,1.1586,1.1406,1.1509,0
1971-09-23,1.1509,1.1561,1.1432,1.1483,0
1971-09-24,1.1483,1.1561,1.1432,1.1458,0
1971-09-27,1.1458,1.1535,1.1304,1.1355,0
1971-09-28,1.1355,1.1483,1.1316,1.1316,0
1971-09-29,1.1304,1.1304,1.1150,1.1201,0
1971-09-30,1.1201,1.1239,1.0995,1.1137,0
1971-10-01,1.1137,1.1252,1.1124,1.1188,0
1971-10-04,1.1188,1.1188,1.0186,1.0225,0
1971-10-05,1.0238,1.0610,1.0238,1.0559,0
1971-10-06,1.0597,1.0983,1.0597,1.0854,0
1971-10-07,1.0854,1.0893,1.0597,1.0636,0
1971-10-08,1.0636,1.0687,1.0430,1.0559,0
1971-10-11,1.0559,1.0584,1.0302,1.0571,0
1971-10-12,1.0571,1.0623,1.0327,1.0327,0
1971-10-13,1.0327,1.0469,0.9916,1.0058,0
1971-10-14,1.0058,1.0199,0.9839,0.9839,0
1971-10-15,0.9839,1.0071,0.9775,1.0058,0
1971-10-18,1.0083,1.0366,1.0083,1.0135,0
1971-10-19,1.0160,1.0276,1.0160,1.0276,0
1971-10-20,1.0276,1.0443,1.0148,1.0366,0
1971-10-21,1.0366,1.0687,1.0289,1.0661,0
1971-10-22,1.0661,1.0790,1.0533,1.0571,0
1971-10-25,1.0571,1.0790,1.0520,1.0790,0
1971-10-26,1.0816,1.1150,1.0816,1.0918,0
1971-10-27,1.0918,1.1150,1.0905,1.0995,0
1971-10-28,1.1008,1.1150,1.1008,1.1034,0
1971-10-29,1.1047,1.1124,1.1047,1.1111,0
1971-11-01,1.1111,1.1201,1.0559,1.0661,0
1971-11-02,1.0661,1.0738,1.0533,1.0700,0
1971-11-03,1.0790,1.0944,1.0790,1.0905,0
1971-11-04,1.0905,1.1072,1.0623,1.0738,0
1971-11-05,1.0700,1.0700,1.0533,1.0674,0
1971-11-08,1.0674,1.0738,1.0584,1.0584,0
1971-11-09,1.0584,1.0777,1.0417,1.0507,0
