Date,Open,High,Low,Close,Volume
1998-09-24,0.9382,0.9514,0.7760,0.8308,0
1998-09-25,0.7979,0.8089,0.7212,0.7869,0
1998-09-28,0.8330,0.8922,0.8067,0.8461,0
1998-09-29,0.8659,0.8812,0.8374,0.8571,0
1998-09-30,0.8275,0.8418,0.7585,0.7902,0
1998-10-01,0.7475,0.7585,0.7015,0.7015,0
1998-10-02,0.7102,0.7321,0.6138,0.7015,0
1998-10-05,0.6861,0.6861,0.6116,0.6291,0
1998-10-06,0.6708,0.6708,0.5612,0.6401,0
1998-10-07,0.6138,0.6247,0.5414,0.5414,0
1998-10-08,0.4888,0.5129,0.4428,0.5086,0
1998-10-09,0.5392,0.5656,0.5173,0.5392,0
1998-10-12,0.5612,0.5612,0.5524,0.5524,0
1998-10-13,0.5535,0.5568,0.5129,0.5151,0
1998-10-14,0.5107,0.5634,0.5107,0.5283,0
1998-10-15,0.5283,0.5743,0.5283,0.5721,0
1998-10-16,0.5853,0.6401,0.5787,0.6313,0
1998-10-19,0.6510,0.8067,0.6489,0.7957,0
1998-10-20,0.8593,0.9097,0.7935,0.8154,0
1998-10-21,0.8593,0.9031,0.8286,0.8867,0
1998-10-22,0.9075,0.9382,0.8637,0.9042,0
1998-10-23,0.9053,0.9163,0.8681,0.8790,0
1998-10-26,1.0522,1.2889,1.0303,1.2867,0
1998-10-27,1.4292,1.5925,1.4073,1.4468,0
1998-10-28,1.3678,1.4862,1.3415,1.4029,0
1998-10-29,1.4248,1.4544,1.3985,1.4007,0
1998-10-30,1.4183,1.4796,1.4040,1.4577,0
1998-11-02,1.5235,1.5388,1.4687,1.4731,0
1998-11-03,1.4906,1.4994,1.4555,1.4731,0
1998-11-04,1.4994,1.5038,1.4325,1.4500,0
1998-11-05,1.4205,1.4687,1.3810,1.4237,0
1998-11-06,1.4095,1.4807,1.4073,1.4731,0
1998-11-09,1.4840,1.8063,1.4818,1.8063,0
1998-11-10,1.9761,2.4551,1.9487,2.2951,0
1998-11-11,2.2315,2.3718,2.0013,2.0331,0
1998-11-12,1.9970,2.3302,1.9729,2.2096,0
1998-11-13,2.2797,2.3313,2.1000,2.1734,0
1998-11-16,2.2710,2.2797,2.1427,2.2381,0
1998-11-17,2.2359,2.3324,2.1745,2.2556,0
1998-11-18,2.2885,2.6042,2.1986,2.5866,0
1998-11-19,2.6480,2.7203,2.4869,2.5209,0
1998-11-20,2.6305,2.6305,2.4617,2.5779,0
1998-11-23,2.6831,3.4284,2.6601,3.3845,0
1998-11-24,3.3144,4.1057,3.1215,3.4514,0
1998-11-25,3.5248,3.7572,3.4284,3.5862,0
1998-11-27,3.7002,3.8602,3.6301,3.8230,0
1998-11-30,3.9358,3.9457,3.2969,3.4656,0
1998-12-01,3.2804,3.6651,3.1916,3.6344,0
1998-12-02,3.6125,3.7528,3.4722,3.5599,0
1998-12-03,3.4766,3.6520,3.2442,3.2793,0
