Date,Open,High,Low,Close,Volume
1985-06-03,12.1808,12.2307,12.1309,12.1808,0
1985-06-04,12.2057,12.4803,12.1558,12.4054,0
1985-06-05,12.4803,12.5302,12.4553,12.5053,0
1985-06-06,12.4803,12.5302,12.4304,12.4553,0
1985-06-07,12.5053,12.5053,12.2806,12.3056,0
1985-06-10,12.2806,12.4054,12.1309,12.2057,0
1985-06-11,12.2557,12.2806,12.2057,12.2057,0
1985-06-12,12.2057,12.2057,12.1059,12.1059,0
1985-06-13,12.0560,12.0809,11.8563,11.8813,0
1985-06-14,11.9312,11.9561,11.8064,11.9062,0
1985-06-17,11.9312,11.9312,11.8563,11.9062,0
1985-06-18,11.9062,12.0560,11.9062,12.0061,0
1985-06-19,12.0061,12.1309,11.9062,11.9561,0
1985-06-20,11.9561,12.0061,11.9312,11.9811,0
1985-06-21,11.9561,12.0560,11.9561,12.0560,0
1985-06-24,11.9811,12.0560,11.9811,12.0310,0
1985-06-25,12.0560,12.2307,12.0560,12.0809,0
1985-06-26,12.1309,12.2557,12.1059,12.1808,0
1985-06-27,12.3305,12.4304,12.2806,12.4304,0
1985-06-28,12.4304,12.4553,12.3305,12.3555,0
1985-07-01,12.3305,12.4054,12.2806,12.4054,0
1985-07-02,12.3805,12.4553,12.2057,12.3805,0
1985-07-03,12.3805,12.4054,12.3305,12.3555,0
1985-07-05,12.3555,12.5552,12.3305,12.3305,0
1985-07-08,12.3056,12.3305,12.0809,12.2057,0
1985-07-09,12.1558,12.2057,12.1059,12.1309,0
1985-07-10,12.1558,12.2307,12.1059,12.2057,0
1985-07-11,12.2057,12.2057,12.1059,12.1309,0
1985-07-12,12.1558,12.1808,12.0560,12.1309,0
1985-07-15,12.0809,12.2307,12.0310,12.1808,0
1985-07-16,12.2057,12.5552,12.1808,12.5552,0
1985-07-17,12.6550,12.7050,12.5552,12.6301,0
1985-07-18,12.5801,12.6301,12.4553,12.4553,0
1985-07-19,12.4304,12.5302,12.4054,12.5302,0
1985-07-22,12.4803,12.5552,12.4304,12.5302,0
1985-07-23,12.5801,12.7798,12.5552,12.6800,0
1985-07-24,12.6800,12.7549,12.6550,12.7050,0
1985-07-25,12.7549,12.8298,12.6800,12.6800,0
1985-07-26,12.6800,12.7549,12.6800,12.7549,0
1985-07-29,12.7299,12.7299,12.6800,12.6800,0
1985-07-30,12.6800,12.7299,12.6550,12.7050,0
1985-07-31,12.7050,12.8298,12.7050,12.8048,0
1985-08-01,12.8547,12.8797,12.8048,12.8547,0
1985-08-02,12.8298,12.8298,12.7798,12.8048,0
1985-08-05,12.7798,12.7798,12.7299,12.7798,0
1985-08-06,12.8298,12.8298,12.5801,12.5801,0
1985-08-07,12.5053,12.7299,12.4803,12.4803,0
1985-08-08,12.4803,12.5302,12.3805,12.4054,0
1985-08-09,12.4304,12.4304,12.3056,12.3056,0
1985-08-12,12.3056,12.3305,12.2307,12.2307,0
1985-08-13,12.2057,12.2806,12.0560,12.2057,0
1985-08-14,12.2307,12.2806,12.0560,12.1059,0
1985-08-15,12.1309,12.1558,12.0310,12.0560,0
1985-08-16,11.9561,12.0560,11.9561,12.0310,0
1985-08-19,12.0310,12.0809,12.0061,12.0310,0
1985-08-20,12.1059,12.2557,12.0560,12.2057,0
1985-08-21,12.2057,12.3056,12.2057,12.3056,0
1985-08-22,12.2806,12.3056,12.0560,12.1059,0
1985-08-23,12.0809,12.1059,11.9811,11.9811,0
1985-08-26,12.0061,12.0809,11.9312,12.0560,0
1985-08-27,12.1059,12.1558,12.0809,12.1309,0
1985-08-28,12.1558,12.3056,12.1309,12.2806,0
1985-08-29,12.2806,12.3555,12.2307,12.3555,0
1985-08-30,12.3555,12.3555,12.1558,12.1808,0
1985-09-03,12.2057,12.2057,12.0310,12.1059,0
1985-09-04,12.0560,12.0809,11.9561,12.0310,0
1985-09-05,11.9811,12.0809,11.9312,12.0310,0
1985-09-06,12.0560,12.2557,12.0560,12.2057,0
1985-09-09,12.2557,12.3805,12.2057,12.2057,0
1985-09-10,12.2057,12.2057,12.0061,12.0560,0
1985-09-11,12.0061,12.0310,11.8563,11.9312,0
1985-09-12,11.9312,12.0560,11.9062,11.9062,0
1985-09-13,11.9312,12.0310,11.8813,11.9811,0
1985-09-16,11.9561,11.9811,11.9062,11.9312,0
1985-09-17,11.9062,11.9561,11.7814,11.7814,0
1985-09-18,11.7814,11.8813,11.7315,11.8813,0
1985-09-19,11.8313,11.8563,11.7814,11.8064,0
1985-09-20,11.8313,11.8563,11.7315,11.7564,0
1985-09-23,11.8563,11.9561,11.8064,11.8313,0
1985-09-24,11.5318,11.7315,11.5068,11.5318,0
1985-09-25,11.5568,11.5568,11.4070,11.4320,0
1985-09-26,11.3820,11.4569,11.3321,11.4320,0
1985-09-30,11.4320,11.4819,11.4070,11.4819,0
1985-10-01,11.4819,11.6566,11.4569,11.6316,0
1985-10-02,11.6816,11.7315,11.5568,11.5817,0
1985-10-03,11.5318,11.6316,11.5068,11.5318,0
1985-10-04,11.5068,11.5318,11.2323,11.3571,0
1985-10-07,11.3321,11.4819,11.2822,11.3321,0
1985-10-08,11.3571,11.5068,11.3571,11.4819,0
1985-10-09,11.5068,11.6067,11.4819,11.5318,0
1985-10-10,11.5318,11.5817,11.4819,11.5318,0
1985-10-11,11.5568,11.7814,11.5568,11.6816,0
1985-10-14,11.7564,11.9312,11.7564,11.9312,0
1985-10-15,11.9561,11.9561,11.7564,11.8313,0
1985-10-16,11.8813,12.3805,11.8563,12.3305,0
1985-10-17,12.1808,12.2557,11.9811,12.0560,0
1985-10-18,11.9811,12.1059,11.8313,11.9561,0
1985-10-21,11.9561,11.9561,11.8313,11.9062,0
1985-10-22,11.9062,12.0061,11.9062,11.9561,0
1985-10-23,11.9561,11.9561,11.8563,11.8813,0
1985-10-24,11.8813,11.9062,11.8313,11.8813,0
1985-10-25,11.8813,11.8813,11.7065,11.7564,0
1985-10-28,11.7315,11.7315,11.6316,11.7065,0
1985-10-29,11.7065,11.8563,11.7065,11.7564,0
1985-10-30,11.8064,11.8313,11.6316,11.6316,0
1985-10-31,11.5817,11.6067,11.4819,11.5068,0
1985-11-01,11.5068,11.9811,11.5068,11.9811,0
1985-11-04,11.9561,12.0310,11.8563,11.9811,0
1985-11-05,11.9561,12.2307,11.9561,12.1808,0
1985-11-06,12.2307,12.2806,12.1059,12.2307,0
1985-11-07,12.2307,12.2806,12.0310,12.0809,0
1985-11-08,12.1558,12.2557,12.0809,12.2307,0
1985-11-11,12.2806,12.5302,12.2307,12.5302,0
1985-11-12,12.5302,12.7299,12.5053,12.6051,0
1985-11-13,12.6550,12.7549,12.5552,12.6550,0
1985-11-14,12.6800,12.8298,12.6550,12.7798,0
1985-11-15,12.7798,12.9046,12.7549,12.7798,0
