Date,Open,High,Low,Close,Volume
2006-04-03,58.6200,58.9300,58.4000,58.4700,0
2006-04-04,58.4400,58.7600,58.1800,58.3300,0
2006-04-05,58.6400,58.7100,58.0000,58.6600,0
2006-04-06,58.9700,59.3400,58.8500,59.2800,0
2006-04-07,58.6700,58.8200,58.2200,58.5900,0
2006-04-10,59.4800,59.6500,58.9500,59.6000,0
2006-04-11,59.5200,59.8500,59.0000,59.0100,0
2006-04-12,59.4500,59.7100,59.1500,59.4300,0
2006-04-13,59.1300,59.6000,58.8700,59.5000,0
2006-04-17,60.3800,61.3000,60.2000,61.0900,0
2006-04-18,61.2500,61.9300,61.0600,61.8500,0
2006-04-19,61.9600,63.9500,61.9000,63.7500,0
2006-04-20,63.3900,63.4500,60.4400,60.9600,0
2006-04-21,62.5100,63.2800,61.7800,63.2000,0
2006-04-24,62.3500,62.5300,61.6000,61.6500,0
2006-04-25,62.8600,63.1800,62.1800,62.7800,0
2006-04-26,63.0400,63.7900,63.0400,63.6500,0
2006-04-27,62.8400,64.0000,62.7700,62.9600,0
2006-04-28,63.9000,65.2700,63.8300,65.0900,0
2006-05-01,65.6800,65.8300,64.9800,65.1600,0
2006-05-02,65.6000,66.5700,65.5600,66.5500,0
2006-05-03,67.1400,67.1400,65.3300,66.4600,0
2006-05-04,66.7600,67.6700,66.2200,67.4800,0
2006-05-05,67.5100,68.0100,67.0600,67.9900,0
2006-05-08,67.2000,67.6100,66.7500,67.5600,0
2006-05-09,68.5400,69.7200,68.4500,69.6800,0
2006-05-10,69.2700,70.4900,69.2700,70.3800,0
2006-05-11,71.9800,72.1500,71.0000,71.0300,0
2006-05-12,71.8400,72.2600,70.2000,71.1200,0
2006-05-15,68.6800,69.3000,67.3200,67.4100,0
2006-05-16,68.3200,68.8600,67.8700,68.6100,0
2006-05-17,69.5100,70.1700,68.0700,68.1500,0
2006-05-18,68.6900,69.1000,67.3600,67.4600,0
2006-05-19,65.7600,66.0500,64.7000,65.5800,0
2006-05-22,64.4200,65.4200,63.8000,65.3000,0
2006-05-23,65.9900,67.1600,65.9100,66.3800,0
2006-05-24,64.8300,65.1600,63.2200,64.0600,0
2006-05-25,64.1200,64.7600,63.7600,64.7000,0
2006-05-26,65.0100,65.1000,63.7500,65.1000,0
2006-05-30,65.2000,66.2400,65.0000,65.1100,0
2006-05-31,65.5300,65.5900,63.5800,64.2300,0
2006-06-01,62.1500,62.9700,61.8000,62.5600,0
2006-06-02,63.1000,63.5900,62.5300,63.5000,0
2006-06-05,63.8200,64.1900,63.1200,63.2900,0
2006-06-06,62.5800,62.6700,62.1600,62.5500,0
2006-06-07,61.5400,62.8500,61.3500,62.2800,0
2006-06-08,61.5000,61.5300,60.4300,60.9100,0
2006-06-09,61.1700,61.3800,59.7100,60.4500,0
2006-06-12,60.7800,60.8400,59.9800,60.0300,0
2006-06-13,58.1000,58.6500,55.8100,55.9200,0
2006-06-14,56.6500,56.9100,55.0500,55.6200,0
2006-06-15,57.1200,57.6200,56.3300,57.3200,0
2006-06-16,57.3000,57.9300,56.4300,57.6800,0
2006-06-19,56.8500,57.2500,56.1500,56.3600,0
2006-06-20,56.6400,57.4800,56.1600,57.3000,0
2006-06-21,56.6200,58.7700,56.6200,58.3300,0
2006-06-22,58.1700,58.6100,57.6600,57.7300,0
2006-06-23,57.2700,58.3000,57.2700,57.9900,0
2006-06-26,58.2500,58.3300,57.4200,58.2800,0
2006-06-27,58.7100,59.2600,57.6800,57.6800,0
2006-06-28,58.1500,58.1900,57.3500,57.5400,0
2006-06-29,58.0000,59.7800,58.0000,59.5200,0
2006-06-30,60.8700,61.3500,60.6800,61.2300,0
2006-07-03,61.9600,62.3700,61.8800,62.1800,0
2006-07-05,62.4800,62.6300,61.4400,62.5000,0
2006-07-06,62.4600,63.2000,62.0500,63.0200,0
2006-07-07,62.8400,63.0500,62.4600,62.6300,0
2006-07-10,62.1300,62.5000,61.9900,62.0200,0
2006-07-11,62.8300,63.9800,62.7000,63.8100,0
2006-07-12,64.6500,65.1900,63.0100,64.9200,0
2006-07-13,65.0900,65.6800,64.1100,65.5500,0
2006-07-14,65.9000,66.4200,65.7000,65.8500,0
2006-07-17,64.7900,65.2200,63.6700,63.9500,0
2006-07-18,64.7500,64.7500,62.3400,62.9000,0
2006-07-19,62.5700,64.2400,62.4800,64.0300,0
2006-07-20,63.4000,63.9700,62.4000,62.5400,0
2006-07-21,63.1900,63.2500,61.2100,61.7100,0
2006-07-24,60.6300,61.2300,59.8300,61.1400,0
2006-07-25,61.3400,61.6000,60.5600,61.5500,0
2006-07-26,61.3500,62.3600,60.9300,62.0000,0
2006-07-27,63.5300,63.6100,62.5500,62.9000,0
2006-07-28,62.7800,63.3400,62.7500,63.1100,0
2006-07-31,63.1200,63.3500,62.4400,63.1600,0
2006-08-01,62.9200,64.4600,62.9200,64.3200,0
2006-08-02,64.7400,65.2200,64.4000,64.7500,0
2006-08-03,64.0000,64.3300,63.5500,64.1200,0
2006-08-04,64.8700,64.9800,64.0000,64.2800,0
2006-08-07,64.4700,64.8100,64.2500,64.5000,0
2006-08-08,63.9800,64.5700,63.8500,63.9700,0
2006-08-09,64.5600,65.1300,64.3900,64.6300,0
2006-08-10,64.0200,64.3800,62.9700,63.2500,0
2006-08-11,63.5800,64.1000,62.2400,62.7100,0
2006-08-14,62.3900,62.9000,62.0200,62.2500,0
2006-08-15,61.9500,62.2700,61.6800,62.0100,0
2006-08-16,62.6300,62.8900,62.2400,62.4900,0
2006-08-17,62.3200,62.3500,60.9600,61.0300,0
2006-08-18,61.4900,61.5000,60.3000,61.0400,0
2006-08-21,62.0900,62.4800,61.8000,62.4400,0
2006-08-22,62.0500,62.2000,61.6100,62.0500,0
2006-08-23,62.5600,62.6800,61.7500,61.8300,0
2006-08-24,61.9800,62.0600,61.4500,61.7500,0
2006-08-25,61.8800,62.0000,61.5800,61.7700,0
2006-08-28,61.8000,61.8000,60.8300,61.0000,0
2006-08-29,61.0000,61.0900,60.3200,60.9400,0
2006-08-30,61.4900,61.6600,61.0900,61.4200,0
2006-08-31,62.0000,62.3000,61.7300,62.2900,0
2006-09-01,61.9500,62.2900,61.4800,62.1400,0
2006-09-05,63.2000,63.6300,63.0600,63.3600,0
2006-09-06,63.2200,63.5200,62.8300,62.8600,0
2006-09-07,61.8700,61.9200,60.9900,61.2500,0
2006-09-08,60.5200,60.7700,60.2800,60.6400,0
2006-09-11,58.8500,59.2500,57.9100,58.5000,0
2006-09-12,58.6500,59.0900,58.1800,58.3200,0
2006-09-13,58.6000,58.9300,57.9700,58.6200,0
2006-09-14,58.5900,58.7200,57.0800,57.1900,0
2006-09-15,57.2000,57.7900,56.6600,57.4000,0
2006-09-18,57.4700,58.3900,57.4200,58.2300,0
2006-09-19,58.0200,58.1100,56.8400,56.9200,0
2006-09-20,57.8100,58.2400,57.2000,57.2600,0
2006-09-21,57.3500,58.0900,57.2200,57.9500,0
2006-09-22,58.7000,58.7500,57.9900,58.5000,0
2006-09-25,58.1500,58.7600,57.7800,58.5000,0
2006-09-26,58.5000,58.9700,58.2500,58.7400,0
2006-09-27,59.2200,59.8600,58.7300,59.8100,0
2006-09-28,59.8800,60.2700,59.5700,59.7900,0
2006-09-29,59.5200,59.6300,58.9800,59.4700,0
2006-10-02,59.8000,59.8800,59.0300,59.1500,0
2006-10-03,57.9300,58.1400,56.9100,57.1100,0
2006-10-04,57.4700,57.5200,55.5500,56.3700,0
2006-10-05,56.9400,57.0200,56.3200,56.9200,0
2006-10-06,56.2800,57.0200,55.6300,56.9900,0
2006-10-09,57.4600,57.5000,56.7200,57.2000,0
2006-10-10,56.5500,57.2800,56.4800,57.0000,0
2006-10-11,57.3000,57.5200,56.7000,56.8800,0
2006-10-12,56.7400,57.4900,56.6500,57.4900,0
2006-10-13,58.2500,58.6000,57.9400,58.5700,0
2006-10-16,58.9300,59.1800,58.7200,59.1700,0
2006-10-17,59.0000,59.1000,58.1200,58.6500,0
2006-10-18,58.8200,59.0300,58.2600,58.5900,0
2006-10-19,59.0400,59.6500,59.0200,59.4100,0
2006-10-20,59.4500,59.4800,58.6500,58.7800,0
2006-10-23,57.8800,58.1900,57.5200,57.7600,0
2006-10-24,57.2000,58.2600,56.8700,58.1700,0
2006-10-25,57.8300,58.7800,57.5500,58.7600,0
2006-10-26,59.0300,59.4500,58.9800,59.2900,0
2006-10-27,59.4300,59.5700,59.0400,59.4000,0
2006-10-30,60.0500,60.6500,59.8800,59.9000,0
2006-10-31,59.5900,60.3600,59.5700,60.2400,0
2006-11-01,61.0300,61.5500,60.6800,61.3600,0
2006-11-02,61.4700,62.1900,61.4700,61.9200,0
2006-11-03,61.8100,62.5000,61.6500,62.3000,0
2006-11-06,62.1700,62.3400,61.8500,61.8900,0
2006-11-07,62.3500,62.4800,61.9700,62.0400,0
2006-11-08,61.9400,62.0800,60.8700,61.1100,0
