Date,Open,High,Low,Close,Volume
2006-04-03,157.9900,159.8800,156.9200,158.1200,0
2006-04-04,158.1200,161.3600,158.1200,161.0000,0
2006-04-05,160.5000,161.9200,160.0000,160.7500,0
2006-04-06,160.0700,162.0700,160.0700,162.0400,0
2006-04-07,162.0400,163.1600,159.8900,161.0200,0
2006-04-10,162.5000,164.0500,161.4500,162.4600,0
2006-04-11,163.0000,163.3000,158.5100,159.1500,0
2006-04-12,159.6300,160.3000,158.4000,159.5200,0
2006-04-13,158.4500,159.6900,158.2000,159.4300,0
2006-04-17,160.2500,163.2100,160.0000,161.9400,0
2006-04-18,162.7500,166.1800,161.3200,165.5500,0
2006-04-19,164.5500,167.5700,163.6000,167.0500,0
2006-04-20,166.0600,169.3100,166.0600,168.5500,0
2006-04-21,168.6200,168.6600,165.3200,165.8900,0
2006-04-24,165.5000,166.2700,163.5000,165.3500,0
2006-04-25,165.3500,165.6000,161.7600,162.8000,0
2006-04-26,163.5000,164.6500,162.2000,163.4000,0
2006-04-27,163.3500,165.7900,162.1000,163.9700,0
2006-04-28,163.8100,164.8900,158.6500,160.2900,0
2006-05-01,160.3000,161.6700,156.0800,156.4500,0
2006-05-02,157.6000,160.0000,157.1200,158.8300,0
2006-05-03,159.5000,159.8500,157.7500,159.1500,0
2006-05-04,159.1600,160.3300,158.0000,158.0400,0
2006-05-05,159.7500,164.6000,159.6900,164.3900,0
2006-05-08,164.3900,166.5500,162.2000,163.5300,0
2006-05-09,163.7500,166.2600,163.7000,165.7500,0
2006-05-10,164.8500,165.4100,162.0500,164.0900,0
2006-05-11,164.3800,164.4900,158.6000,159.2800,0
2006-05-12,158.7500,159.7000,156.0700,156.1100,0
2006-05-15,154.6000,157.0000,151.1100,153.1400,0
2006-05-16,153.6000,155.1100,150.6200,152.7000,0
2006-05-17,150.8500,151.1500,147.0000,148.2100,0
2006-05-18,149.3600,150.2500,146.2500,147.0300,0
2006-05-19,148.3000,150.4500,146.7500,149.4100,0
2006-05-22,148.5100,148.5100,143.3400,146.1500,0
2006-05-23,148.0500,148.8800,143.7000,143.7000,0
2006-05-24,143.6500,145.5900,140.4200,143.9200,0
2006-05-25,145.2000,147.3200,144.6800,147.3200,0
2006-05-26,150.0000,152.9400,149.4700,152.9400,0
2006-05-30,151.0000,151.9500,149.2500,149.8300,0
2006-05-31,151.3000,152.3900,149.1500,150.9500,0
2006-06-01,150.9200,153.5900,150.1900,153.5500,0
2006-06-02,155.5000,157.0000,153.6000,154.0900,0
2006-06-05,154.9500,156.2900,149.8500,150.4000,0
2006-06-06,151.3900,152.0600,147.5000,149.2400,0
2006-06-07,149.2500,152.5300,148.3000,149.9500,0
2006-06-08,148.8000,150.6700,144.5000,149.7600,0
2006-06-09,151.0000,152.1000,148.9900,149.8900,0
2006-06-12,150.3000,150.7200,145.0000,145.0000,0
2006-06-13,144.5000,145.5000,138.0100,139.2500,0
2006-06-14,139.7500,141.7600,136.7900,138.5000,0
2006-06-15,140.4000,145.1900,140.0700,144.1200,0
2006-06-16,143.3000,144.5900,142.6100,144.0000,0
2006-06-19,144.9800,145.7500,142.9500,143.7500,0
2006-06-20,144.6500,145.9900,143.5900,145.2600,0
2006-06-21,145.7700,150.3200,145.5000,149.8300,0
2006-06-22,149.7100,150.5000,146.9500,148.3100,0
2006-06-23,147.8500,149.4000,147.2100,147.9200,0
2006-06-26,148.9200,149.9500,148.1000,149.9000,0
2006-06-27,149.0500,150.8900,147.1600,147.1600,0
2006-06-28,147.4100,148.5000,145.0700,146.4900,0
2006-06-29,148.1000,152.2000,146.3500,152.2000,0
2006-06-30,152.2000,152.7200,149.5000,150.4300,0
2006-07-03,151.9300,152.7900,151.3400,152.4500,0
2006-07-05,151.7000,151.7000,150.0000,150.9500,0
2006-07-06,152.2900,152.3000,150.2000,150.5800,0
2006-07-07,150.0100,150.5000,148.4400,148.5100,0
2006-07-10,149.2500,150.4100,148.1600,148.8500,0
2006-07-11,148.4000,149.0000,146.5500,148.6700,0
2006-07-12,148.7000,149.2300,145.0700,145.2700,0
2006-07-13,144.0300,145.2000,142.1000,142.5500,0
2006-07-14,143.1000,143.5000,138.9700,140.1000,0
2006-07-17,140.1000,142.2700,139.2000,140.8700,0
2006-07-18,140.6200,142.4800,139.9000,142.3400,0
2006-07-19,142.7000,147.8500,142.7000,146.9700,0
2006-07-20,146.7000,147.8000,145.0000,145.1800,0
2006-07-21,145.0500,145.0600,141.8000,142.0400,0
2006-07-24,143.3000,147.5000,143.0600,146.9000,0
2006-07-25,146.9000,149.6700,145.3400,148.4900,0
2006-07-26,147.5000,148.8200,146.6900,147.3800,0
2006-07-27,148.7000,149.6300,147.5900,148.2600,0
2006-07-28,149.6500,152.3500,149.3300,151.7200,0
2006-07-31,151.6000,153.7300,150.6600,152.7500,0
2006-08-01,151.6300,151.7400,149.5900,151.2600,0
2006-08-02,150.2600,150.5000,147.5400,149.9000,0
2006-08-03,148.7500,153.1500,148.4700,152.1000,0
2006-08-04,154.0000,156.2900,152.1700,152.9900,0
2006-08-07,152.1200,154.8500,151.7600,152.6500,0
2006-08-08,152.6500,155.4000,150.4900,151.4500,0
2006-08-09,153.5000,153.7500,149.6000,150.0100,0
2006-08-10,149.5000,152.1200,148.5000,151.6300,0
2006-08-11,152.3500,152.8700,149.9900,151.1100,0
2006-08-14,152.4800,153.0100,149.4300,150.3700,0
2006-08-15,152.3800,153.9900,151.2100,152.6500,0
2006-08-16,153.9500,155.0500,152.7200,154.9900,0
2006-08-17,153.9000,156.8700,153.8500,154.4500,0
2006-08-18,154.4500,154.7500,153.0000,154.6800,0
2006-08-21,153.1600,154.2500,151.6400,153.8300,0
2006-08-22,154.3600,155.0100,153.0500,154.1500,0
2006-08-23,153.4100,154.7500,152.1500,152.7000,0
2006-08-24,153.5500,153.6000,150.7500,151.4000,0
2006-08-25,150.6900,151.4200,149.7500,150.0700,0
2006-08-28,148.2500,150.5400,147.8800,149.5300,0
2006-08-29,149.6000,149.7900,145.6600,147.0900,0
2006-08-30,147.2000,147.7600,146.4200,147.0600,0
