Date,Open,High,Low,Close,Volume
1998-06-01,17.2812,17.3438,16.9062,17.0000,0
1998-06-02,17.2500,17.3594,17.0469,17.3125,0
1998-06-03,17.5312,17.6719,16.4141,16.4844,0
1998-06-04,16.9062,17.2500,16.7031,17.0469,0
1998-06-05,17.2969,17.4844,16.9375,17.4531,0
1998-06-08,17.4844,17.5000,16.9375,17.3281,0
1998-06-09,17.2969,17.5938,17.1562,17.5469,0
1998-06-10,17.4531,17.5625,17.0781,17.1406,0
1998-06-11,17.2031,17.3438,17.0312,17.1406,0
1998-06-12,17.1094,17.1250,16.4844,17.1094,0
1998-06-15,16.8125,17.1875,16.7031,16.7188,0
1998-06-16,16.9375,17.4688,16.7812,17.4531,0
1998-06-17,17.4688,17.7344,17.1562,17.3125,0
1998-06-18,17.2812,17.5156,17.0625,17.4219,0
1998-06-19,17.6562,17.6602,17.1875,17.5000,0
1998-06-22,17.4688,18.5938,17.4219,18.4688,0
1998-06-23,18.6875,18.9375,18.5781,18.8125,0
1998-06-24,18.7656,19.3750,18.3164,19.3438,0
1998-06-25,19.3125,19.4062,18.7812,18.9062,0
1998-06-26,18.8906,19.2812,18.7500,19.0938,0
1998-06-29,19.2188,19.3125,18.6875,18.9531,0
1998-06-30,18.7031,18.8438,18.3750,18.5312,0
1998-07-01,18.6719,18.8438,18.1094,18.7969,0
1998-07-02,18.6406,18.7812,18.2969,18.3125,0
1998-07-06,18.1406,18.4844,18.0625,18.3711,0
1998-07-07,18.2812,18.8281,18.1406,18.7812,0
1998-07-08,18.9062,19.5781,18.8906,19.5781,0
1998-07-09,19.3906,20.0938,19.3281,19.9375,0
1998-07-10,19.8750,20.1250,19.5625,19.9375,0
1998-07-13,19.9375,20.6250,19.8750,20.5938,0
1998-07-14,20.6719,20.8438,20.0938,20.1719,0
1998-07-15,20.2773,21.2500,20.2188,21.0625,0
1998-07-16,21.0000,21.2188,20.7500,21.0625,0
1998-07-17,20.9688,20.9844,20.6094,20.7812,0
1998-07-20,20.5938,20.7656,20.3906,20.4375,0
1998-07-21,20.3438,21.2031,20.2969,20.4062,0
1998-07-22,20.1562,20.7500,20.1562,20.5938,0
1998-07-23,20.4219,21.2344,20.3594,20.6406,0
1998-07-24,20.6875,21.0000,20.4062,20.7656,0
1998-07-27,20.5625,21.5312,20.4375,21.5156,0
1998-07-28,21.7031,22.0625,21.3750,21.4062,0
1998-07-29,21.5938,21.7031,21.1094,21.1562,0
