Date,Open,High,Low,Close,Volume
1970-06-01,0.9062,0.9375,0.9010,0.9375,0
1970-06-02,0.9375,0.9479,0.9115,0.9271,0
1970-06-03,0.9271,0.9661,0.9193,0.9661,0
1970-06-04,0.9661,0.9974,0.9583,0.9583,0
1970-06-05,0.9583,0.9583,0.9297,0.9349,0
1970-06-08,0.9349,0.9453,0.9115,0.9427,0
1970-06-09,0.9427,0.9453,0.9167,0.9375,0
1970-06-10,0.9375,0.9557,0.9349,0.9349,0
1970-06-11,0.9349,0.9557,0.9271,0.9531,0
1970-06-12,0.9531,0.9583,0.9427,0.9531,0
1970-06-15,0.9531,0.9740,0.9479,0.9688,0
1970-06-16,0.9792,1.0573,0.9792,1.0417,0
1970-06-17,1.0417,1.0417,1.0052,1.0208,0
1970-06-18,1.0208,1.0417,1.0104,1.0417,0
1970-06-19,1.0417,1.0573,1.0208,1.0208,0
1970-06-22,1.0208,1.0365,0.9792,1.0208,0
1970-06-23,1.0104,1.0104,0.9792,0.9844,0
1970-06-24,0.9844,0.9844,0.9583,0.9714,0
1970-06-25,0.9714,1.0000,0.9688,0.9714,0
1970-06-26,0.9714,0.9740,0.9427,0.9583,0
1970-06-29,0.9583,0.9661,0.9401,0.9583,0
1970-06-30,0.9583,0.9948,0.9583,0.9714,0
1970-07-01,0.9714,0.9740,0.9583,0.9740,0
1970-07-02,0.9740,0.9766,0.9609,0.9609,0
1970-07-06,0.9635,0.9870,0.9635,0.9740,0
1970-07-07,0.9740,0.9844,0.9375,0.9375,0
1970-07-08,0.9375,0.9714,0.9349,0.9688,0
1970-07-09,0.9740,1.0000,0.9740,0.9792,0
1970-07-10,0.9792,1.0104,0.9792,1.0026,0
1970-07-13,1.0026,1.0234,0.9922,0.9922,0
1970-07-14,0.9922,1.0000,0.9766,0.9896,0
1970-07-15,0.9922,1.0104,0.9922,1.0000,0
1970-07-16,1.0000,1.0130,0.9948,0.9948,0
1970-07-17,1.0052,1.0312,1.0052,1.0312,0
1970-07-20,1.0312,1.0521,1.0312,1.0391,0
1970-07-21,1.0391,1.0495,1.0365,1.0365,0
1970-07-22,1.0365,1.0443,1.0312,1.0312,0
1970-07-23,1.0312,1.0469,1.0208,1.0260,0
1970-07-24,1.0234,1.0234,1.0104,1.0104,0
1970-07-27,1.0078,1.0078,0.9844,0.9844,0
1970-07-28,0.9896,1.0156,0.9896,1.0104,0
1970-07-29,1.0156,1.0417,1.0156,1.0339,0
