Date,Open,High,Low,Close,Volume
2006-04-03,57.0648,57.5883,56.4651,56.5412,0
2006-04-04,56.5507,57.2361,56.3889,56.7030,0
2006-04-05,56.8934,59.3778,56.8744,59.2826,0
2006-04-06,58.7781,58.9685,58.0737,58.3212,0
2006-04-07,58.3307,58.8067,57.8929,58.4545,0
2006-04-10,58.4450,59.1589,57.8358,57.9690,0
2006-04-11,58.3022,58.9114,57.7501,57.8548,0
2006-04-12,57.8548,57.8548,56.5888,56.7792,0
2006-04-13,56.5888,56.7316,55.8273,56.4936,0
2006-04-17,56.4936,56.8077,54.7803,55.0277,0
2006-04-18,54.7327,56.6364,53.9807,56.4841,0
2006-04-19,55.8749,56.2176,54.7993,55.1800,0
2006-04-20,54.3995,54.9706,54.0664,54.6375,0
2006-04-21,55.0658,55.0658,53.7427,53.7522,0
2006-04-24,53.7522,53.7522,52.7052,52.7242,0
2006-04-25,53.0193,53.0288,51.9342,52.4101,0
2006-04-26,52.3530,54.7707,52.3435,53.5143,0
2006-04-27,52.8289,53.5143,51.8104,52.9336,0
2006-04-28,52.1150,53.3620,51.8866,52.2864,0
2006-05-01,52.2959,52.7337,51.6391,51.7533,0
2006-05-02,50.0685,51.1155,49.9257,50.6777,0
2006-05-03,50.0209,51.1822,49.6116,50.6872,0
2006-05-04,50.6872,50.9252,50.0019,50.0019,0
2006-05-05,50.8776,52.1055,50.3445,51.8675,0
2006-05-08,51.6296,52.1150,50.9537,50.9823,0
2006-05-09,51.0680,51.0680,49.7353,49.9352,0
2006-05-10,50.0114,51.0299,50.0114,50.4397,0
2006-05-11,50.0209,50.3350,48.6597,48.7359,0
2006-05-12,48.3932,48.4503,47.3081,48.1076,0
2006-05-15,48.1743,48.5645,46.7750,47.4128,0
2006-05-16,47.4508,47.6983,46.3752,46.5751,0
2006-05-17,45.9659,46.7179,45.4138,45.8898,0
2006-05-18,46.2039,47.6888,46.1753,46.6608,0
2006-05-19,46.7369,47.1462,46.1944,46.4038,0
2006-05-22,46.1658,46.3943,45.3186,45.8898,0
2006-05-23,46.6132,47.5460,45.9278,46.1944,0
2006-05-24,46.1944,47.6412,45.7851,46.3371,0
2006-05-25,46.1658,46.8226,45.7470,46.4704,0
2006-05-26,46.4799,46.9939,46.4799,46.6322,0
2006-05-30,46.4038,46.4133,45.2996,45.5185,0
2006-05-31,45.5566,45.7851,45.0236,45.6042,0
2006-06-01,45.6137,46.2991,45.2901,46.2229,0
2006-06-02,46.4038,46.7369,45.2996,45.7660,0
2006-06-05,45.7660,45.7660,44.2050,44.2621,0
2006-06-06,44.0241,44.0336,42.2631,42.8343,0
2006-06-07,43.1674,43.7100,42.3869,42.5487,0
2006-06-08,42.5487,42.6344,41.4921,42.3678,0
2006-06-09,42.8628,43.4054,42.4630,42.9675,0
2006-06-12,42.6439,42.8438,41.6444,41.6635,0
2006-06-13,41.4064,42.0537,40.7497,40.9876,0
2006-06-14,40.9020,41.5968,40.7497,41.5492,0
2006-06-15,41.5587,43.5386,41.3779,43.2055,0
2006-06-16,43.2055,43.5862,42.4059,42.7295,0
2006-06-19,42.7486,43.1865,41.5397,41.7682,0
2006-06-20,42.0252,42.1775,41.0447,41.0543,0
2006-06-21,41.1114,42.7867,41.1018,42.6820,0
2006-06-22,42.6820,42.9390,41.9871,42.4059,0
2006-06-23,42.1965,42.8628,42.0252,42.3964,0
2006-06-26,42.7010,44.2525,42.1204,43.4815,0
2006-06-27,43.4625,43.6433,41.8158,41.8538,0
2006-06-28,41.8538,41.8538,40.9210,41.4445,0
2006-06-29,41.5492,42.7391,41.0257,42.6915,0
2006-06-30,42.7867,42.7867,41.8919,42.2346,0
2006-07-03,42.2346,42.3393,41.5016,42.1299,0
2006-07-05,42.1204,42.3202,41.4445,42.0728,0
2006-07-06,41.5016,42.4725,41.4540,41.8253,0
2006-07-07,41.6349,42.6534,41.6159,42.2060,0
2006-07-10,42.2060,42.4250,41.7586,41.7872,0
2006-07-11,41.5968,41.6063,40.5307,40.9971,0
2006-07-12,40.9020,41.1590,39.3980,39.5884,0
2006-07-13,39.5979,40.0072,39.0934,39.0934,0
2006-07-14,38.8840,38.8935,36.7994,38.1415,0
2006-07-17,38.1415,39.1029,37.9797,39.0839,0
2006-07-18,39.0268,39.3504,37.9512,38.5603,0
2006-07-19,38.6460,40.4260,38.4652,40.3879,0
2006-07-20,40.3594,40.3784,39.3218,39.5598,0
2006-07-21,39.5598,41.0828,38.7888,40.6259,0
2006-07-24,41.0162,42.6724,40.8353,42.6344,0
2006-07-25,42.2631,43.7861,41.9490,43.0437,0
2006-07-26,43.2150,43.2531,42.0632,43.0246,0
2006-07-27,43.0341,43.7005,41.9014,42.2251,0
2006-07-28,42.7105,43.6814,42.2631,43.2721,0
2006-07-31,43.0722,43.2721,42.2536,42.5773,0
2006-08-01,42.0347,43.1960,41.8443,43.0056,0
2006-08-02,43.0246,43.7100,42.7867,42.8914,0
2006-08-03,42.5011,45.4519,42.3583,44.8046,0
2006-08-04,45.1188,46.5942,44.2430,44.5762,0
2006-08-07,44.5762,45.8327,44.3382,45.1283,0
2006-08-08,45.3567,46.0135,43.7576,44.1098,0
2006-08-09,44.0812,44.1098,42.0823,42.3678,0
2006-08-10,42.3678,42.8247,41.9205,42.5011,0
2006-08-11,42.1679,42.3488,41.2446,41.4731,0
2006-08-14,42.0252,42.0252,40.3499,40.7401,0
2006-08-15,41.3969,41.8538,40.6830,41.6635,0
2006-08-16,41.8633,43.1198,41.8158,43.0246,0
2006-08-17,43.0246,44.4905,42.8438,43.6624,0
2006-08-18,43.7861,43.9289,43.0056,43.8337,0
2006-08-21,43.8337,43.8337,42.8343,43.0532,0
2006-08-22,43.4911,43.9384,42.8343,42.8914,0
2006-08-23,42.9009,42.9294,41.6063,42.1965,0
2006-08-24,42.1965,42.8152,41.6635,42.7010,0
2006-08-25,42.7010,42.7962,42.0252,42.6058,0
2006-08-28,42.7200,43.5958,42.6820,43.0817,0
2006-08-29,42.7200,43.4244,42.1204,43.3197,0
2006-08-30,43.1198,43.1293,42.2251,42.5201,0
2006-08-31,42.5011,42.9770,42.0823,42.6820,0
2006-09-01,42.8343,43.0913,42.1394,42.6344,0
2006-09-05,42.8723,43.0151,42.0728,42.4154,0
2006-09-06,41.9776,42.3964,41.1399,41.4064,0
2006-09-07,40.9305,42.0632,40.2071,41.1685,0
2006-09-08,40.4546,41.8062,39.9977,40.6545,0
2006-09-11,40.4546,41.5397,39.7787,41.0352,0
2006-09-12,41.0447,43.5006,40.6925,43.2816,0
2006-09-13,43.3578,43.7861,42.9580,43.0437,0
2006-09-14,42.7391,43.1484,42.1775,43.1008,0
2006-09-15,43.5958,45.6994,43.5577,44.1574,0
2006-09-18,44.1669,45.1188,43.7956,44.1002,0
2006-09-19,44.1098,44.5476,43.2245,43.8432,0
2006-09-20,44.0812,44.6999,43.3483,43.4911,0
2006-09-21,43.3197,44.5476,42.8438,43.0722,0
2006-09-22,42.9770,44.2525,42.5868,43.6053,0
2006-09-25,44.0812,44.9284,43.3292,44.6238,0
2006-09-26,43.7861,45.6137,43.7385,44.6904,0
2006-09-27,44.7094,45.4519,43.4815,43.9099,0
2006-09-28,43.9194,44.3668,42.9485,43.5767,0
2006-09-29,44.0051,44.3858,43.0722,43.0722,0
2006-10-02,43.0817,43.9860,42.4535,43.4339,0
2006-10-03,43.2531,43.3197,42.4059,42.7105,0
2006-10-04,42.5487,44.0431,42.0918,43.7100,0
2006-10-05,43.7005,43.9860,42.6153,43.4435,0
2006-10-06,43.0817,43.3102,42.5582,42.9485,0
2006-10-09,42.7867,44.5762,42.3964,43.9765,0
2006-10-10,44.6809,45.4043,44.5667,44.6619,0
2006-10-11,44.7285,45.0807,43.9765,44.2906,0
2006-10-12,44.6428,45.5661,44.6428,45.4234,0
2006-10-13,44.6428,45.3091,43.8337,44.0812,0
2006-10-16,44.9093,45.0902,44.2811,44.7475,0
2006-10-17,44.5476,44.9093,44.0241,44.2716,0
2006-10-18,44.6428,45.0997,43.5386,43.6719,0
2006-10-19,43.8813,44.6143,43.5672,43.8528,0
2006-10-20,44.0431,44.0907,43.3197,43.9004,0
2006-10-23,43.8528,44.1288,42.9009,43.2055,0
2006-10-24,43.0913,44.1574,42.9866,44.1098,0
2006-10-25,44.0241,45.5090,43.7100,45.1854,0
2006-10-26,45.1854,46.2896,45.0521,45.9469,0
2006-10-27,45.9564,46.0325,44.9093,45.3567,0
2006-10-30,45.3567,45.9659,44.8522,45.4043,0
2006-10-31,45.4138,45.6994,44.7475,45.1949,0
2006-11-01,45.4709,45.6232,44.3001,44.5381,0
2006-11-02,44.5286,44.9284,43.9479,44.2145,0
2006-11-03,44.1098,44.2716,43.5482,44.0431,0
2006-11-06,44.4048,44.4048,43.9479,44.2430,0
2006-11-07,43.9004,44.0907,43.3102,43.4720,0
2006-11-08,42.8438,43.4530,42.1013,43.0532,0
2006-11-09,43.2626,43.2626,42.4535,42.6344,0
2006-11-10,42.7105,44.2145,42.7105,43.9955,0
2006-11-13,44.0336,44.5952,43.6529,44.0336,0
2006-11-14,44.7190,46.0325,44.3763,45.9278,0
2006-11-15,45.9278,47.0701,45.7946,46.5942,0
2006-11-16,46.8321,47.6983,46.4704,47.0225,0
2006-11-17,46.6513,47.3937,46.0421,46.9654,0
2006-11-20,46.9654,47.2605,46.4799,46.7465,0
2006-11-21,46.5561,47.5460,46.5561,47.3557,0
2006-11-22,47.8316,48.8120,47.7650,48.5740,0
2006-11-24,48.3837,48.9453,48.1267,48.4217,0
2006-11-27,48.4408,48.7073,47.6983,47.9839,0
2006-11-28,47.9648,48.4789,47.1082,47.4699,0
2006-11-29,47.8316,48.2599,47.2319,47.5175,0
2006-11-30,48.0696,50.4492,47.8792,49.9733,0
2006-12-01,49.8020,50.4968,49.0785,49.9923,0
2006-12-04,50.2113,50.2589,49.4212,49.6877,0
2006-12-05,49.6782,51.3059,49.6782,50.9537,0
2006-12-06,51.6391,51.9818,51.2678,51.5629,0
2006-12-07,50.9728,51.3250,50.1066,50.6872,0
2006-12-08,50.6396,50.6491,49.4212,49.7734,0
2006-12-11,49.5926,50.4968,49.4974,49.8400,0
2006-12-12,49.9447,50.2017,49.3927,49.5640,0
2006-12-13,49.6877,50.4873,49.6211,49.6877,0
2006-12-14,49.6973,50.4016,49.4022,50.1446,0
2006-12-15,50.6872,51.1060,50.1161,50.4683,0
2006-12-18,50.6872,50.8205,50.0114,50.1256,0
2006-12-19,49.1737,49.6021,48.7549,49.0309,0
2006-12-20,49.0309,49.6877,48.8786,49.0785,0
2006-12-21,49.0785,49.4498,48.6692,48.7263,0
2006-12-22,48.5740,48.6883,48.1362,48.2504,0
2006-12-26,48.2504,49.0214,48.2219,48.7835,0
2006-12-27,49.0690,50.1827,49.0214,50.0780,0
2006-12-28,49.8591,50.4492,49.6116,49.7734,0
2006-12-29,49.7258,50.2874,49.7068,49.9352,0
2007-01-03,49.0690,49.7829,47.8316,48.1933,0
2007-01-04,50.4492,50.6396,47.4032,47.6793,0
2007-01-05,47.6698,47.7364,47.0511,47.2700,0
2007-01-08,47.1748,47.1748,46.0040,46.3752,0
2007-01-09,46.3752,46.7750,46.1563,46.4323,0
2007-01-10,46.4419,46.8607,46.0135,46.6608,0
2007-01-11,46.8607,47.6983,46.6703,47.5365,0
2007-01-12,47.5365,48.1933,47.3842,47.7364,0
2007-01-16,47.2890,48.0505,46.6893,47.3271,0
2007-01-17,48.5455,49.7449,48.2314,49.4498,0
2007-01-18,49.5545,50.4016,49.3736,49.5450,0
2007-01-19,49.6782,51.1060,49.4498,50.9061,0
2007-01-22,50.8871,51.1631,50.1827,50.9252,0
2007-01-23,50.4016,51.2393,49.7544,50.6777,0
2007-01-24,50.5920,51.1822,49.8020,51.0489,0
2007-01-25,51.0489,51.0680,49.2975,49.3927,0
2007-01-26,49.6306,49.8210,48.9167,49.2213,0
2007-01-29,49.2213,49.8686,49.0309,49.4212,0
2007-01-30,49.6401,50.0970,49.2213,49.3355,0
2007-01-31,49.4974,51.9913,49.4688,51.7628,0
2007-02-01,51.9913,52.9717,51.8199,52.3720,0
2007-02-02,52.4006,53.8189,52.3720,53.4096,0
2007-02-05,53.4191,53.7332,52.3720,52.8194,0
2007-02-06,52.7432,52.8004,52.0674,52.6671,0
2007-02-07,52.6671,53.0764,52.0579,52.4101,0
2007-02-08,51.8770,52.7242,50.7062,50.9632,0
2007-02-09,50.9632,51.1822,49.9162,50.1732,0
2007-02-12,49.9828,50.4492,49.3451,49.6687,0
2007-02-13,49.8781,50.4492,49.6211,50.2208,0
2007-02-14,50.0685,50.8966,49.9638,50.2017,0
2007-02-15,50.2493,51.0204,50.2398,50.6396,0
2007-02-16,50.4016,50.4492,49.5164,50.4112,0
2007-02-20,50.4112,51.0204,50.0685,50.5539,0
2007-02-21,50.1637,50.4112,49.0405,50.1637,0
2007-02-22,50.5539,50.6967,49.1166,49.4593,0
2007-02-23,49.3927,49.3927,48.2219,48.5169,0
2007-02-26,48.6216,48.9548,48.1647,48.5360,0
