Date,Open,High,Low,Close,Volume
1970-06-01,4.4158,4.5333,4.4158,4.4484,0
1970-06-02,4.4484,4.4941,4.4288,4.4941,0
1970-06-03,4.4941,4.5595,4.4941,4.5529,0
1970-06-04,4.5529,4.6117,4.4550,4.4876,0
1970-06-05,4.4876,4.4941,4.4158,4.4615,0
1970-06-08,4.4615,4.4941,4.4027,4.4027,0
1970-06-09,4.3962,4.3962,4.3439,4.3635,0
1970-06-10,4.3570,4.3570,4.2655,4.2916,0
1970-06-11,4.2916,4.3243,4.2133,4.2329,0
1970-06-12,4.2329,4.2329,4.1675,4.2067,0
1970-06-15,4.2916,4.2916,4.1806,4.2329,0
1970-06-16,4.2329,4.3308,4.2263,4.3308,0
1970-06-17,4.3243,4.3243,4.2786,4.2982,0
1970-06-18,4.2982,4.3504,4.2329,4.2721,0
1970-06-19,4.2721,4.2916,4.1806,4.2851,0
1970-06-22,4.2721,4.2721,4.2133,4.2459,0
1970-06-23,4.2459,4.2459,4.1806,4.1871,0
1970-06-24,4.1871,4.2002,4.1545,4.1545,0
1970-06-25,4.1479,4.1479,3.9912,4.0630,0
1970-06-26,4.0630,4.0761,4.0238,4.0500,0
1970-06-29,4.0173,4.0173,3.9324,3.9716,0
1970-06-30,3.9716,4.0238,3.9454,3.9454,0
1970-07-01,3.9454,3.9520,3.8409,3.8409,0
1970-07-02,3.8409,3.8997,3.8148,3.8540,0
1970-07-06,3.8409,3.8409,3.7429,3.7495,0
1970-07-07,3.7495,3.7691,3.7103,3.7364,0
1970-07-08,3.7625,3.9193,3.7625,3.9193,0
1970-07-09,3.9193,4.0826,3.9193,3.9389,0
1970-07-10,3.9389,3.9520,3.9062,3.9062,0
1970-07-13,3.9062,3.9128,3.8605,3.8605,0
1970-07-14,3.8671,3.9062,3.8671,3.9062,0
1970-07-15,3.9062,3.9585,3.9062,3.9585,0
1970-07-16,3.9977,4.0957,3.9977,4.0696,0
1970-07-17,4.0892,4.1675,4.0892,4.1675,0
1970-07-20,4.1675,4.1741,4.1087,4.1349,0
1970-07-21,4.1349,4.1675,4.1153,4.1675,0
1970-07-22,4.1675,4.2263,4.1283,4.1871,0
1970-07-23,4.1871,4.2525,4.1675,4.2525,0
1970-07-24,4.2525,4.2525,4.1806,4.2329,0
1970-07-27,4.2263,4.2263,4.2002,4.2067,0
1970-07-28,4.2067,4.2198,4.1806,4.2067,0
1970-07-29,4.2067,4.2394,4.1937,4.2067,0
1970-07-30,4.2067,4.2198,4.1871,4.2198,0
1970-07-31,4.2198,4.2329,4.1937,4.2198,0
1970-08-03,4.2198,4.2459,4.1937,4.2198,0
1970-08-04,4.2133,4.2133,4.1741,4.2067,0
1970-08-05,4.2067,4.2198,4.1871,4.2133,0
1970-08-06,4.2133,4.2982,4.2002,4.2982,0
1970-08-07,4.2982,4.4092,4.2851,4.3439,0
1970-08-10,4.3439,4.3635,4.3047,4.3243,0
1970-08-11,4.3243,4.3308,4.2459,4.3047,0
1970-08-12,4.3047,4.3047,4.2394,4.2459,0
1970-08-13,4.2459,4.2459,4.1675,4.1741,0
1970-08-14,4.1741,4.1741,4.0826,4.0826,0
1970-08-17,4.0826,4.1022,4.0761,4.0957,0
1970-08-18,4.1153,4.1741,4.1153,4.1349,0
1970-08-19,4.1414,4.2002,4.1414,4.1871,0
1970-08-20,4.1871,4.2590,4.1806,4.2590,0
1970-08-21,4.2590,4.4158,4.2133,4.4158,0
1970-08-24,4.4158,4.5725,4.4092,4.5072,0
1970-08-25,4.5072,4.5595,4.4746,4.5464,0
1970-08-26,4.5464,4.5921,4.5399,4.5464,0
1970-08-27,4.5464,4.6117,4.5464,4.5856,0
1970-08-28,4.5856,4.6836,4.5856,4.6183,0
1970-08-31,4.6183,4.6444,4.5333,4.5921,0
1970-09-01,4.5921,4.5921,4.4419,4.4550,0
1970-09-02,4.4550,4.4550,4.4027,4.4419,0
1970-09-03,4.4419,4.5268,4.4027,4.4419,0
1970-09-04,4.4419,4.4615,4.4158,4.4288,0
1970-09-08,4.4288,4.4550,4.3962,4.4092,0
1970-09-09,4.4092,4.4811,4.4027,4.4811,0
1970-09-10,4.4811,4.4941,4.4027,4.4746,0
1970-09-11,4.4746,4.5203,4.4484,4.4484,0
1970-09-14,4.4484,4.4941,4.4288,4.4615,0
1970-09-15,4.4615,4.4811,4.4223,4.4811,0
1970-09-16,4.4811,4.5203,4.4550,4.4876,0
1970-09-17,4.4876,4.5072,4.4680,4.4941,0
1970-09-18,4.4941,4.5137,4.4746,4.5072,0
1970-09-21,4.5072,4.5856,4.4811,4.4941,0
1970-09-22,4.4941,4.5007,4.4615,4.4811,0
1970-09-23,4.4941,4.5856,4.4941,4.5595,0
1970-09-24,4.5856,4.7489,4.5856,4.7032,0
1970-09-25,4.7032,4.7032,4.5987,4.6052,0
1970-09-28,4.6052,4.6509,4.5856,4.5987,0
1970-09-29,4.5987,4.5987,4.5595,4.5725,0
1970-09-30,4.5725,4.6183,4.5660,4.6183,0
1970-10-01,4.6183,4.6444,4.5333,4.5464,0
1970-10-02,4.5464,4.5856,4.5333,4.5660,0
1970-10-05,4.5660,4.6379,4.5529,4.6379,0
1970-10-06,4.6379,4.6901,4.6379,4.6836,0
1970-10-07,4.6836,4.7228,4.6575,4.6901,0
1970-10-08,4.6901,4.7162,4.6509,4.6640,0
1970-10-09,4.6640,4.6705,4.5987,4.5987,0
1970-10-12,4.5987,4.6248,4.5529,4.5856,0
1970-10-13,4.5856,4.5856,4.5464,4.5725,0
1970-10-14,4.5725,4.6705,4.5725,4.6509,0
1970-10-15,4.6509,4.7032,4.6313,4.6966,0
1970-10-16,4.6966,4.6966,4.6509,4.6575,0
1970-10-19,4.6575,4.6770,4.6313,4.6640,0
1970-10-20,4.6444,4.6444,4.5987,4.6183,0
1970-10-21,4.6183,4.6705,4.6117,4.6509,0
1970-10-22,4.6509,4.6575,4.6248,4.6575,0
1970-10-23,4.6575,4.6836,4.6313,4.6640,0
1970-10-26,4.6640,4.6901,4.6379,4.6575,0
1970-10-27,4.6575,4.6640,4.5987,4.6183,0
1970-10-28,4.6183,4.6183,4.5333,4.5987,0
1970-10-29,4.6052,4.6509,4.6052,4.6052,0
1970-10-30,4.6183,4.6509,4.6183,4.6248,0
1970-11-02,4.6248,4.6509,4.6117,4.6379,0
1970-11-03,4.6379,4.6444,4.6117,4.6183,0
1970-11-04,4.6248,4.6770,4.6248,4.6379,0
1970-11-05,4.6509,4.6966,4.6509,4.6640,0
1970-11-06,4.6640,4.6770,4.6313,4.6770,0
1970-11-09,4.6770,4.7293,4.6640,4.7293,0
1970-11-10,4.7293,4.7293,4.5072,4.5595,0
1970-11-11,4.5595,4.6183,4.5399,4.5399,0
1970-11-12,4.5399,4.5529,4.4941,4.4941,0
1970-11-13,4.4941,4.5399,4.4746,4.5072,0
1970-11-16,4.5072,4.5137,4.4615,4.4811,0
1970-11-17,4.4811,4.5137,4.4680,4.4680,0
1970-11-18,4.4680,4.4876,4.4354,4.4811,0
1970-11-19,4.4811,4.4876,4.4550,4.4680,0
1970-11-20,4.4680,4.5072,4.4550,4.5072,0
1970-11-23,4.5072,4.5987,4.5072,4.5921,0
1970-11-24,4.5921,4.6117,4.5595,4.5987,0
1970-11-25,4.6248,4.7032,4.6248,4.7032,0
1970-11-27,4.7032,4.7424,4.6509,4.7424,0
1970-11-30,4.7162,4.7162,4.6836,4.6966,0
1970-12-01,4.6966,4.7228,4.6509,4.6966,0
1970-12-02,4.6966,4.7554,4.6313,4.7489,0
1970-12-03,4.7750,4.8534,4.7750,4.7881,0
1970-12-04,4.7881,4.8600,4.7816,4.8338,0
1970-12-07,4.8338,4.9057,4.8338,4.9057,0
1970-12-08,4.9122,4.9645,4.9122,4.9122,0
1970-12-09,4.9122,4.9514,4.8861,4.9122,0
1970-12-10,4.9122,4.9775,4.8991,4.9710,0
1970-12-11,4.9710,5.0886,4.9645,5.0690,0
1970-12-14,5.0690,5.0820,5.0233,5.0429,0
1970-12-15,5.0429,5.0690,5.0167,5.0429,0
1970-12-16,5.0429,5.0690,5.0102,5.0494,0
1970-12-17,5.0494,5.0624,5.0363,5.0494,0
1970-12-18,5.0494,5.0690,5.0429,5.0690,0
1970-12-21,5.0690,5.0690,4.9645,4.9645,0
1970-12-22,4.9645,5.0167,4.9645,5.0037,0
1970-12-23,5.0037,5.0167,4.9775,4.9775,0
1970-12-24,4.9775,5.0102,4.9514,4.9906,0
1970-12-28,4.9906,5.0167,4.9710,5.0102,0
1970-12-29,5.0233,5.0886,5.0233,5.0886,0
1970-12-30,5.0886,5.1474,5.0886,5.1474,0
1970-12-31,5.1474,5.1735,5.1212,5.1735,0
1971-01-04,5.1343,5.1343,5.0624,5.0624,0
1971-01-05,5.0624,5.1016,4.9710,5.1016,0
1971-01-06,5.1016,5.1343,5.0820,5.0951,0
1971-01-07,5.0951,5.1212,5.0820,5.0820,0
1971-01-08,5.0820,5.1212,5.0494,5.0624,0
1971-01-11,5.0494,5.0494,4.9775,5.0102,0
1971-01-12,5.0102,5.0167,5.0102,5.0167,0
1971-01-13,5.0167,5.0494,5.0167,5.0233,0
1971-01-14,5.0233,5.0298,5.0037,5.0298,0
1971-01-15,5.0298,5.0429,5.0037,5.0363,0
1971-01-18,5.0363,5.0494,5.0167,5.0167,0
1971-01-19,5.0167,5.0363,5.0102,5.0363,0
1971-01-20,5.0363,5.0559,5.0233,5.0429,0
1971-01-21,5.0429,5.0755,5.0363,5.0690,0
1971-01-22,5.0690,5.1212,5.0690,5.1147,0
1971-01-25,5.1147,5.1474,5.1147,5.1474,0
1971-01-26,5.1474,5.1735,5.1278,5.1604,0
1971-01-27,5.1604,5.1735,5.0886,5.1408,0
1971-01-28,5.1408,5.1670,5.1212,5.1278,0
1971-01-29,5.1408,5.1735,5.1408,5.1735,0
1971-02-01,5.1931,5.2258,5.1931,5.2062,0
1971-02-02,5.2062,5.2192,5.1735,5.1800,0
1971-02-03,5.1800,5.3237,5.1800,5.3237,0
1971-02-04,5.3237,5.3433,5.2453,5.2780,0
1971-02-05,5.2780,5.2911,5.2453,5.2453,0
1971-02-08,5.2453,5.3041,5.2258,5.3041,0
1971-02-09,5.3041,5.3303,5.2845,5.3107,0
1971-02-10,5.3107,5.3303,5.2584,5.3172,0
1971-02-11,5.3172,5.3564,5.2780,5.3564,0
1971-02-12,5.3564,5.4087,5.3499,5.4087,0
1971-02-16,5.4087,5.4478,5.4021,5.4348,0
1971-02-17,5.4348,5.4413,5.3956,5.4282,0
1971-02-18,5.4282,5.4348,5.3825,5.4152,0
1971-02-19,5.4152,5.4282,5.3695,5.4217,0
1971-02-22,5.3956,5.3956,5.2845,5.3041,0
1971-02-23,5.2976,5.2976,5.2453,5.2845,0
1971-02-24,5.2845,5.3172,5.2519,5.3172,0
1971-02-25,5.3172,5.3695,5.2519,5.3564,0
1971-02-26,5.3564,5.4282,5.3303,5.4217,0
1971-03-01,5.4217,5.4348,5.3825,5.4348,0
1971-03-02,5.4348,5.4609,5.4152,5.4609,0
1971-03-03,5.4609,5.4740,5.4217,5.4413,0
1971-03-04,5.4413,5.4805,5.4348,5.4544,0
1971-03-05,5.4544,5.4805,5.4544,5.4740,0
1971-03-08,5.4740,5.5001,5.4544,5.4936,0
1971-03-09,5.4936,5.5785,5.4870,5.5524,0
1971-03-10,5.5654,5.5916,5.5654,5.5916,0
1971-03-11,5.5916,5.6177,5.5654,5.6177,0
1971-03-12,5.6177,5.6830,5.5654,5.6830,0
1971-03-15,5.6830,5.8920,5.6830,5.8920,0
1971-03-16,5.8920,5.9574,5.8659,5.9443,0
1971-03-17,5.9182,5.9182,5.8790,5.9051,0
1971-03-18,5.9051,5.9966,5.9051,5.9704,0
1971-03-19,5.9966,6.0423,5.9966,6.0423,0
1971-03-22,6.0227,6.0227,5.9312,5.9574,0
1971-03-23,5.9574,5.9770,5.8528,5.8659,0
1971-03-24,5.8267,5.8267,5.7418,5.7549,0
1971-03-25,5.7549,5.8528,5.7353,5.8463,0
