Date,Open,High,Low,Close,Volume
1985-06-03,2.9024,2.9024,2.8493,2.8560,0
1985-06-04,2.8593,2.8792,2.8527,2.8758,0
1985-06-05,2.8891,2.9355,2.8792,2.9090,0
1985-06-06,2.9156,3.0084,2.9090,3.0084,0
1985-06-07,3.0017,3.0017,2.9421,2.9421,0
1985-06-10,2.9454,2.9454,2.9222,2.9355,0
1985-06-11,2.9355,2.9388,2.9090,2.9189,0
1985-06-12,2.9255,2.9255,2.9057,2.9156,0
1985-06-13,2.9090,2.9222,2.8560,2.8626,0
1985-06-14,2.8825,2.8825,2.8560,2.8792,0
1985-06-17,2.8725,2.9487,2.8626,2.9487,0
1985-06-18,2.9487,2.9752,2.9421,2.9653,0
1985-06-19,2.9653,2.9885,2.9587,2.9786,0
1985-06-20,2.9719,3.0084,2.9719,3.0084,0
1985-06-21,3.0051,3.0614,2.9885,3.0581,0
1985-06-24,3.0448,3.0514,3.0316,3.0349,0
1985-06-25,3.0415,3.0415,2.9951,2.9951,0
1985-06-26,2.9951,2.9951,2.9819,2.9918,0
1985-06-27,2.9918,3.0150,2.9885,3.0084,0
1985-06-28,3.0017,3.0051,2.9752,2.9852,0
1985-07-01,2.9752,2.9852,2.9554,2.9719,0
1985-07-02,2.9719,2.9885,2.9620,2.9686,0
1985-07-03,2.8891,2.9554,2.8891,2.9554,0
1985-07-05,2.9686,2.9786,2.9554,2.9620,0
1985-07-08,2.9752,2.9885,2.9620,2.9885,0
1985-07-09,2.9951,3.0415,2.9951,3.0216,0
1985-07-10,3.0283,3.0780,3.0283,3.0746,0
1985-07-11,3.0614,3.0713,3.0514,3.0713,0
1985-07-12,3.0713,3.0713,3.0481,3.0548,0
1985-07-15,3.0514,3.0713,3.0481,3.0647,0
1985-07-16,3.0680,3.0780,3.0614,3.0780,0
1985-07-17,3.0813,3.1078,3.0813,3.1045,0
1985-07-18,3.0879,3.1078,3.0879,3.0978,0
1985-07-19,3.1045,3.1078,3.0879,3.1011,0
1985-07-22,3.0945,3.0945,3.0813,3.0879,0
1985-07-23,3.0945,3.1078,3.0879,3.0912,0
1985-07-24,3.0846,3.0912,3.0614,3.0713,0
1985-07-25,3.0614,3.0680,3.0216,3.0283,0
1985-07-26,3.0183,3.0249,2.9852,2.9885,0
1985-07-29,2.9885,2.9885,2.9719,2.9819,0
1985-07-30,2.9719,2.9918,2.9653,2.9885,0
1985-07-31,2.9951,3.0051,2.9819,2.9918,0
1985-08-01,3.0017,3.0051,2.9918,3.0017,0
1985-08-02,2.9951,2.9951,2.9719,2.9752,0
1985-08-05,2.9620,2.9752,2.9521,2.9719,0
1985-08-06,2.9719,3.0017,2.9454,2.9454,0
1985-08-07,2.9487,2.9620,2.9454,2.9620,0
1985-08-08,2.9554,2.9752,2.9554,2.9752,0
1985-08-09,2.9752,2.9752,2.9620,2.9620,0
1985-08-12,2.9686,2.9918,2.9686,2.9752,0
1985-08-13,2.9752,3.0017,2.9752,2.9918,0
1985-08-14,2.9951,3.0249,2.9951,3.0216,0
1985-08-15,3.0216,3.0481,3.0216,3.0382,0
1985-08-16,3.0349,3.0448,3.0316,3.0415,0
1985-08-19,3.0415,3.0614,3.0415,3.0481,0
1985-08-20,3.0548,3.0846,3.0481,3.0813,0
1985-08-21,3.0813,3.1144,3.0746,3.1144,0
1985-08-22,3.1078,3.1210,3.0912,3.1078,0
1985-08-23,3.1011,3.1078,3.0945,3.1011,0
1985-08-26,3.0945,3.0945,3.0548,3.0548,0
1985-08-27,3.0647,3.0647,3.0514,3.0581,0
1985-08-28,3.0514,3.0746,3.0514,3.0713,0
1985-08-29,3.0647,3.0680,3.0481,3.0481,0
1985-08-30,3.0249,3.0481,3.0117,3.0249,0
1985-09-03,3.0216,3.0216,3.0117,3.0216,0
1985-09-04,3.0183,3.0249,3.0117,3.0183,0
1985-09-05,3.0216,3.0216,3.0117,3.0117,0
1985-09-06,3.0084,3.0216,3.0051,3.0084,0
1985-09-09,3.0084,3.0216,3.0084,3.0183,0
1985-09-10,3.0117,3.0183,2.9984,2.9984,0
1985-09-11,3.0084,3.0084,2.9719,2.9719,0
1985-09-12,2.9752,2.9752,2.9554,2.9686,0
1985-09-13,2.9620,2.9752,2.9421,2.9487,0
1985-09-16,2.9487,2.9686,2.9454,2.9521,0
1985-09-17,2.9521,2.9587,2.9355,2.9355,0
1985-09-18,2.9222,2.9222,2.7433,2.8593,0
1985-09-19,2.8460,2.8858,2.8460,2.8792,0
1985-09-20,2.8725,2.8924,2.8626,2.8626,0
1985-09-23,2.9024,2.9090,2.8891,2.8957,0
1985-09-24,2.8990,2.9355,2.8957,2.9024,0
1985-09-25,2.9024,2.9024,2.8626,2.8659,0
1985-09-26,2.8626,2.8858,2.8626,2.8858,0
1985-09-30,2.8825,2.8891,2.8626,2.8692,0
1985-10-01,2.8659,2.8891,2.8460,2.8825,0
1985-10-02,2.8924,2.8924,2.8361,2.8361,0
1985-10-03,2.8261,2.8427,2.8096,2.8228,0
1985-10-04,2.8162,2.8261,2.8096,2.8261,0
1985-10-07,2.8361,2.8891,2.8195,2.8692,0
