Date,Open,High,Low,Close,Volume
2006-04-03,62.8200,63.9800,62.5500,63.2500,0
2006-04-04,63.0600,64.4800,62.8300,64.2700,0
2006-04-05,64.4700,65.0000,64.0500,64.3100,0
2006-04-06,64.3800,64.8200,63.8300,64.5000,0
2006-04-07,64.3100,64.8800,63.5200,63.7700,0
2006-04-10,63.7600,65.0000,63.5000,64.1900,0
2006-04-11,63.9300,64.1500,62.4500,62.7300,0
2006-04-12,62.7500,63.2800,62.7300,63.0800,0
2006-04-13,63.2000,63.2400,62.7000,62.9800,0
2006-04-17,63.0000,63.9300,63.0000,63.6100,0
2006-04-18,64.2200,65.7900,64.2200,65.6400,0
2006-04-19,65.7000,65.7400,64.9000,65.1600,0
2006-04-20,65.1000,65.6800,64.9800,64.9800,0
2006-04-21,65.4500,65.4500,64.7300,65.0300,0
2006-04-24,64.8400,65.4400,64.5500,65.3100,0
2006-04-25,65.1200,65.3000,64.0500,64.3700,0
2006-04-26,64.3700,64.7000,63.9000,64.4100,0
2006-04-27,64.2500,65.3100,63.9000,64.9700,0
2006-04-28,65.0900,65.4200,63.6800,64.3000,0
2006-05-01,64.6500,65.0300,63.0400,63.1600,0
2006-05-02,63.4000,64.2500,63.3700,64.1400,0
2006-05-03,64.2500,64.3600,63.1400,63.4200,0
2006-05-04,63.7700,64.4500,63.7100,63.8000,0
2006-05-05,64.3000,65.5600,64.2400,65.5300,0
2006-05-08,65.5300,65.8800,64.8800,65.4000,0
2006-05-09,65.1500,65.8800,65.1500,65.7500,0
2006-05-10,65.4000,65.7200,64.5900,65.2100,0
2006-05-11,65.5800,66.0000,63.7800,64.2600,0
2006-05-12,64.0500,64.9000,63.1600,63.2900,0
2006-05-15,63.0000,63.4900,61.3400,62.0700,0
2006-05-16,62.5000,63.1400,61.3400,62.0600,0
2006-05-17,61.3700,61.4300,59.3500,59.9900,0
2006-05-18,60.0000,60.8000,59.8000,59.8600,0
2006-05-19,60.0500,60.9400,59.7500,59.9400,0
2006-05-22,59.5000,59.7700,57.6100,59.1700,0
2006-05-23,59.7000,60.2000,58.6600,58.7700,0
2006-05-24,58.5000,59.2300,57.5800,59.1000,0
2006-05-25,59.5900,59.8600,59.1500,59.7700,0
2006-05-26,60.2500,60.9500,59.9700,60.5700,0
2006-05-30,59.8800,60.1000,58.9000,59.1100,0
2006-05-31,59.0500,59.8000,58.8200,59.6200,0
2006-06-01,59.3500,60.6700,59.3000,60.5800,0
2006-06-02,61.2500,61.5300,60.4100,60.5900,0
2006-06-05,60.5000,60.6200,58.5000,58.6500,0
2006-06-06,58.9500,59.3000,58.0800,58.9000,0
2006-06-07,59.2500,60.0600,58.6400,59.1400,0
2006-06-08,59.1400,59.5900,57.7600,58.9800,0
2006-06-09,59.0500,59.9600,59.0000,59.1900,0
2006-06-12,59.4000,59.7000,57.8900,58.2000,0
2006-06-13,57.9800,58.9500,54.5200,55.2400,0
2006-06-14,55.5000,56.3100,54.9300,55.5900,0
2006-06-15,56.4000,57.5000,56.2900,57.3300,0
2006-06-16,57.3300,57.3300,56.5500,56.9900,0
2006-06-19,57.2400,57.4600,56.1000,56.5200,0
2006-06-20,56.7000,57.4400,56.7000,57.0200,0
2006-06-21,58.7200,60.1000,58.4200,59.4800,0
2006-06-22,59.5000,60.1400,59.1000,60.0100,0
2006-06-23,59.4500,60.2300,59.0000,59.7000,0
2006-06-26,59.7000,60.6800,59.6400,60.4000,0
2006-06-27,60.5000,60.8000,60.0000,60.0400,0
2006-06-28,60.2500,60.6400,59.5300,60.1400,0
2006-06-29,60.8000,62.6100,60.7800,62.5400,0
2006-06-30,62.8000,63.4900,62.7000,63.2100,0
2006-07-03,63.3900,64.0900,63.3400,64.0200,0
2006-07-05,63.8000,63.8300,62.9300,63.6500,0
2006-07-06,63.6500,64.5000,63.6100,63.8700,0
2006-07-07,64.0800,64.9900,63.6700,63.9500,0
2006-07-10,64.4500,64.8800,63.8600,64.2100,0
2006-07-11,64.0000,64.1500,62.9700,63.9300,0
2006-07-12,63.6100,63.8800,62.5800,62.6300,0
2006-07-13,62.0600,62.7100,61.0000,61.4700,0
2006-07-14,61.4000,61.7500,60.1800,60.6900,0
2006-07-17,60.6400,61.7800,60.3200,61.2000,0
2006-07-18,61.0300,62.0900,60.8600,61.9600,0
2006-07-19,62.5500,64.5600,62.5000,63.8500,0
2006-07-20,63.8400,64.2900,63.2500,63.3400,0
2006-07-21,63.5000,63.5000,62.3000,62.5100,0
2006-07-24,63.0000,64.4900,62.9500,64.2200,0
2006-07-25,64.0000,65.1400,63.7000,64.9700,0
2006-07-26,65.0000,65.0000,64.1600,64.4500,0
2006-07-27,64.9000,65.2800,64.6500,65.0600,0
2006-07-28,65.1500,66.5500,65.1200,66.2300,0
2006-07-31,65.7700,66.6600,65.5000,66.5000,0
2006-08-01,66.0000,66.0800,65.2300,65.9400,0
2006-08-02,66.4500,66.4900,65.2500,66.2300,0
2006-08-03,65.1000,68.0100,65.1000,67.8000,0
