Date,Open,High,Low,Close,Volume
1998-06-01,20.9688,21.1523,20.7812,20.9375,0
1998-06-02,21.0156,21.4844,20.9688,21.3750,0
1998-06-03,21.4688,21.6094,21.0312,21.0781,0
1998-06-04,21.1719,21.5312,20.9062,21.5156,0
1998-06-05,21.4688,21.6250,21.1875,21.5625,0
1998-06-08,21.4062,21.5781,21.2500,21.4219,0
1998-06-09,21.3281,21.8906,21.3125,21.7656,0
1998-06-10,21.6562,22.0938,21.4688,21.5000,0
1998-06-11,21.6094,21.7812,21.2812,21.3281,0
1998-06-12,21.2188,21.5312,21.0000,21.4375,0
1998-06-15,21.1719,21.8281,21.1406,21.4844,0
1998-06-16,21.5781,22.4844,21.3750,22.4688,0
1998-06-17,22.4844,23.0938,22.4375,22.7656,0
1998-06-18,22.7031,22.9375,22.5938,22.7969,0
1998-06-19,23.2188,23.6875,23.1250,23.6719,0
1998-06-22,23.6875,23.9844,23.4219,23.9531,0
1998-06-23,23.9531,25.2188,23.8125,25.1875,0
1998-06-24,25.4219,26.2812,24.9844,26.2344,0
1998-06-25,26.4688,26.7188,25.3438,25.3906,0
1998-06-26,25.5625,26.1562,25.5000,26.1094,0
1998-06-29,26.3750,26.9219,26.3125,26.8594,0
1998-06-30,26.3125,27.1406,26.1562,27.0938,0
1998-07-01,27.2812,27.5312,26.7969,27.3438,0
1998-07-02,27.2031,27.2812,26.7812,26.8125,0
1998-07-06,26.7188,27.0156,26.3438,26.9531,0
1998-07-07,26.9531,27.1406,26.6250,26.9844,0
1998-07-08,27.0312,27.5312,26.6875,27.4688,0
1998-07-09,27.5000,28.0000,27.4375,27.7500,0
1998-07-10,27.7812,28.3125,27.4688,28.2969,0
1998-07-13,28.5312,29.5625,28.4062,29.3906,0
1998-07-14,29.5625,29.6875,28.8750,29.1250,0
1998-07-15,29.0000,29.5000,28.9062,29.3438,0
1998-07-16,29.5156,29.7188,29.1562,29.3438,0
1998-07-17,29.3750,29.9062,28.9844,29.4844,0
1998-07-20,29.5469,29.8750,29.2031,29.2500,0
1998-07-21,29.2188,29.7500,28.1250,28.2031,0
1998-07-22,28.0000,29.3125,27.9688,29.1875,0
1998-07-23,29.0781,29.3750,28.2500,28.2500,0
1998-07-24,28.4375,28.9062,28.1250,28.4531,0
1998-07-27,28.2812,29.1875,27.6719,29.1875,0
1998-07-28,29.0000,29.2188,28.0000,28.0625,0
1998-07-29,28.3125,28.5625,27.5156,27.6719,0
1998-07-30,27.9844,28.4062,27.6875,28.3594,0
1998-07-31,28.2344,28.3789,27.4844,27.4844,0
1998-08-03,27.2812,27.7188,26.8438,27.1094,0
1998-08-04,27.1562,27.4062,26.0469,26.1250,0
1998-08-05,26.0312,26.5625,25.3750,26.0781,0
1998-08-06,25.9375,26.7344,25.9062,26.7188,0
1998-08-07,26.8594,26.8750,26.2656,26.4688,0
1998-08-10,26.4531,26.5781,26.1094,26.1094,0
1998-08-11,25.7188,26.0938,25.5000,25.8594,0
1998-08-12,26.0781,26.2969,25.7500,26.2656,0
1998-08-13,26.0312,26.5000,25.9375,25.9844,0
1998-08-14,26.1719,26.2656,25.8750,26.0625,0
1998-08-17,25.8750,26.8438,25.7500,26.8281,0
1998-08-18,26.9688,27.9531,26.8438,27.8125,0
1998-08-19,28.0625,28.1875,27.5625,27.6406,0
1998-08-20,27.5312,28.1875,27.4219,28.1406,0
1998-08-21,27.7812,27.9688,27.1875,27.6562,0
1998-08-24,27.5781,28.0000,27.5000,27.5938,0
1998-08-25,27.8438,28.4219,27.7812,28.2031,0
1998-08-26,27.8125,28.4375,27.7188,28.1406,0
1998-08-27,27.6406,28.1875,27.1250,27.3125,0
1998-08-28,27.0625,27.4062,26.1875,26.3125,0
1998-08-31,26.2188,26.6250,23.9375,23.9844,0
1998-09-01,23.8125,25.4375,23.6250,25.3125,0
1998-09-02,25.4531,26.0625,25.0625,25.1406,0
1998-09-03,24.6875,25.1875,24.5938,24.8125,0
1998-09-04,24.9219,25.0625,24.0312,24.1562,0
1998-09-08,25.0000,25.5156,24.7656,25.4922,0
1998-09-09,25.5625,26.1094,25.4062,25.5625,0
1998-09-10,25.0000,25.2812,24.6719,25.1875,0
1998-09-11,25.2812,26.1562,25.0312,26.0625,0
1998-09-14,26.2344,26.7656,26.2188,26.5000,0
1998-09-15,26.4688,27.1094,26.2812,27.0781,0
1998-09-16,26.9688,27.1250,26.5312,27.0469,0
1998-09-17,26.3281,26.6250,26.2031,26.2344,0
