Date,Open,High,Low,Close,Volume
1998-06-01,3.9271,4.0104,3.7500,3.8021,0
1998-06-02,3.8229,4.0938,3.6771,4.0625,0
1998-06-03,4.0833,4.1042,3.9167,3.9271,0
1998-06-04,3.9792,4.1562,3.9375,4.1354,0
1998-06-05,4.1562,4.4167,4.1562,4.3229,0
1998-06-08,4.2812,4.3646,4.2708,4.3125,0
1998-06-09,4.3125,4.3958,4.3021,4.3438,0
1998-06-10,4.2917,4.3438,4.1250,4.1458,0
1998-06-11,4.1771,4.1771,4.0104,4.0625,0
1998-06-12,4.0417,4.2188,4.0312,4.1771,0
1998-06-15,4.1250,4.2500,4.0729,4.0938,0
1998-06-16,4.1250,4.1458,3.9792,4.0417,0
1998-06-17,4.1042,4.2656,4.0208,4.0521,0
1998-06-18,4.1875,4.2396,4.0625,4.1042,0
1998-06-19,4.1042,4.1250,3.9896,4.0417,0
1998-06-22,4.0208,4.0938,3.9583,4.0312,0
1998-06-23,4.0521,4.1667,4.0521,4.0729,0
1998-06-24,4.1042,4.2083,4.0312,4.1667,0
1998-06-25,4.1979,4.2292,4.0833,4.1146,0
1998-06-26,4.1250,4.1354,4.0521,4.1042,0
1998-06-29,4.1250,4.1458,4.0312,4.0833,0
1998-06-30,4.0417,4.1354,3.9896,4.0938,0
1998-07-01,4.0938,4.0938,4.0000,4.0104,0
1998-07-02,3.9792,4.0000,3.7917,3.8125,0
1998-07-06,3.8542,3.8646,3.8125,3.8438,0
1998-07-07,3.8333,3.8438,3.7708,3.8125,0
1998-07-08,3.8646,3.9375,3.8021,3.9271,0
1998-07-09,3.9583,4.1354,3.9479,4.0729,0
1998-07-10,4.0729,4.1875,3.9792,4.1771,0
1998-07-13,4.1771,4.2917,4.1771,4.2708,0
1998-07-14,4.2708,4.3438,4.2708,4.3333,0
1998-07-15,4.3333,4.5625,4.3333,4.5104,0
1998-07-16,4.5417,4.6458,4.5104,4.6146,0
1998-07-17,4.6250,4.6250,4.4688,4.5130,0
1998-07-20,4.5000,4.6875,4.4688,4.5938,0
1998-07-21,4.6042,4.7500,4.5833,4.6250,0
1998-07-22,4.5000,4.5104,4.2708,4.3229,0
1998-07-23,4.2708,4.2812,4.1667,4.1875,0
1998-07-24,4.2188,4.2396,4.0000,4.1042,0
1998-07-27,4.0521,4.4583,4.0417,4.4479,0
1998-07-28,4.4271,4.5104,4.3646,4.4896,0
1998-07-29,4.4896,4.5000,4.3958,4.4375,0
1998-07-30,4.4792,4.4896,4.4271,4.4479,0
1998-07-31,4.4271,4.5417,4.4167,4.4167,0
1998-08-03,4.4062,4.4896,4.3438,4.4375,0
1998-08-04,4.5312,4.5417,4.2083,4.2500,0
1998-08-05,4.2292,4.2708,4.0729,4.1979,0
1998-08-06,4.1146,4.2812,4.0938,4.2708,0
1998-08-07,4.2812,4.2812,4.1771,4.1875,0
1998-08-10,4.1667,4.2188,4.1042,4.1042,0
