Date,Open,High,Low,Close,Volume
1970-06-01,1.5312,1.5625,1.5156,1.5234,0
1970-06-02,1.5234,1.5625,1.4844,1.5078,0
1970-06-03,1.5078,1.5156,1.4922,1.5117,0
1970-06-04,1.5156,1.5391,1.5156,1.5156,0
1970-06-05,1.5000,1.5000,1.4727,1.4844,0
1970-06-08,1.4844,1.4961,1.4492,1.4922,0
1970-06-09,1.4922,1.4922,1.4766,1.4844,0
1970-06-10,1.4844,1.4922,1.4570,1.4688,0
1970-06-11,1.4609,1.4609,1.4023,1.4219,0
1970-06-12,1.4336,1.4570,1.4336,1.4570,0
1970-06-15,1.4609,1.4805,1.4609,1.4766,0
1970-06-16,1.4766,1.5469,1.4688,1.5312,0
1970-06-17,1.5312,1.5586,1.5078,1.5156,0
1970-06-18,1.5156,1.5664,1.5039,1.5547,0
1970-06-19,1.5703,1.6094,1.5703,1.5859,0
1970-06-22,1.5781,1.5781,1.5391,1.5508,0
1970-06-23,1.5508,1.5859,1.5430,1.5547,0
1970-06-24,1.5547,1.5703,1.5234,1.5469,0
1970-06-25,1.5469,1.5586,1.5234,1.5391,0
1970-06-26,1.5391,1.5547,1.4922,1.4922,0
1970-06-29,1.4922,1.4961,1.4531,1.4688,0
1970-06-30,1.4688,1.5156,1.4688,1.4688,0
1970-07-01,1.4688,1.5039,1.4688,1.5039,0
1970-07-02,1.5039,1.5312,1.5039,1.5039,0
1970-07-06,1.5039,1.5273,1.5039,1.5234,0
1970-07-07,1.5117,1.5117,1.5000,1.5078,0
1970-07-08,1.5078,1.5547,1.5000,1.5547,0
1970-07-09,1.5547,1.5586,1.5234,1.5469,0
1970-07-10,1.5469,1.5586,1.5000,1.5312,0
1970-07-13,1.5312,1.5430,1.5195,1.5391,0
1970-07-14,1.5391,1.5547,1.5117,1.5547,0
1970-07-15,1.5586,1.6250,1.5586,1.6133,0
1970-07-16,1.6133,1.6836,1.6094,1.6719,0
1970-07-17,1.6719,1.7188,1.6641,1.7188,0
1970-07-20,1.7109,1.7109,1.6797,1.6797,0
1970-07-21,1.6797,1.6797,1.6562,1.6680,0
1970-07-22,1.6680,1.7031,1.6680,1.6758,0
1970-07-23,1.6758,1.6953,1.6445,1.6523,0
1970-07-24,1.6523,1.7031,1.6484,1.6992,0
1970-07-27,1.6992,1.7070,1.6914,1.7031,0
1970-07-28,1.6875,1.6875,1.6602,1.6797,0
1970-07-29,1.6797,1.6836,1.6602,1.6602,0
1970-07-30,1.6602,1.6719,1.6484,1.6562,0
1970-07-31,1.6562,1.6562,1.6055,1.6250,0
1970-08-03,1.6250,1.6328,1.5781,1.5938,0
1970-08-04,1.5938,1.5938,1.5664,1.5781,0
1970-08-05,1.5781,1.5938,1.5625,1.5781,0
1970-08-06,1.5938,1.6250,1.5938,1.6211,0
1970-08-07,1.6211,1.6250,1.5977,1.6055,0
1970-08-10,1.6055,1.6055,1.5859,1.5977,0
1970-08-11,1.5977,1.6016,1.5898,1.5938,0
1970-08-12,1.5938,1.6094,1.5898,1.5898,0
1970-08-13,1.5898,1.6250,1.5859,1.6250,0
1970-08-14,1.6250,1.6250,1.5781,1.5938,0
1970-08-17,1.5898,1.5898,1.5703,1.5742,0
1970-08-18,1.5781,1.6172,1.5781,1.6055,0
1970-08-19,1.6055,1.6250,1.5977,1.5977,0
1970-08-20,1.5977,1.6328,1.5977,1.6328,0
1970-08-21,1.6328,1.6484,1.6211,1.6250,0
1970-08-24,1.6250,1.6484,1.6172,1.6406,0
1970-08-25,1.6406,1.6445,1.6211,1.6289,0
1970-08-26,1.6289,1.6719,1.6250,1.6484,0
1970-08-27,1.6484,1.6602,1.6406,1.6484,0
1970-08-28,1.6445,1.6445,1.6211,1.6367,0
1970-08-31,1.6367,1.6367,1.6211,1.6289,0
1970-09-01,1.6289,1.6562,1.6250,1.6562,0
1970-09-02,1.6562,1.6797,1.6445,1.6797,0
1970-09-03,1.6797,1.6875,1.6719,1.6719,0
1970-09-04,1.6719,1.6758,1.6562,1.6680,0
1970-09-08,1.6680,1.6680,1.6406,1.6562,0
1970-09-09,1.6562,1.6797,1.6484,1.6641,0
1970-09-10,1.6562,1.6562,1.6367,1.6367,0
1970-09-11,1.6367,1.6562,1.6367,1.6367,0
1970-09-14,1.6367,1.6523,1.6328,1.6367,0
1970-09-15,1.6367,1.6445,1.6172,1.6445,0
1970-09-16,1.6445,1.6523,1.6406,1.6523,0
1970-09-17,1.6523,1.6875,1.6523,1.6875,0
1970-09-18,1.6875,1.6914,1.6758,1.6875,0
1970-09-21,1.6719,1.6719,1.6406,1.6562,0
1970-09-22,1.6562,1.6562,1.6367,1.6445,0
1970-09-23,1.6445,1.6875,1.6445,1.6484,0
1970-09-24,1.6484,1.6719,1.6172,1.6484,0
1970-09-25,1.6484,1.6758,1.6445,1.6562,0
