Date,Open,High,Low,Close,Volume
1998-06-01,3.2344,3.2500,3.1133,3.1445,0
1998-06-02,3.1406,3.2188,3.1328,3.1875,0
1998-06-03,3.1914,3.2109,3.1406,3.1406,0
1998-06-04,3.1641,3.2031,3.1406,3.2031,0
1998-06-05,3.2109,3.2891,3.1797,3.2422,0
1998-06-08,3.2266,3.3516,3.2266,3.2344,0
1998-06-09,3.2266,3.3125,3.2188,3.3125,0
1998-06-10,3.2656,3.2969,3.2188,3.2266,0
1998-06-11,3.1406,3.1562,3.0234,3.0703,0
1998-06-12,3.0625,3.0781,2.9609,3.0625,0
1998-06-15,2.9922,3.0312,2.9141,2.9219,0
1998-06-16,2.9453,3.0664,2.9414,3.0391,0
1998-06-17,3.0781,3.1836,3.0547,3.0586,0
1998-06-18,3.0547,3.0938,3.0039,3.0781,0
1998-06-19,3.0938,3.1094,3.0391,3.0781,0
1998-06-22,3.0781,3.1875,3.0703,3.1484,0
1998-06-23,3.1680,3.2344,3.1484,3.2227,0
1998-06-24,3.2578,3.4961,3.2422,3.4805,0
1998-06-25,3.5273,3.6094,3.4648,3.5234,0
1998-06-26,3.3594,3.4844,3.3438,3.3828,0
1998-06-29,3.3906,3.5000,3.3789,3.4961,0
1998-06-30,3.4844,3.5469,3.4609,3.5117,0
1998-07-01,3.5234,3.5469,3.4531,3.5078,0
1998-07-02,3.5078,3.5078,3.3828,3.3984,0
1998-07-06,3.4141,3.4766,3.4102,3.4375,0
1998-07-07,3.4375,3.4531,3.3438,3.3867,0
1998-07-08,3.3594,3.4609,3.3594,3.4238,0
1998-07-09,3.4336,3.5693,3.4219,3.5586,0
1998-07-10,3.5352,3.5547,3.4688,3.5312,0
1998-07-13,3.5781,3.6406,3.4922,3.4961,0
1998-07-14,3.4922,3.5703,3.4766,3.5234,0
1998-07-15,3.5391,3.6328,3.5234,3.6016,0
1998-07-16,3.6016,3.6172,3.5625,3.6133,0
1998-07-17,3.6172,3.6172,3.5391,3.5781,0
1998-07-20,3.5625,3.5898,3.5156,3.5391,0
1998-07-21,3.5312,3.6758,3.5234,3.5977,0
1998-07-22,3.7461,4.2109,3.7422,4.1953,0
1998-07-23,4.1406,4.1875,3.9180,3.9531,0
1998-07-24,4.0078,4.0312,3.8906,3.9375,0
1998-07-27,3.8750,3.9375,3.8125,3.9258,0
1998-07-28,3.9297,3.9375,3.8047,3.8125,0
1998-07-29,3.8438,3.8906,3.8203,3.8320,0
1998-07-30,3.8750,3.9062,3.8594,3.8789,0
1998-07-31,3.8750,3.9844,3.8711,3.8965,0
1998-08-03,3.8906,3.8984,3.7305,3.8086,0
1998-08-04,3.8164,3.8320,3.5938,3.6875,0
1998-08-05,3.6719,3.6953,3.5625,3.6406,0
1998-08-06,3.6016,3.7344,3.5859,3.7070,0
1998-08-07,3.7422,3.8750,3.6719,3.6719,0
1998-08-10,3.6719,3.7188,3.6406,3.6836,0
1998-08-11,3.5938,3.6172,3.4531,3.5391,0
1998-08-12,3.5859,3.6172,3.4219,3.4375,0
1998-08-13,3.3672,3.5156,3.3438,3.3438,0
1998-08-14,3.4062,3.4375,3.3516,3.4062,0
1998-08-17,3.3906,3.4688,3.3594,3.3594,0
1998-08-18,3.4180,3.5156,3.4062,3.5000,0
1998-08-19,3.5156,3.5703,3.4766,3.4766,0
1998-08-20,3.4688,3.4922,3.4062,3.4688,0
1998-08-21,3.4414,3.4453,3.2031,3.3594,0
1998-08-24,3.3750,3.3906,3.2656,3.3750,0
1998-08-25,3.3906,3.4258,3.2539,3.3359,0
1998-08-26,3.2812,3.2969,3.2109,3.2188,0
1998-08-27,3.1641,3.1875,3.0039,3.0664,0
1998-08-28,3.1094,3.1250,2.8359,2.8789,0
1998-08-31,2.9297,2.9844,2.7188,2.7461,0
1998-09-01,2.7617,3.0234,2.5625,2.9727,0
1998-09-02,3.0312,3.0391,2.8945,2.9531,0
1998-09-03,2.9297,2.9375,2.7500,2.7539,0
1998-09-04,2.8047,2.8672,2.5586,2.6602,0
1998-09-08,2.8516,3.1172,2.8008,3.0625,0
1998-09-09,2.9844,3.1719,2.9805,3.0938,0
1998-09-10,2.9219,2.9453,2.6250,2.7812,0
1998-09-11,2.7734,2.9141,2.7539,2.8438,0
1998-09-14,2.8750,3.0000,2.8633,2.8906,0
1998-09-15,2.9062,3.0156,2.8906,2.9805,0
1998-09-16,3.0078,3.0703,2.9062,2.9688,0
1998-09-17,2.8438,3.0469,2.7695,2.9375,0
1998-09-18,2.9414,3.0078,2.9219,3.0039,0
1998-09-21,2.9297,3.1133,2.8750,3.0898,0
1998-09-22,3.1484,3.2266,3.0938,3.1523,0
1998-09-23,3.1875,3.2617,3.1406,3.2070,0
1998-09-24,3.1562,3.2148,2.9648,3.0117,0
1998-09-25,2.8906,3.2266,2.8672,3.1875,0
1998-09-28,3.2266,3.2891,3.0430,3.0625,0
1998-09-29,3.1016,3.1172,2.9688,3.0312,0
1998-09-30,2.9844,3.0000,2.9219,2.9961,0
1998-10-01,2.9219,2.9961,2.8359,2.9023,0
1998-10-02,2.9219,2.9766,2.7891,2.9766,0
1998-10-05,2.8906,2.9492,2.6484,2.7422,0
1998-10-06,2.8242,2.8750,2.7461,2.7617,0
1998-10-07,2.7812,2.8281,2.6016,2.6797,0
1998-10-08,2.5781,2.5898,2.3594,2.4453,0
1998-10-09,2.4922,2.5781,2.4375,2.5586,0
1998-10-12,2.6758,2.7656,2.6133,2.6289,0
1998-10-13,2.6250,2.6875,2.5625,2.5938,0
1998-10-14,2.6211,2.9062,2.5469,2.8477,0
1998-10-15,2.8281,3.0078,2.7891,2.9922,0
1998-10-16,3.0234,3.0547,2.8594,2.9688,0
1998-10-19,2.9766,2.9844,2.9219,2.9688,0
1998-10-20,3.0234,3.2500,3.0000,3.0859,0
1998-10-21,3.1055,3.2461,3.0938,3.2344,0
1998-10-22,3.2266,3.3047,3.1250,3.1992,0
1998-10-23,3.2031,3.4297,3.1992,3.3906,0
1998-10-26,3.4141,3.4375,3.3047,3.4062,0
1998-10-27,3.4375,3.5195,3.3281,3.3555,0
1998-10-28,3.2422,3.5078,3.1172,3.4570,0
1998-10-29,3.4375,3.4961,3.3750,3.4219,0
1998-10-30,3.4609,3.5000,3.4141,3.4766,0
1998-11-02,3.5234,3.7500,3.5156,3.6445,0
1998-11-03,3.6836,3.7500,3.5469,3.6016,0
1998-11-04,3.6641,3.6758,3.3789,3.4375,0
1998-11-05,3.5000,3.5938,3.4922,3.5391,0
1998-11-06,3.5703,3.6055,3.5469,3.5586,0
1998-11-09,3.5625,3.5898,3.4883,3.5391,0
1998-11-10,3.5469,3.5859,3.4961,3.5547,0
1998-11-11,3.6250,3.6328,3.4062,3.4258,0
1998-11-12,3.4375,3.4766,3.3828,3.4492,0
1998-11-13,3.4453,3.4688,3.4141,3.4297,0
1998-11-16,3.4375,3.4570,3.3750,3.3906,0
1998-11-17,3.3945,3.5234,3.3242,3.4414,0
1998-11-18,3.4609,3.6016,3.4531,3.5898,0
1998-11-19,3.6055,3.6484,3.4531,3.4688,0
1998-11-20,3.5312,3.5625,3.4531,3.4609,0
1998-11-23,3.4844,3.5586,3.4766,3.5391,0
1998-11-24,3.5312,3.5742,3.4062,3.4336,0
1998-11-25,3.4688,3.4766,3.3789,3.4375,0
1998-11-27,3.4609,3.4609,3.4023,3.4336,0
1998-11-30,3.4375,3.5000,3.3750,3.4297,0
1998-12-01,3.4062,3.4219,3.3281,3.3867,0
1998-12-02,3.3672,3.4102,3.3281,3.3750,0
1998-12-03,3.3789,3.4219,3.3359,3.3672,0
1998-12-04,3.3867,3.4023,3.3438,3.3711,0
1998-12-07,3.3828,3.5195,3.2734,3.3320,0
1998-12-08,3.3281,3.3359,3.1406,3.1562,0
1998-12-09,3.2031,3.2344,3.1758,3.2031,0
1998-12-10,3.1797,3.2500,3.1055,3.2109,0
1998-12-11,3.2109,3.2656,3.1484,3.2617,0
1998-12-14,3.2383,3.2422,3.0625,3.0703,0
1998-12-15,3.1406,3.2656,3.1094,3.2305,0
1998-12-16,3.2461,3.3203,3.2070,3.2500,0
1998-12-17,3.2383,3.2812,3.1875,3.2734,0
1998-12-18,3.2891,3.2891,3.1250,3.1367,0
1998-12-21,3.1641,3.2500,3.1406,3.2188,0
1998-12-22,3.2109,3.2461,3.1562,3.1797,0
1998-12-23,3.2031,3.2500,3.1836,3.2266,0
1998-12-24,3.2031,3.2266,3.1719,3.1914,0
1998-12-28,3.2109,3.2656,3.1875,3.2422,0
1998-12-29,3.2422,3.2500,3.2070,3.2305,0
1998-12-30,3.2422,3.2422,3.1719,3.2070,0
1998-12-31,3.2031,3.2383,3.1641,3.2383,0
1999-01-04,3.2773,3.5117,3.2656,3.4648,0
1999-01-05,3.5000,3.5898,3.3984,3.5703,0
1999-01-06,3.6602,3.7188,3.5938,3.7148,0
1999-01-07,3.6250,3.7461,3.6172,3.7461,0
1999-01-08,3.7539,3.8438,3.7266,3.7656,0
1999-01-11,3.7891,3.8906,3.7656,3.8750,0
1999-01-12,3.8945,3.9219,3.7344,3.8047,0
1999-01-13,3.6875,3.7979,3.5547,3.6797,0
1999-01-14,3.7305,3.9297,3.7188,3.7852,0
1999-01-15,3.8330,4.0586,3.7969,3.9922,0
1999-01-19,3.9844,4.1719,3.9062,4.1562,0
1999-01-20,4.0352,4.2266,3.8125,3.8750,0
1999-01-21,3.8711,3.9023,3.6719,3.7188,0
1999-01-22,3.6562,3.8516,3.6328,3.6875,0
1999-01-25,3.7031,3.7812,3.5938,3.6328,0
1999-01-26,3.8047,3.8047,3.6094,3.7500,0
1999-01-27,3.7812,3.8320,3.6953,3.6953,0
1999-01-28,3.7656,4.0469,3.7500,4.0234,0
1999-01-29,4.0312,4.1719,4.0000,4.1133,0
1999-02-01,4.1094,4.1484,3.8594,3.9609,0
1999-02-02,3.9844,4.0430,3.8438,3.9141,0
1999-02-03,3.8750,4.2031,3.8359,4.1641,0
1999-02-04,4.1562,4.1602,4.0312,4.0898,0
1999-02-05,4.0625,4.2500,3.8906,4.1914,0
1999-02-08,4.1875,4.3711,4.1562,4.3594,0
1999-02-09,4.3516,4.3594,4.2031,4.2461,0
1999-02-10,4.2344,4.3047,4.0312,4.1562,0
1999-02-11,4.1797,4.3125,4.1719,4.2578,0
1999-02-12,4.2500,4.2734,4.1328,4.1836,0
1999-02-16,4.2422,4.3281,4.1875,4.2109,0
1999-02-17,4.1875,4.2891,4.0625,4.0664,0
1999-02-18,4.1250,4.1641,3.9453,3.9941,0
1999-02-19,4.0625,4.0703,3.9375,4.0547,0
1999-02-22,4.1211,4.4844,4.1094,4.4609,0
1999-02-23,4.4688,4.6094,4.3906,4.6016,0
1999-02-24,4.6094,4.7227,4.4805,4.5469,0
1999-02-25,4.5000,4.5469,4.4688,4.5469,0
1999-02-26,4.5625,4.5625,4.4609,4.5625,0
1999-03-01,4.5469,4.6328,4.4453,4.5234,0
1999-03-02,4.5625,4.6875,4.5078,4.6094,0
1999-03-03,4.6211,4.6875,4.5312,4.5703,0
1999-03-04,4.5820,4.6797,4.5625,4.6523,0
1999-03-05,4.6875,4.7891,4.6797,4.7852,0
1999-03-08,4.8125,4.9062,4.7812,4.8594,0
1999-03-09,4.8750,5.0156,4.8438,4.9844,0
1999-03-10,4.9453,5.0273,4.9180,4.9766,0
1999-03-11,4.9766,5.0508,4.9531,5.0234,0
1999-03-12,5.0000,5.0391,4.7578,4.8281,0
1999-03-15,4.8516,5.1289,4.8008,5.1289,0
1999-03-16,5.1328,5.1445,4.9766,5.0547,0
1999-03-17,5.0508,5.0547,4.9570,5.0078,0
1999-03-18,4.9961,5.1562,4.9609,5.1289,0
1999-03-19,5.1719,5.3633,5.0156,5.2852,0
1999-03-22,5.3281,5.6406,5.2852,5.4766,0
1999-03-23,5.5078,5.5078,5.0156,5.1328,0
1999-03-24,5.1875,5.4648,5.0820,5.4609,0
1999-03-25,5.9609,6.1602,5.9062,6.1523,0
1999-03-26,6.1016,7.4961,6.1016,6.9727,0
1999-03-29,7.2656,7.3105,6.7812,7.1836,0
1999-03-30,7.1094,7.5742,7.0234,7.3125,0
1999-03-31,7.5000,7.8594,7.3789,7.7734,0
1999-04-01,7.9062,8.6484,7.9062,8.5625,0
1999-04-05,8.9883,9.7031,8.6250,9.3047,0
1999-04-06,9.2734,9.6406,8.7812,9.1211,0
1999-04-07,9.1875,9.2422,8.1250,8.6562,0
1999-04-08,8.6445,9.5156,8.5469,9.2734,0
1999-04-09,9.1328,9.3281,8.9766,9.0977,0
1999-04-12,8.8984,10.0742,8.8789,10.0547,0
1999-04-13,10.1641,10.9531,10.0625,10.6094,0
1999-04-14,10.9219,11.0625,9.8008,9.8711,0
1999-04-15,10.4375,10.5000,8.7500,9.8594,0
1999-04-16,10.1445,10.1445,8.9023,8.9062,0
1999-04-19,8.8633,8.8633,7.7578,7.7891,0
1999-04-20,7.7500,8.9219,7.6875,8.7891,0
1999-04-21,10.8906,12.3750,10.4844,12.1914,0
1999-04-22,12.1016,12.4062,11.4219,12.0898,0
1999-04-23,11.7891,12.1953,11.4062,11.9297,0
1999-04-26,11.8516,13.6562,11.8125,12.7188,0
1999-04-27,12.6016,12.7734,12.1250,12.3164,0
1999-04-28,12.1562,12.6406,11.7500,11.9023,0
1999-04-29,11.8125,12.5547,11.5938,12.3906,0
1999-04-30,12.5625,13.0625,12.0625,12.5000,0
1999-05-03,13.0234,13.7656,12.9375,13.6484,0
1999-05-04,13.4023,13.6875,13.0312,13.1172,0
1999-05-05,13.1484,14.0703,12.6211,14.0391,0
1999-05-06,14.0625,14.3438,13.4375,13.5039,0
1999-05-07,13.7969,14.0469,12.8125,13.5156,0
1999-05-10,13.6719,13.8750,13.1328,13.2500,0
1999-05-11,13.6562,13.7812,13.0625,13.6875,0
1999-05-12,13.8984,14.7344,13.3750,14.5703,0
1999-05-13,14.8125,14.9688,14.3750,14.3828,0
1999-05-14,13.9062,14.2656,13.6250,14.0000,0
1999-05-17,13.7969,14.0000,12.7969,13.5938,0
1999-05-18,13.1641,13.6250,12.8438,12.8984,0
1999-05-19,13.0469,13.1875,12.2500,12.9219,0
1999-05-20,13.0938,13.3203,12.7500,12.7812,0
1999-05-21,13.0391,13.0625,12.3750,12.5391,0
1999-05-24,12.5625,12.7344,11.3594,11.5938,0
