Date,Open,High,Low,Close,Volume
1970-06-01,76.5500,78.4000,75.8400,77.8400,0
1970-06-02,77.8400,78.7300,76.5100,77.8400,0
1970-06-03,77.8400,79.2200,76.9700,78.5200,0
1970-06-04,78.5200,79.4200,76.9900,77.3600,0
1970-06-05,77.3600,77.4800,75.2500,76.1700,0
1970-06-08,76.1700,77.3700,75.3000,76.2900,0
1970-06-09,76.2900,79.9600,75.5800,76.2500,0
1970-06-10,76.2500,76.6200,74.9200,75.4800,0
1970-06-11,75.4800,75.5200,73.9600,74.4500,0
1970-06-12,74.4500,74.8400,73.2500,73.8800,0
1970-06-15,73.8800,75.2700,73.6700,74.5800,0
1970-06-16,74.5800,76.7600,74.2100,76.1500,0
1970-06-17,76.1500,78.0400,75.6300,76.0000,0
1970-06-18,76.0000,77.1700,74.9900,76.5100,0
1970-06-19,76.5100,78.0500,76.3100,77.0500,0
1970-06-22,77.0500,77.4300,75.6100,76.6400,0
1970-06-23,76.6400,76.8300,74.5200,74.7600,0
1970-06-24,74.7600,75.4200,73.4000,73.9700,0
1970-06-25,73.9700,74.9300,73.3000,74.0200,0
1970-06-26,74.0200,74.6800,73.0900,73.4700,0
1970-06-29,73.4700,73.8600,72.3400,72.8900,0
1970-06-30,72.8900,73.8900,72.2500,72.7200,0
1970-07-01,72.7200,73.6600,72.1100,72.9400,0
1970-07-02,72.9400,73.9200,72.4300,72.9200,0
1970-07-06,72.9200,73.1200,71.3800,71.7800,0
1970-07-07,71.7800,72.3200,70.6900,71.2300,0
1970-07-08,71.2300,73.3000,70.9900,73.0000,0
1970-07-09,73.0000,74.7700,72.8800,74.0600,0
1970-07-10,74.0600,75.2100,73.4900,74.4500,0
1970-07-13,74.4500,75.3700,73.8300,74.5500,0
1970-07-14,74.5500,75.0400,73.7800,74.4200,0
1970-07-15,74.4200,75.6800,74.0600,75.2300,0
1970-07-16,75.2300,77.0900,75.1200,76.3400,0
1970-07-17,76.3700,78.2300,76.3700,77.6900,0
1970-07-20,77.6900,78.7200,77.0400,77.7900,0
1970-07-21,77.7900,77.9400,76.3900,76.9800,0
1970-07-22,76.9800,78.2000,76.2200,77.0300,0
1970-07-23,77.0300,78.5100,76.4600,78.0000,0
1970-07-24,78.0000,78.4800,76.9600,77.8200,0
1970-07-27,77.8200,78.2700,77.0700,77.6500,0
1970-07-28,77.6500,78.3500,76.9600,77.7700,0
1970-07-29,77.7700,78.8100,77.2800,78.0400,0
1970-07-30,78.0400,78.6600,77.3600,78.0700,0
1970-07-31,78.0700,79.0300,77.4400,78.0500,0
1970-08-03,78.0500,78.2400,76.5600,77.0200,0
1970-08-04,77.0200,77.5600,76.1200,77.1900,0
1970-08-05,77.1900,77.8600,76.5900,77.1800,0
1970-08-06,77.1800,77.6800,76.3900,77.0800,0
1970-08-07,77.0800,78.0900,76.4600,77.2800,0
1970-08-10,77.2800,77.4000,75.7200,76.2000,0
1970-08-11,76.2000,76.3300,75.1600,75.8200,0
1970-08-12,75.8200,76.2400,75.0400,75.4200,0
1970-08-13,75.4200,75.6900,74.1300,74.7600,0
1970-08-14,74.7600,75.7400,74.3900,75.1800,0
1970-08-17,75.1800,75.7900,74.5200,75.3300,0
1970-08-18,75.3300,76.7900,75.3000,76.2000,0
1970-08-19,76.2000,77.5800,76.0100,76.9600,0
1970-08-20,76.9600,77.9900,76.3000,77.8400,0
1970-08-21,77.8400,79.6000,77.4600,79.2400,0
1970-08-24,79.4100,81.6200,79.4100,80.9900,0
1970-08-25,80.9900,81.8100,79.6900,81.1200,0
1970-08-26,81.1200,82.2600,80.6000,81.2100,0
1970-08-27,81.2100,81.9100,80.1300,81.0800,0
1970-08-28,81.0800,82.4700,80.6900,81.8600,0
1970-08-31,81.8600,82.3300,80.9500,81.5200,0
1970-09-01,81.5200,81.8000,80.4300,80.9500,0
1970-09-02,80.9500,81.3500,79.9500,80.9600,0
1970-09-03,80.9600,82.6300,80.8800,82.0900,0
1970-09-04,82.0900,83.4200,81.7900,82.8300,0
1970-09-08,82.8300,83.6900,81.4800,83.0400,0
1970-09-09,83.0400,83.7800,81.9000,82.7900,0
1970-09-10,82.7900,82.9800,81.6200,82.3000,0
1970-09-11,82.3000,83.1900,81.8100,82.5200,0
1970-09-14,82.5200,83.1300,81.4300,82.0700,0
1970-09-15,82.0700,82.1100,80.7500,81.3600,0
1970-09-16,81.3600,82.5700,80.6100,81.7900,0
1970-09-17,81.7900,83.0900,81.5100,82.2900,0
1970-09-18,82.2900,83.5000,81.7700,82.6200,0
1970-09-21,82.6200,83.1500,81.5200,81.9100,0
1970-09-22,81.9100,82.2400,80.8200,81.8600,0
1970-09-23,81.8600,83.1500,81.5200,81.9100,0
1970-09-24,81.9100,82.2400,80.8200,81.6600,0
1970-09-25,81.6600,83.6000,81.4100,82.8300,0
1970-09-28,82.8300,84.5600,82.6100,83.9100,0
1970-09-29,83.9100,84.5700,83.1100,83.8600,0
1970-09-30,83.8600,84.9900,82.7800,84.3000,0
1970-10-01,84.3000,84.7000,83.4600,84.3200,0
