Date,Open,High,Low,Close,Volume
1998-06-01,12.7500,13.0625,12.2031,12.3125,0
1998-06-02,12.5312,12.5625,12.0625,12.3750,0
1998-06-03,12.4062,12.7344,12.0000,12.0000,0
1998-06-04,12.2812,12.7812,12.0938,12.7188,0
1998-06-05,12.7656,13.0469,12.5312,12.7031,0
1998-06-08,13.1250,13.5312,13.0781,13.3750,0
1998-06-09,13.3750,14.0000,13.2188,13.9688,0
1998-06-10,13.5625,13.5781,12.8906,13.1250,0
1998-06-11,13.1250,13.2500,12.4062,12.4062,0
1998-06-12,12.4531,12.4531,11.7188,12.2812,0
1998-06-15,12.1250,12.4375,11.9688,12.0000,0
1998-06-16,12.0625,13.0000,11.9844,13.0000,0
1998-06-17,13.0000,13.2500,12.5000,12.7188,0
1998-06-18,12.7031,13.7188,12.6562,13.6250,0
1998-06-19,13.7500,14.0000,13.5156,13.5469,0
1998-06-22,13.6250,14.1406,13.5625,14.0000,0
1998-06-23,14.2500,14.7188,14.0156,14.5625,0
1998-06-24,14.6250,15.0000,14.3125,14.7656,0
1998-06-25,14.9375,15.3281,14.4219,14.4844,0
1998-06-26,14.4375,14.7812,14.1250,14.5781,0
1998-06-29,14.6719,15.0938,14.6562,14.7969,0
1998-06-30,14.8281,14.8750,14.5781,14.5781,0
1998-07-01,14.7500,15.0000,14.5781,15.0000,0
1998-07-02,15.0625,15.0625,14.4062,14.4688,0
1998-07-06,14.4062,14.4062,13.9531,13.9688,0
1998-07-07,14.0000,14.5625,13.8281,14.5469,0
1998-07-08,14.5312,14.9844,14.1875,14.6406,0
1998-07-09,14.5469,14.9844,14.5312,14.6719,0
1998-07-10,14.6250,14.8594,14.4688,14.6719,0
1998-07-13,14.6562,14.8594,14.5469,14.7812,0
1998-07-14,14.7500,14.8594,14.5781,14.5938,0
1998-07-15,14.7500,15.8125,14.6875,15.5625,0
1998-07-16,15.8438,15.9219,15.2500,15.7344,0
1998-07-17,15.7344,15.7344,15.2500,15.2969,0
1998-07-20,15.1250,15.1250,14.5625,14.7344,0
1998-07-21,15.1875,15.4844,14.9375,15.2344,0
1998-07-22,15.1562,15.2500,14.6562,15.2500,0
1998-07-23,15.0000,15.4219,14.7812,14.8750,0
1998-07-24,14.8594,14.8750,14.2500,14.5156,0
1998-07-27,14.4062,14.5156,14.0781,14.4531,0
1998-07-28,14.4531,14.8125,14.2969,14.7500,0
1998-07-29,14.7656,14.9219,14.6250,14.6562,0
1998-07-30,14.8125,15.2500,14.7344,15.2500,0
1998-07-31,15.3750,15.4688,14.8281,14.8438,0
1998-08-03,14.7500,15.2812,14.7031,15.0312,0
1998-08-04,15.3750,15.3750,14.5781,14.6250,0
1998-08-05,14.6250,15.0156,14.5000,15.0000,0
1998-08-06,14.8750,15.5938,14.8750,15.3438,0
1998-08-07,15.5625,15.8750,15.4688,15.7969,0
1998-08-10,15.6875,15.7188,15.2500,15.2500,0
1998-08-11,14.8750,14.9219,14.5156,14.6406,0
1998-08-12,14.7500,15.3594,14.7500,15.1875,0
1998-08-13,15.1875,15.3750,14.9062,14.9688,0
1998-08-14,15.1875,15.2812,14.7656,14.8281,0
1998-08-17,14.8125,15.3281,14.8125,15.3281,0
1998-08-18,15.3750,15.8438,15.3750,15.6250,0
1998-08-19,15.7500,15.8750,15.1250,15.1250,0
1998-08-20,14.7656,14.8750,14.5312,14.7188,0
1998-08-21,14.5000,14.5938,13.8125,14.4844,0
1998-08-24,14.5000,14.6875,14.1719,14.4375,0
1998-08-25,14.6094,14.7344,14.3438,14.3438,0
1998-08-26,14.1250,14.2812,14.0312,14.0469,0
1998-08-27,13.7656,13.9062,12.9219,13.4062,0
1998-08-28,13.3438,13.5469,12.7188,12.7969,0
1998-08-31,12.8125,12.9688,11.7188,11.8438,0
